Protein,Len,NO,NO,NO,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,Uniprot
m.14999,503,251,313,236,178,186,184,-0.142,-2.3762,0,0.575345,0,Thymosin beta-12 OS=Lateolabrax japonicus PE=1 SV=2,P33248
m.16226,279,0,0,1,0,0,0,0.143,0.1709,1,0.543686,0.575351,Cadherin-related tumor suppressor OS=Drosophila melanogaster GN=ft PE=1 SV=3,P33450
m.1261,196,5,6,5,0,0,0,-1.588,-2.5538,0,0.57354,0,N-acetylgalactosamine-6-sulfatase OS=Homo sapiens GN=GALNS PE=1 SV=1,P34059
m.30973,434,2,0,0,0,1,2,0.258,0.3477,0.984443,0.353638,0.701373,Probable acyl-CoA dehydrogenase 6 OS=Caenorhabditis elegans GN=acdh-6 PE=3 SV=2,P34275
m.2794,658,114,114,71,94,93,96,0.184,2.4042,0,0,0.617379,Dipeptidyl peptidase family member 6 OS=Caenorhabditis elegans GN=dpf-6 PE=3 SV=2,P34422
m.3088,506,1,3,1,7,5,6,1.568,3.0514,0,0,0.595078,Putative serine protease K12H4.7 OS=Caenorhabditis elegans GN=K12H4.7 PE=3 SV=2,P34528
m.21379,246,24,26,25,24,28,30,0.343,2.1245,0,0,0.631004,Protein BMH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BMH2 PE=1 SV=3,P34730
m.8921,707,0,1,0,0,2,2,0.73,0.9979,0.011673,0.000304,0.714567,Protein kinase C-like 1B OS=Caenorhabditis elegans GN=pkc-1 PE=2 SV=2,P34885
m.10883,471,18,29,46,33,30,37,0.309,2.2479,0,0,0.624631,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3",P34897
m.26179,500,2,7,7,12,11,11,0.967,3.0649,0,0,0.594716,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3",P34897
m.616,1072,18,24,18,15,13,12,-0.175,-0.8746,0.000031,0.617188,0.000001,Trypsin-2 (Fragment) OS=Salmo salar PE=2 SV=1,P35032
m.29861,185,108,56,82,58,60,64,-0.075,-0.8016,0.000155,0.62134,0.000006,Trypsin-7 OS=Anopheles gambiae GN=TRYP7 PE=2 SV=2,P35041
m.9718,140,688,464,609,362,358,345,-0.263,-7.2899,0,0.558275,0,Histone H2A OS=Acropora formosa PE=3 SV=2,P35061
m.5266,746,2,0,1,0,0,2,0.132,0.1767,1,0.539074,0.58143,Catenin beta OS=Urechis caupo PE=2 SV=1,P35224
m.15067,179,1,0,0,7,2,1,1.506,2.1287,0,0,0.630778,Ras-related protein Rab-8A OS=Rattus norvegicus GN=Rab8a PE=1 SV=2,P35280
m.5962,509,0,0,0,1,0,0,0.204,0.2267,0.997517,0.494474,0.627897,Amidophosphoribosyltransferase OS=Rattus norvegicus GN=Ppat PE=1 SV=1,P35433
m.6522,302,43,42,61,71,70,72,0.61,5.6112,0,0,0.562267,Thrombospondin-1 OS=Mus musculus GN=Thbs1 PE=1 SV=1,P35441
m.29599,227,1,0,0,0,0,0,0.147,0.1604,1,0.551742,0.56398,Dynactin subunit 1 OS=Gallus gallus GN=DCTN1 PE=2 SV=2,P35458
m.30054,147,3,3,1,3,2,1,0.066,0.1165,1,0.581487,0.511292,Dynactin subunit 1 OS=Gallus gallus GN=DCTN1 PE=2 SV=2,P35458
m.395,594,1,2,0,8,10,8,2.205,4.0197,0,0,0.575848,Calnexin OS=Rattus norvegicus GN=Canx PE=1 SV=1,P35565
m.1664,421,0,0,0,5,4,4,1.793,2.6518,0,0,0.607546,Protein DEK OS=Homo sapiens GN=DEK PE=1 SV=1,P35659
m.4304,248,0,1,2,0,0,0,-0.128,-0.1661,0.769749,0.66044,0.11184,Pathogenesis-related protein PRB1-2 OS=Hordeum vulgare PE=2 SV=1,P35792
m.5906,614,0,0,0,2,1,1,0.449,0.5525,0.844453,0.10627,0.744431,Achacin OS=Achatina fulica PE=1 SV=1,P35903
m.139,190,14,14,14,18,18,15,0.432,2.0803,0,0,0.633423,60S ribosomal protein L19 OS=Drosophila melanogaster GN=RpL19 PE=1 SV=2,P36241
m.6700,483,1,1,0,0,0,0,0.189,0.2111,0.999186,0.509316,0.614532,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform OS=Rattus norvegicus GN=Ppp2r2a PE=2 SV=1,P36876
m.21024,188,8,6,1,8,9,8,0.762,2.3,0,0,0.622113,Adenine phosphoribosyltransferase OS=Rattus norvegicus GN=Aprt PE=1 SV=1,P36972
m.5534,255,1,1,2,2,1,1,0.237,0.3268,0.987214,0.380675,0.692011,Synaptosomal-associated protein 25 OS=Drosophila melanogaster GN=Snap25 PE=2 SV=1,P36975
m.4192,379,6,4,1,8,9,6,1.003,2.6133,0,0,0.608956,Protein phosphatase 1B OS=Mus musculus GN=Ppm1b PE=1 SV=1,P36993
m.18969,102,2,6,0,0,0,0,-1.022,-1.3764,0,0.59565,0,"Dynein heavy chain, cytoplasmic OS=Drosophila melanogaster GN=Dhc64C PE=2 SV=2",P37276
m.787,428,48,125,55,43,35,43,-0.4,-3.5944,0,0.566053,0,Multifunctional protein ADE2 OS=Gallus gallus GN=AIRC PE=2 SV=1,P38024
m.4894,508,0,2,0,1,0,0,-0.162,-0.1893,0.706349,0.661034,0.090818,Methionine aminopeptidase 2 OS=Rattus norvegicus GN=Metap2 PE=1 SV=2,P38062
m.18336,196,1,2,10,3,2,5,-0.034,-0.0826,0.930793,0.652815,0.212242,Creatinase OS=Bacillus sp. (strain B-0618) PE=1 SV=3,P38487
m.2032,373,39,35,26,34,33,30,0.209,1.419,0.000001,0,0.67789,4-hydroxybutyrate coenzyme A transferase OS=Clostridium kluyveri (strain ATCC 8527 / DSM 555 / NCIMB 10680) GN=cat2 PE=3 SV=3,P38942
m.5081,198,15,11,7,12,12,19,0.503,2.1478,0,0,0.629758,Ras-like protein RAS2 OS=Hydra vulgaris GN=RAS2 PE=2 SV=1,P38976
m.5290,1690,24,19,15,23,25,21,0.405,2.2263,0,0,0.625705,Tight junction protein ZO-1 OS=Mus musculus GN=Tjp1 PE=1 SV=2,P39447
m.21064,264,0,0,1,1,1,1,0.262,0.2963,0.990595,0.418441,0.676076,Uncharacterized protein YwbO OS=Bacillus subtilis (strain 168) GN=ywbO PE=4 SV=1,P39598
m.606,401,21,23,57,41,46,42,0.486,3.7557,0,0,0.580429,Extracellular metalloprotease OS=Bacillus subtilis (strain 168) GN=mpr PE=1 SV=1,P39790
m.5692,394,3,1,3,6,5,7,1.248,2.6346,0,0,0.608171,E3 ubiquitin-protein ligase RSP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSP5 PE=1 SV=1,P39940
m.18362,249,14,11,6,13,14,12,0.446,1.91,0,0,0.643384,Adenylyl cyclase-associated protein 1 OS=Mus musculus GN=Cap1 PE=1 SV=4,P40124
m.711,289,1,0,0,0,0,0,0.247,0.2872,0.99148,0.429237,0.670755,Chymotrypsin-like protease CTRL-1 OS=Homo sapiens GN=CTRL PE=2 SV=1,P40313
m.9341,306,17,9,13,0,0,0,-2.466,-3.685,0,0.565552,0,Chymotrypsin-like protease CTRL-1 OS=Homo sapiens GN=CTRL PE=2 SV=1,P40313
m.6006,339,298,282,268,167,162,151,-0.336,-5.9742,0,0.559209,0,"Malate dehydrogenase, mitochondrial OS=Homo sapiens GN=MDH2 PE=1 SV=3",P40926
m.6724,676,115,116,82,75,58,54,-0.279,-2.8508,0,0.571075,0,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2",P40939
m.1582,284,1,0,4,5,3,5,1.045,2.1236,0,0,0.631053,Calbindin-32 OS=Drosophila melanogaster GN=Cbp53E PE=2 SV=1,P41044
m.18470,326,23,36,27,31,23,29,0.197,1.2949,0.000029,0.000001,0.687911,Glycine--tRNA ligase OS=Homo sapiens GN=GARS PE=1 SV=3,P41250
m.1866,1135,27,12,18,16,19,16,0.121,0.6428,0.629887,0.045921,0.74481,"Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=IARS PE=1 SV=2",P41252
m.21059,477,0,0,0,0,0,1,0.191,0.2004,1,0.519014,0.604771,Proprotein convertase subtilisin/kexin type 5 OS=Rattus norvegicus GN=Pcsk5 PE=2 SV=3,P41413
m.10289,705,0,0,0,0,2,0,0.473,0.6216,0.690135,0.056875,0.745371,General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1,P41541
m.13303,395,1,0,0,0,0,0,0.238,0.2607,0.994053,0.459269,0.653651,"Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial OS=Rattus norvegicus GN=Idh3g PE=2 SV=2",P41565
m.25121,520,6,1,4,13,10,10,1.36,3.7037,0,0,0.581399,4-coumarate--CoA ligase OS=Pinus taeda GN=4CL PE=2 SV=1,P41636
m.3013,523,2,1,0,1,0,0,-0.097,-0.1269,0.858641,0.658049,0.154343,4-coumarate--CoA ligase OS=Pinus taeda GN=4CL PE=2 SV=1,P41636
m.9863,516,1,0,1,0,3,6,1.442,2.1803,0,0,0.628052,Pre-B-cell leukemia transcription factor 1 OS=Mus musculus GN=Pbx1 PE=1 SV=2,P41778
m.9363,503,3,3,2,2,2,3,0.087,0.1773,1,0.53859,0.582051,Uncharacterized protein YxaL OS=Bacillus subtilis (strain 168) GN=yxaL PE=1 SV=3,P42111
m.29523,191,33,43,24,32,33,32,0.21,1.4865,0,0,0.672702,Neurocalcin homolog OS=Drosophila melanogaster GN=Nca PE=1 SV=2,P42325
m.5664,242,46,51,44,45,48,50,0.238,1.968,0,0,0.639875,Tropomyosin-1 OS=Schistosoma mansoni PE=2 SV=1,P42637
m.900,248,151,121,139,113,123,124,0.102,1.3388,0.00001,0,0.684285,DNA damage checkpoint protein rad24 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=rad24 PE=1 SV=2,P42656
m.12311,214,0,0,0,1,2,1,0.466,0.5883,0.773324,0.077949,0.745502,Dipeptidyl aminopeptidase-like protein 6 OS=Bos taurus GN=DPP6 PE=1 SV=1,P42659
m.32066,156,5,0,0,0,0,0,-0.761,-1.0186,0.000001,0.609895,0,Blastula protease 10 OS=Paracentrotus lividus GN=BP10 PE=2 SV=1,P42674
m.14967,111,3,3,0,1,0,0,-0.752,-0.9431,0.000006,0.613586,0,Protein translation factor SUI1 homolog OS=Anopheles gambiae GN=AGAP006459 PE=3 SV=1,P42678
m.7183,139,0,3,3,3,0,0,-0.14,-0.2281,0.587469,0.660916,0.062308,Tyrosine-protein kinase SRK2 (Fragment) OS=Spongilla lacustris GN=SRK2 PE=2 SV=1,P42688
m.13119,549,30,27,24,13,12,8,-0.67,-3.2894,0,0.567852,0,60 kDa SS-A/Ro ribonucleoprotein OS=Xenopus laevis GN=trove2 PE=1 SV=1,P42700
m.13107,529,1,1,1,0,0,0,0.288,0.3225,0.987705,0.386132,0.689933,Wiskott-Aldrich syndrome protein OS=Homo sapiens GN=WAS PE=1 SV=4,P42768
m.707,329,3,1,2,13,11,11,2.092,4.2415,0,0,0.572718,Translocon-associated protein subunit alpha OS=Homo sapiens GN=SSR1 PE=1 SV=3,P43307
m.19391,189,1,1,1,3,3,3,1.461,2.0036,0,0,0.637781,Translocon-associated protein subunit beta OS=Homo sapiens GN=SSR2 PE=1 SV=1,P43308
m.17895,500,15,11,8,14,9,7,0.102,0.4227,0.966535,0.253592,0.726138,Aldehyde dehydrogenase family 3 member B1 OS=Homo sapiens GN=ALDH3B1 PE=1 SV=1,P43353
m.20959,229,32,35,39,34,37,39,0.268,2.0371,0,0,0.635852,Ran-specific GTPase-activating protein OS=Homo sapiens GN=RANBP1 PE=1 SV=1,P43487
m.5535,314,10,7,19,5,6,5,-0.581,-1.9835,0,0.581125,0,Cathepsin B-like cysteine proteinase 5 OS=Caenorhabditis elegans GN=cpr-5 PE=2 SV=1,P43509
m.10642,392,0,3,0,0,0,0,-0.35,-0.4615,0.059195,0.645944,0.003204,Developmentally-regulated GTP-binding protein 1 OS=Xenopus laevis GN=drg1 PE=2 SV=1,P43690
m.11354,351,19,23,15,32,34,28,0.745,4.3476,0,0,0.571415,Quinone oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=qor PE=3 SV=2,P43903
m.3914,142,18,17,16,20,14,15,0.19,0.9631,0.020643,0.000558,0.717887,Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Mus musculus GN=Fkbp2 PE=1 SV=1,P45878
m.6750,260,90,88,51,39,37,44,-0.403,-3.5134,0,0.56652,0,Protein usf OS=Aquifex pyrophilus GN=usf PE=4 SV=1,P46209
m.134,169,13,8,10,11,15,12,0.442,1.835,0,0,0.648112,60S ribosomal protein L11 OS=Drosophila melanogaster GN=RpL11 PE=1 SV=2,P46222
m.873,140,14,11,11,12,10,12,0.174,0.6934,0.473698,0.026459,0.742286,40S ribosomal protein S12 OS=Sus scrofa GN=RPS12 PE=2 SV=2,P46405
m.30927,172,85,107,132,57,58,58,-0.391,-4.4578,0,0.562805,0,Glutathione S-transferase OS=Dirofilaria immitis PE=2 SV=1,P46426
m.34493,172,7,52,3,16,18,18,0.072,0.3751,0.979926,0.317263,0.71192,Glutathione S-transferase OS=Dirofilaria immitis PE=2 SV=1,P46426
m.11553,214,25,45,53,48,53,57,0.492,4.2041,0,0,0.573203,Glutathione S-transferase 1 OS=Ascaris suum GN=GST1 PE=1 SV=3,P46436
m.355,256,62,99,78,45,47,50,-0.29,-2.7137,0,0.572214,0,Glutathione S-transferase OS=Musca domestica PE=2 SV=1,P46437
m.9753,748,3,3,3,2,0,3,-0.24,-0.4344,0.084934,0.648163,0.004797,Vesicle-fusing ATPase 1 OS=Drosophila melanogaster GN=comt PE=2 SV=1,P46461
m.15859,410,10,8,11,11,8,3,-0.046,-0.1544,0.798905,0.659921,0.123612,26S protease regulatory subunit 7 OS=Mus musculus GN=Psmc2 PE=1 SV=5,P46471
m.11924,283,2,4,0,2,0,5,0.347,0.6291,0.669384,0.052791,0.745212,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1,P46940
m.23728,760,5,6,3,3,4,4,-0.024,-0.0588,0.957899,0.648702,0.2469,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1,P46940
m.35307,214,2,4,0,1,0,0,-0.771,-0.9969,0.000002,0.610928,0,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1,P46940
m.7103,496,6,2,6,5,2,3,-0.123,-0.3102,0.329631,0.657423,0.02507,Thimet oligopeptidase OS=Sus scrofa GN=THOP1 PE=2 SV=2,P47788
m.7674,481,37,48,16,36,34,35,0.291,2.2086,0,0,0.626599,"Glutathione reductase, mitochondrial OS=Mus musculus GN=Gsr PE=1 SV=3",P47791
m.6193,694,0,1,3,4,6,4,1.322,2.5732,0,0,0.610471,Angiotensin-converting enzyme OS=Rattus norvegicus GN=Ace PE=2 SV=1,P47820
m.11819,281,5,2,5,9,7,4,0.711,1.8512,0,0,0.647072,Carbonyl reductase [NADPH] 1 OS=Oryctolagus cuniculus GN=CBR1 PE=2 SV=2,P47844
m.733,773,13,15,10,23,14,14,0.519,2.569,0,0,0.610632,Glutamine--tRNA ligase OS=Homo sapiens GN=QARS PE=1 SV=1,P47897
m.6161,297,7,12,6,8,5,4,-0.171,-0.5442,0.017546,0.639236,0.000852,Crk-like protein OS=Mus musculus GN=Crkl PE=1 SV=2,P47941
m.21538,175,8,4,1,9,6,5,0.658,1.7306,0,0,0.65506,Hypoxanthine-guanine phosphoribosyltransferase OS=Meriones unguiculatus GN=HPRT1 PE=2 SV=2,P47959
m.7588,415,9,8,12,4,0,1,-1.419,-3.139,0,0.568821,0,Carboxypeptidase A2 OS=Homo sapiens GN=CPA2 PE=1 SV=3,P48052
m.19472,871,0,0,0,0,0,1,0.122,0.1357,1,0.56924,0.535347,Extracellular calcium-sensing receptor OS=Rattus norvegicus GN=Casr PE=1 SV=1,P48442
m.29813,455,3,1,1,1,0,1,-0.341,-0.4052,0.122371,0.650523,0.007284,26S protease regulatory subunit 4 OS=Drosophila melanogaster GN=Rpt2 PE=1 SV=2,P48601
m.2764,1523,0,0,0,1,1,3,0.721,0.95,0.02537,0.000697,0.719146,Protein PRRC2A OS=Homo sapiens GN=PRRC2A PE=1 SV=3,P48634
m.23157,316,3,2,3,4,5,7,0.956,2.16,0,0,0.629113,Glutathione synthetase OS=Homo sapiens GN=GSS PE=1 SV=1,P48637
m.34153,162,0,2,0,0,0,0,-0.165,-0.192,0.698369,0.661068,0.088568,Lysozyme OS=Bombyx mori PE=1 SV=1,P48816
m.892,692,33,33,34,22,21,19,-0.26,-1.5931,0,0.589265,0,Arachidonate 5-lipoxygenase OS=Mus musculus GN=Alox5 PE=1 SV=3,P48999
m.19487,501,6,1,2,8,7,9,1.262,3.1263,0,0,0.59312,Paxillin OS=Gallus gallus GN=PXN PE=1 SV=1,P49024
m.9188,352,2,3,1,3,1,2,0.189,0.336,0.985976,0.36887,0.696279,MAP kinase-activated protein kinase 2 OS=Mus musculus GN=Mapkapk2 PE=1 SV=2,P49138
m.17099,205,4,4,3,5,3,5,0.355,0.8851,0.065538,0.001991,0.725439,4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens GN=ALDH9A1 PE=1 SV=3,P49189
m.6505,217,0,2,0,3,2,2,0.842,1.2193,0.000159,0.000004,0.694368,Nuclear autoantigenic sperm protein OS=Homo sapiens GN=NASP PE=1 SV=2,P49321
m.22782,553,7,10,3,20,12,14,1.071,3.8959,0,0,0.577895,Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens GN=ALDH7A1 PE=1 SV=5,P49419
m.20474,180,1,0,0,0,0,0,0.224,0.2698,0.993004,0.449202,0.659802,Inositol polyphosphate 1-phosphatase OS=Mus musculus GN=Inpp1 PE=1 SV=2,P49442
m.34626,203,0,0,0,1,3,1,0.791,1.0397,0.005648,0.000142,0.710629,Photosystem II CP43 chlorophyll apoprotein OS=Odontella sinensis GN=psbC PE=3 SV=1,P49472
m.1281,317,2,1,0,4,3,2,1.14,1.866,0,0,0.646131,Probable protein phosphatase 2C T23F11.1 OS=Caenorhabditis elegans GN=T23F11.1 PE=3 SV=2,P49596
m.3917,159,0,0,0,1,0,0,0.206,0.2433,0.995825,0.477768,0.641033,Probable serine/threonine-protein kinase PkwA OS=Thermomonospora curvata GN=pkwA PE=3 SV=1,P49695
m.5076,1105,21,25,24,33,38,32,0.623,3.8415,0,0,0.578857,Valine--tRNA ligase OS=Takifugu rubripes GN=vars PE=3 SV=1,P49696
m.8936,197,26,27,22,9,12,12,-0.592,-2.8608,0,0.570991,0,Proteasome subunit beta type-2 OS=Homo sapiens GN=PSMB2 PE=1 SV=1,P49721
m.17984,639,63,37,35,46,38,41,0.152,1.2885,0.000034,0.000001,0.688447,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADVL PE=1 SV=1",P49748
m.29182,126,0,0,0,1,0,0,0.181,0.2158,0.998714,0.504933,0.618665,Transcription initiation factor TFIID subunit 6 OS=Homo sapiens GN=TAF6 PE=1 SV=1,P49848
m.15633,448,161,181,157,134,132,123,-0.019,-0.2824,0.412908,0.658981,0.034699,Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2,P50395
m.17857,135,5,5,5,9,9,9,0.819,2.5609,0,0,0.610944,V-type proton ATPase subunit F OS=Rattus norvegicus GN=Atp6v1f PE=1 SV=1,P50408
m.6207,485,13,9,4,7,3,4,-0.383,-1.1188,0,0.605394,0,N-acetylglucosamine-6-sulfatase OS=Capra hircus GN=GNS PE=2 SV=1,P50426
m.5669,235,0,0,0,5,7,5,1.976,3.2145,0,0,0.590991,Arylsulfatase B OS=Mus musculus GN=Arsb PE=2 SV=3,P50429
m.8709,507,33,12,11,17,19,19,0.248,1.3023,0.000024,0.000001,0.687293,Arylsulfatase B OS=Mus musculus GN=Arsb PE=2 SV=3,P50429
m.26012,417,1,0,0,0,0,1,0.133,0.1483,1,0.560565,0.550282,Serpin B9 OS=Homo sapiens GN=SERPINB9 PE=1 SV=1,P50453
m.22944,994,101,34,66,64,52,56,0.091,0.8622,0.088872,0.002824,0.727666,"Alanine--tRNA ligase, cytoplasmic OS=Rattus norvegicus GN=Aars PE=1 SV=3",P50475
m.6817,148,2,2,3,3,3,1,0.22,0.4147,0.969423,0.264197,0.724082,Alcohol dehydrogenase [NADP(+)] OS=Sus scrofa GN=AKR1A1 PE=1 SV=2,P50578
m.4224,397,2,9,5,11,11,11,1.001,3.1977,0,0,0.591381,Proliferation-associated protein 2G4 OS=Mus musculus GN=Pa2g4 PE=1 SV=3,P50580
m.3586,360,1,1,0,0,0,0,0.311,0.3483,0.984388,0.352851,0.701624,Cysteine synthase OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) GN=cysB PE=3 SV=2,P50867
m.15776,107,1,0,1,0,0,0,0.246,0.2859,0.991634,0.430761,0.669973,Dihydroflavonol-4-reductase OS=Zea mays GN=A1 PE=3 SV=1,P51108
m.1038,113,18,14,28,25,24,24,0.443,2.5342,0,0,0.611988,Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3,P51397
m.6822,465,1,3,1,5,3,5,1.255,2.2011,0,0,0.626981,Argininosuccinate lyase OS=Lithobates catesbeiana GN=ASL PE=3 SV=1,P51464
m.18048,376,29,31,32,40,42,39,0.523,3.9239,0,0,0.577413,Galactokinase OS=Homo sapiens GN=GALK1 PE=1 SV=1,P51570
m.14712,256,0,0,0,1,0,0,0.163,0.1761,1,0.539557,0.580808,B-cell receptor-associated protein 31 OS=Homo sapiens GN=BCAP31 PE=1 SV=3,P51572
m.34388,510,3,5,4,0,0,0,-1.264,-1.9042,0,0.582513,0,Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens GN=HSD17B4 PE=1 SV=3,P51659
m.25218,280,52,15,29,21,17,14,-0.388,-2.1591,0,0.578317,0,3-hydroxybutyryl-CoA dehydratase OS=Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787) GN=crt PE=3 SV=1,P52046
m.25985,421,48,50,45,40,37,31,-0.045,-0.3622,0.199416,0.653856,0.01305,"6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens GN=PGD PE=1 SV=3",P52209
m.16351,226,47,56,53,31,30,30,-0.307,-2.4219,0,0.574825,0,GTP-binding nuclear protein Ran OS=Xenopus laevis GN=ran PE=1 SV=2,P52301
m.7417,349,0,1,0,1,1,2,0.507,0.6583,0.583515,0.039022,0.7442,Dual specificity mitogen-activated protein kinase kinase 6 OS=Homo sapiens GN=MAP2K6 PE=1 SV=1,P52564
m.19927,386,2,1,0,7,4,4,1.594,2.7366,0,0,0.604584,Signal transducer and activator of transcription 5B OS=Rattus norvegicus GN=Stat5b PE=2 SV=1,P52632
m.1725,355,1,0,1,3,1,4,1.253,1.6102,0,0,0.66355,Transcription initiation factor IIA subunit 1 OS=Drosophila melanogaster GN=TfIIA-L PE=1 SV=2,P52654
m.23397,127,4,12,11,14,13,12,0.597,2.4925,0,0,0.61366,60S ribosomal protein L22 OS=Caenorhabditis elegans GN=rpl-22 PE=1 SV=3,P52819
m.12185,535,14,4,1,6,9,10,0.51,1.6415,0,0,0.6613,Carnitine O-acetyltransferase OS=Columba livia GN=CRAT PE=1 SV=1,P52826
m.17346,797,2,1,1,0,0,0,-0.122,-0.1554,0.796376,0.659972,0.122574,Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens GN=NUP98 PE=1 SV=4,P52948
m.16371,297,1,0,0,2,4,3,1.381,1.92,0,0,0.64277,NADPH-dependent aldehyde reductase ARI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARI1 PE=1 SV=1,P53111
m.35589,142,2,3,1,0,0,0,-0.568,-0.7627,0.000347,0.623704,0.000013,NADPH-dependent aldehyde reductase ARI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARI1 PE=1 SV=1,P53111
m.1369,374,470,450,431,286,311,312,-0.16,-3.6472,0,0.565757,0,Fructose-bisphosphate aldolase C OS=Carassius auratus GN=aldoc PE=2 SV=2,P53448
m.6625,179,0,0,0,1,0,0,0.153,0.1749,1,0.540518,0.57956,Bcl-2-like protein 1 OS=Rattus norvegicus GN=Bcl2l1 PE=1 SV=2,P53563
m.12740,434,12,15,11,13,14,12,0.269,1.1922,0.000285,0.000006,0.696745,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial (Fragment) OS=Sus scrofa GN=SUCLG2 PE=1 SV=2",P53590
m.8932,510,19,15,24,17,20,19,0.189,0.991,0.013103,0.000344,0.715222,Coatomer subunit delta OS=Bos taurus GN=ARCN1 PE=1 SV=1,P53619
m.5870,1080,23,12,7,18,10,14,0.227,0.9781,0.016209,0.000431,0.716451,Coatomer subunit alpha OS=Homo sapiens GN=COPA PE=1 SV=2,P53621
m.22886,223,1,0,0,0,0,0,0.205,0.224,0.997606,0.497101,0.625655,Integrin alpha-8 OS=Homo sapiens GN=ITGA8 PE=1 SV=3,P53708
m.223,287,2,3,5,4,2,2,-0.021,-0.043,0.972162,0.64541,0.270927,IST1 homolog OS=Homo sapiens GN=IST1 PE=1 SV=1,P53990
m.9557,1256,0,0,0,1,0,0,0.141,0.1658,1,0.547645,0.569889,Protein transport protein Sec24C OS=Homo sapiens GN=SEC24C PE=1 SV=3,P53992
m.23347,148,2,1,2,1,2,1,-0.003,-0.0042,0.995476,0.635239,0.331984,Myosin-2 essential light chain OS=Drosophila melanogaster GN=Mlc-c PE=1 SV=1,P54357
m.27700,104,22,38,36,21,25,23,-0.097,-0.6464,0.003172,0.631491,0.000136,Myosin-2 essential light chain OS=Drosophila melanogaster GN=Mlc-c PE=1 SV=1,P54357
m.5487,105,4,1,6,3,4,2,0.031,0.0697,1,0.606748,0.44655,Myosin-2 essential light chain OS=Drosophila melanogaster GN=Mlc-c PE=1 SV=1,P54357
m.8927,151,42,18,21,9,6,5,-1.195,-4.7234,0,0.561941,0,Myosin-2 essential light chain OS=Drosophila melanogaster GN=Mlc-c PE=1 SV=1,P54357
m.14983,218,21,17,18,28,21,24,0.494,2.8566,0,0,0.600712,V-type proton ATPase subunit E OS=Drosophila melanogaster GN=Vha26 PE=2 SV=1,P54611
m.5407,595,31,37,30,36,41,35,0.364,2.6479,0,0,0.607687,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Sus scrofa GN=PPP2R1A PE=2 SV=2,P54612
m.9419,124,2,0,1,4,4,3,1.246,2.1065,0,0,0.631981,"Single-stranded DNA-binding protein, mitochondrial OS=Drosophila melanogaster GN=mtSSB PE=1 SV=2",P54622
m.4354,296,0,1,0,0,3,1,0.775,1.0217,0.007762,0.000198,0.712318,RAC family serine/threonine-protein kinase homolog OS=Dictyostelium discoideum GN=pkbA PE=1 SV=1,P54644
m.12482,277,0,0,0,3,6,5,1.965,2.6285,0,0,0.608394,Ephrin type-A receptor 6 OS=Rattus norvegicus GN=Epha6 PE=2 SV=2,P54758
m.36387,475,0,0,0,1,0,0,0.235,0.2696,0.993005,0.449425,0.65967,Alpha-N-acetylglucosaminidase OS=Homo sapiens GN=NAGLU PE=1 SV=2,P54802
m.3988,161,5,3,6,4,4,5,0.127,0.3301,0.986903,0.37646,0.69357,Alpha-N-acetylglucosaminidase OS=Homo sapiens GN=NAGLU PE=1 SV=2,P54802
