Protein,Len,NO,NO,NO,ON,ON,ON,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,
m.19991,861,37,14,12,13,25,14,0.109,0.556,0.980602,0.248251,0.740627,Major vault protein OS=Strongylocentrotus purpuratus GN=MVP PE=1 SV=1,Q5EAJ7
m.19993,588,1,3,5,2,3,2,0.027,0.0524,0.994457,0.689911,0.312247,Rho GTPase-activating protein 44 OS=Homo sapiens GN=ARHGAP44 PE=1 SV=1,Q17R89
m.2,157,26,16,20,16,12,5,-0.321,-1.4715,0,0.622075,0,60S ribosomal protein L14 OS=Lumbricus rubellus GN=RPL14 PE=3 SV=1,O46160
m.20,400,0,0,0,0,0,0,0.369,0.4135,1,0.441301,0.694659,Carbonic anhydrase OS=Danio rerio GN=cahz PE=1 SV=2,Q92051
m.200,1142,72,79,57,79,54,59,0.236,2.3777,0,0,0.629093,Ankyrin-3 OS=Mus musculus GN=Ank3 PE=1 SV=1,G5E8K5
m.20007,369,0,3,1,0,0,0,-0.36,-0.433,0.040997,0.683485,0.002682,Transcription factor Sox-8 OS=Tetraodon nigroviridis GN=sox8 PE=2 SV=2,Q6IZ48
m.20009,465,0,1,0,3,1,1,0.886,1.1426,0.007016,0.000355,0.70388,"Carnitine O-palmitoyltransferase 2, mitochondrial OS=Homo sapiens GN=CPT2 PE=1 SV=2",P23786
m.2001,580,0,0,0,0,1,0,0.334,0.3765,1,0.485466,0.675335,EF-hand domain-containing family member C2 OS=Danio rerio GN=efhc2 PE=2 SV=2,Q32TF8
m.20013,565,50,50,57,42,57,35,0.141,1.232,0.001659,0.000075,0.693952,Drebrin-like protein OS=Homo sapiens GN=DBNL PE=1 SV=1,Q9UJU6
m.20024,272,0,0,5,5,1,0,0.306,0.5568,0.980062,0.24718,0.74078,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2,Q96RW7
m.20030,173,0,5,0,0,0,1,-0.633,-0.8932,0.000012,0.646357,0,Low affinity immunoglobulin epsilon Fc receptor OS=Homo sapiens GN=FCER2 PE=1 SV=1,P06734
m.20034,99,0,0,3,0,0,0,-0.319,-0.4079,0.056764,0.686061,0.003832,m.20034,
m.20041,230,81,138,81,42,48,41,-0.53,-5.1009,0,0.593587,0,m.20041,
m.20048,384,1,4,2,4,4,4,0.874,1.8204,0,0,0.652068,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3",Q4LDE5
m.20062,124,2,0,3,0,2,2,0.071,0.108,1,0.673857,0.395999,hypothetical protein LOTGIDRAFT_165383 [Lottia gigantea],ESO88599
m.20078,335,0,0,0,0,0,1,0.279,0.3136,0.99978,0.550136,0.633111,"Choline dehydrogenase, mitochondrial OS=Rattus norvegicus GN=Chdh PE=1 SV=1",Q6UPE0
m.20081,531,2,4,4,2,2,0,-0.431,-0.8066,0.000075,0.651822,0.000003,Ankyrin-2 OS=Mus musculus GN=Ank2 PE=1 SV=2,Q8C8R3
m.20090,294,0,0,0,0,0,0,0.297,0.3365,1,0.528182,0.649964,Retinoid-inducible serine carboxypeptidase OS=Rattus norvegicus GN=Scpep1 PE=2 SV=1,Q920A6
m.20093,192,0,0,0,0,0,0,0.211,0.2472,1,0.603646,0.57353,Coiled-coil domain-containing protein 180 OS=Homo sapiens GN=CCDC180 PE=2 SV=2,Q9P1Z9
m.2011,367,1,1,0,3,1,2,1.053,1.4999,0.000009,0,0.671185,mRNA export factor OS=Sus scrofa GN=RAE1 PE=3 SV=1,A5GFN6
m.20118,478,0,0,0,1,2,0,0.586,0.7929,0.431634,0.038781,0.747539,Tektin-1 OS=Canis familiaris GN=TEKT1 PE=2 SV=1,Q9TTW3
m.2012,191,0,0,0,0,0,0,0.253,0.287,1,0.57335,0.611223,Predicted protein OS=Nematostella vectensis GN=v1g205949 PE=4 SV=1,3273897
m.20145,264,1,2,3,0,0,0,-0.464,-0.6047,0.003162,0.667178,0.000171,Alpha-taxilin OS=Mus musculus GN=Txlna PE=2 SV=1,Q6PAM1
m.20152,312,0,0,0,0,0,0,0.259,0.2886,1,0.572022,0.612613,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 OS=Homo sapiens GN=NDUFAF5 PE=1 SV=1,Q5TEU4
m.20175,165,3,2,2,2,2,2,0.104,0.1809,1,0.643311,0.497187,m.20175,
m.20194,487,0,0,0,0,0,0,0.306,0.3561,1,0.507934,0.663016,Ubiquinone biosynthesis monooxygenase COQ6 OS=Danio rerio GN=coq6 PE=2 SV=1,F1RAX8
m.20195,410,0,0,0,0,0,0,0.272,0.3097,0.999824,0.553693,0.630062,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_117227 PE=4 SV=1,3663449
m.202,101,5,4,7,4,0,3,-0.424,-0.9138,0.000007,0.645143,0,m.202,
m.20203,325,0,0,0,0,0,0,0.269,0.302,0.999906,0.560559,0.623882,MAM domain-containing glycosylphosphatidylinositol anchor protein 2 OS=Homo sapiens GN=MDGA2 PE=1 SV=2,Q7Z553
m.20217,150,0,0,0,0,0,0,0.166,0.202,1,0.632046,0.523295,Probable trafficking protein particle complex subunit 2 OS=Nematostella vectensis GN=v1g94938 PE=3 SV=1,A7RVK7
m.2022,539,3,0,0,2,3,1,0.506,0.8135,0.369819,0.031307,0.745561,Prolyl 4-hydroxylase subunit alpha-2 OS=Homo sapiens GN=P4HA2 PE=1 SV=1,O15460
m.20248,122,2,0,0,1,0,1,-0.049,-0.0635,0.845088,0.706656,0.154754,Predicted protein OS=Nematostella vectensis GN=v1g207332 PE=4 SV=1,3274977
m.20253,281,0,0,0,0,2,0,0.49,0.6258,0.898157,0.161936,0.750107,CUB and sushi domain-containing protein 3 OS=Homo sapiens GN=CSMD3 PE=2 SV=3,Q7Z407
m.20256,148,0,1,0,1,1,0,0.27,0.305,0.999821,0.557908,0.626315,m.20256,
m.2026,290,10,3,3,0,4,4,-0.298,-0.722,0.000397,0.657774,0.000019,Putative glutamine amidotransferase YLR126C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR126C PE=1 SV=1,Q12288
m.2027,646,0,0,0,0,0,0,0.293,0.3118,0.999837,0.551785,0.631711,StAR-related lipid transfer protein 9 OS=Homo sapiens GN=STARD9 PE=1 SV=3,Q9P2P6
m.20280,131,0,0,0,0,0,0,0.182,0.22,1,0.62146,0.544247,"PREDICTED: collagen alpha-4(VI) chain-like, partial [Hydra vulgaris]",XP_002170515
m.20282,2215,4,0,0,1,0,3,0.062,0.0993,1,0.676739,0.383073,m.20282,
m.20293,399,0,0,0,0,0,0,0.244,0.2627,1,0.592464,0.58893,THO complex subunit 1 OS=Homo sapiens GN=THOC1 PE=1 SV=1,Q96FV9
m.2030,436,2,7,7,4,0,12,0.386,1.036,0.032693,0.001883,0.717241,"Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2",P23381
m.20317,123,0,1,0,0,0,0,0.25,0.2826,1,0.576958,0.607351,m.20317,
m.2032,373,39,35,26,19,20,28,-0.088,-0.5635,0.006155,0.670827,0.000348,4-hydroxybutyrate coenzyme A transferase OS=Clostridium kluyveri (strain ATCC 8527 / DSM 555 / NCIMB 10680) GN=cat2 PE=3 SV=3,P38942
m.20323,347,0,0,0,0,0,0,0.195,0.2323,1,0.613683,0.557845,Otoancorin OS=Mus musculus GN=Otoa PE=2 SV=1,Q8K561
m.20351,444,0,0,0,0,0,1,0.274,0.3255,0.99992,0.538958,0.64209,Probable ATP-dependent RNA helicase DDX49 OS=Homo sapiens GN=DDX49 PE=1 SV=1,Q9Y6V7
m.20370,1024,0,0,0,0,0,0,0.289,0.346,1,0.518534,0.656444,E3 ubiquitin-protein ligase MIB2 OS=Gallus gallus GN=MIB2 PE=2 SV=1,Q5ZIJ9
m.20374,285,9,15,9,2,6,9,-0.368,-1.2705,0,0.628646,0,m.20374,
m.204,881,0,0,0,0,0,0,0.299,0.3354,1,0.529279,0.649195,Deleted in malignant brain tumors 1 protein OS=Sus scrofa GN=DMBT1 PE=2 SV=1,Q4A3R3
m.20421,351,0,0,0,0,0,0,0.127,0.1456,1,0.659616,0.450066,ELKS/Rab6-interacting/CAST family member 1 OS=Homo sapiens GN=ERC1 PE=1 SV=1,Q8IUD2
m.20423,419,0,0,0,0,0,0,0.301,0.3336,1,0.531064,0.647927,Predicted protein OS=Nematostella vectensis GN=v1g238693 PE=4 SV=1,3267430
m.2043,302,0,0,0,1,0,0,0.251,0.2696,1,0.587236,0.595488,Exonuclease 3_-5_ domain-containing protein 1 OS=Mus musculus GN=Exd1 PE=2 SV=1,Q8CDF7
m.2044,223,0,0,0,0,0,0,0.344,0.4184,1,0.435149,0.696948,Probable serine incorporator OS=Nematostella vectensis GN=serinc PE=3 SV=1,A7S4N4
m.20468,481,0,0,1,0,0,0,0.258,0.3009,0.999893,0.561523,0.622981,Eukaryotic translation initiation factor 3 subunit D OS=Nematostella vectensis GN=v1g235689 PE=3 SV=1,A7SMR1
m.20474,180,1,0,0,0,1,1,0.275,0.3364,1,0.528282,0.649895,Inositol polyphosphate 1-phosphatase OS=Mus musculus GN=Inpp1 PE=1 SV=2,P49442
m.20478,183,0,2,0,0,2,0,0.274,0.3828,1,0.478247,0.678891,Angiopoietin-1 receptor OS=Mus musculus GN=Tek PE=1 SV=2,Q02858
m.20487,290,2,0,2,0,0,0,-0.374,-0.4623,0.027575,0.680519,0.001743,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_63866 PE=4 SV=1,3663535
m.20494,526,0,0,0,0,0,0,0.384,0.4267,1,0.424583,0.700689,Pancreatic secretory granule membrane major glycoprotein GP2 OS=Canis familiaris GN=GP2 PE=1 SV=1,P25291
m.2050,233,8,3,2,6,4,11,0.813,2.3775,0,0,0.6291,Probable peptidyl-tRNA hydrolase 2 OS=Caenorhabditis elegans GN=C24G6.8 PE=3 SV=1,O76387
m.20505,118,1,2,0,1,5,0,0.942,1.4805,0.000013,0,0.672561,"Pyruvate carboxylase, mitochondrial OS=Homo sapiens GN=PC PE=1 SV=2",P11498
m.20506,179,0,0,0,51,24,62,4.261,8.7944,0,0,0.591543,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g226089 PE=4 SV=1,3302536
m.20509,361,5,4,6,5,10,6,0.645,1.7463,0,0,0.655947,Arfaptin-2 OS=Rattus norvegicus GN=Arfip2 PE=2 SV=1,Q6AY65
m.20590,295,0,0,0,0,0,0,0.292,0.3198,0.999888,0.544374,0.63785,RHS repeat-associated core domain protein OS=Clostridium sp. CAG:568 GN=BN713_01022 PE=4 SV=1,31133027
m.20599,102,1,3,2,0,0,1,-0.555,-0.7026,0.00057,0.659232,0.000028,7-methylguanosine phosphate-specific 5_-nucleotidase A OS=Xenopus laevis GN=Nt5c3b-a PE=2 SV=2,Q7ZWS2
m.20617,373,0,0,0,0,0,0,0.232,0.2305,1,0.614849,0.555892,Interferon-induced guanylate-binding protein 2 OS=Rattus norvegicus GN=Gbp2 PE=1 SV=2,Q63663
m.20624,216,0,0,0,2,0,0,0.612,0.7536,0.556833,0.057048,0.750562,Putative uncharacterized protein OS=Caenorhabditis remanei GN=CRE_06438 PE=4 SV=1,3973503
m.20628,112,0,0,0,0,1,0,0.263,0.3207,0.999886,0.543527,0.638527,Egg protein OS=Euphyllia ancora PE=2 SV=1,5376222
m.20641,264,0,0,0,0,1,0,0.302,0.3301,1,0.534503,0.645432,Plexin A3 OS=Danio rerio GN=plxna3 PE=2 SV=2,B0S5N4
m.20656,236,0,7,9,5,1,6,-0.032,-0.0836,0.798305,0.707617,0.13306,Glutathione S-transferase U20 OS=Arabidopsis thaliana GN=GSTU20 PE=1 SV=1,Q8L7C9
m.20658,291,0,0,0,0,0,0,0.236,0.2625,1,0.592613,0.588737,Uncharacterized protein C05D11.1 OS=Caenorhabditis elegans GN=C05D11.1 PE=1 SV=2,P48053
m.2066,222,0,0,0,0,0,1,0.391,0.4448,1,0.400956,0.708282,COMM domain-containing protein 5 OS=Homo sapiens GN=COMMD5 PE=1 SV=1,Q9GZQ3
m.20660,110,3,0,1,0,0,0,-0.228,-0.2887,0.216826,0.698137,0.017811,Pentatricopeptide repeat-containing protein At3g13150 OS=Arabidopsis thaliana GN=At3g13150 PE=2 SV=1,Q9LK58
m.2067,217,22,8,8,12,2,26,0.34,1.4176,0.000051,0.000002,0.677257,"Acylpyruvase FAHD1, mitochondrial OS=Bos taurus GN=FAHD1 PE=2 SV=1",Q2HJ98
m.20674,110,0,0,0,0,0,0,0.249,0.278,1,0.580659,0.603227,Calcineurin-like phosphoesterase domain-containing protein 1 OS=Mus musculus GN=Cpped1 PE=2 SV=1,Q8BFS6
m.20681,102,0,1,0,0,0,0,0.329,0.3699,1,0.492888,0.671486,4-coumarate--CoA ligase-like 1 OS=Arabidopsis thaliana GN=4CLL1 PE=2 SV=1,Q9LQ12
m.20683,314,5,0,2,3,8,0,0.678,1.5371,0.000004,0,0.668631,NmrA-like family domain-containing protein 1 OS=Gallus gallus GN=NMRAL1 PE=2 SV=1,Q5ZID0
m.20687,385,0,0,1,0,0,0,0.194,0.2227,1,0.619791,0.547282,FGFR1 oncogene partner OS=Bos taurus GN=FGFR1OP PE=2 SV=1,Q2YDD1
m.207,457,0,0,0,0,0,0,0.292,0.3381,1,0.526579,0.651076,Probable serine incorporator OS=Nematostella vectensis GN=serinc PE=3 SV=1,A7S4N4
m.20727,362,0,0,0,0,0,0,0.26,0.2923,1,0.568918,0.61579,Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Gallus gallus GN=PRPSAP2 PE=2 SV=1,Q5ZL26
m.20749,103,0,0,0,0,0,0,0.259,0.3171,0.999803,0.5469,0.635802,m.20749,
m.20762,200,0,0,0,0,1,1,0.275,0.2973,0.999903,0.564649,0.620004,Contactin-associated protein 1 OS=Rattus norvegicus GN=Cntnap1 PE=1 SV=1,P97846
m.20764,128,2,0,0,4,2,0,0.921,1.4063,0.000065,0.000002,0.678144,m.20764,
m.20767,129,0,0,0,1,0,0,0.222,0.2649,1,0.590814,0.59104,Chymotrypsinogen A OS=Bos taurus PE=1 SV=1,P00766
m.20784,421,2,2,0,0,1,2,0.034,0.053,0.994781,0.689767,0.313153,SH3 domain-containing kinase-binding protein 1 OS=Homo sapiens GN=SH3KBP1 PE=1 SV=2,Q96B97
m.20812,259,0,0,0,0,0,0,0.283,0.3336,1,0.531064,0.647927,Release factor glutamine methyltransferase OS=Aquifex aeolicus (strain VF5) GN=prmC PE=3 SV=1,O66506
m.20814,538,0,0,0,0,1,0,0.275,0.3004,0.99988,0.56196,0.62257,m.20814,
m.20818,279,3,4,0,5,7,2,0.909,1.9865,0,0,0.644347,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.20823,136,4,1,0,0,0,0,-0.475,-0.623,0.002328,0.665616,0.000124,Collagen alpha-1(XII) chain OS=Gallus gallus GN=COL12A1 PE=1 SV=3,P13944
m.20828,231,4,2,4,5,5,2,0.482,1.0894,0.01551,0.000838,0.710368,COMM domain-containing protein 9 OS=Homo sapiens GN=COMMD9 PE=1 SV=2,Q9P000
m.20832,431,0,0,0,0,0,0,0.276,0.337,1,0.527682,0.650313,Vacuolar protein sorting-associated protein 13C OS=Homo sapiens GN=VPS13C PE=1 SV=1,Q709C8
m.2085,249,0,0,0,0,0,0,0.223,0.2816,1,0.577768,0.606461,"Maltase-glucoamylase, intestinal OS=Homo sapiens GN=MGAM PE=1 SV=5",O43451
m.20898,435,11,2,11,12,7,4,0.282,0.959,0.086785,0.005519,0.727534,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Bos taurus GN=DLST PE=1 SV=2",P11179
m.20916,317,19,38,52,32,27,34,0.13,0.9392,0.109231,0.00715,0.730191,m.20916,
m.20918,315,3,6,1,3,17,1,1.076,2.802,0,0,0.616819,Methionine adenosyltransferase 2 subunit beta OS=Bos taurus GN=MAT2B PE=2 SV=1,Q29RI9
m.20924,380,16,19,9,11,9,17,0.125,0.5344,0.993032,0.277623,0.736084,cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Pongo abelii GN=PRKAR1A PE=2 SV=2,Q5REL1
m.20925,190,5,22,44,0,0,0,-2.96,-4.6533,0,0.594271,0,Predicted protein OS=Nematostella vectensis GN=v1g241950 PE=4 SV=1,3272997
m.20928,222,0,0,0,0,0,0,0.185,0.2143,1,0.624912,0.537746,Glycogen-binding subunit 76A OS=Drosophila melanogaster GN=Gbs-76A PE=1 SV=1,Q9VVY3
m.20930,647,128,109,125,93,86,69,-0.075,-0.9113,0.000008,0.645289,0,Heat shock cognate 71 kDa protein OS=Rattus norvegicus GN=Hspa8 PE=1 SV=1,P63018
m.2094,592,0,0,0,0,0,1,0.255,0.294,1,0.567476,0.617234,Protein kinase C iota type OS=Mus musculus GN=Prkci PE=1 SV=3,Q62074
m.20941,628,5,2,2,16,10,28,2.062,5.8555,0,0,0.593306,Leukotriene A-4 hydrolase OS=Bos taurus GN=LTA4H PE=2 SV=3,Q3SZH7
m.20943,927,0,0,0,0,0,0,0.176,0.2098,1,0.627572,0.532527,Splicing factor 3B subunit 2 OS=Homo sapiens GN=SF3B2 PE=1 SV=2,Q13435
m.20945,770,11,7,7,4,6,3,-0.352,-0.9512,0.000003,0.643021,0,Huntingtin-interacting protein 1 OS=Homo sapiens GN=HIP1 PE=1 SV=5,O00291
m.2095,584,0,0,0,0,0,0,0.309,0.3215,0.99987,0.542771,0.639126,Tectonic-3 OS=Homo sapiens GN=TCTN3 PE=1 SV=2,Q6NUS6
m.20950,164,0,0,0,0,0,0,0.252,0.3013,0.999901,0.561173,0.623309,Trafficking protein particle complex subunit 1 OS=Rattus norvegicus GN=Trappc1 PE=2 SV=1,Q2KMM2
m.20951,166,13,0,5,0,3,6,-0.36,-0.898,0.000011,0.646071,0,m.20951,
m.20952,109,1,0,1,2,1,0,0.535,0.6674,0.811216,0.119601,0.752363,m.20952,
m.20955,454,0,0,0,0,0,0,0.336,0.37,1,0.492777,0.671545,Lysine-specific demethylase 8 OS=Rattus norvegicus GN=Kdm8 PE=2 SV=1,Q497B8
m.20957,639,24,15,33,23,12,2,-0.362,-1.8107,0,0.614753,0,Protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1,Q58A42
m.20959,229,32,35,39,21,11,30,-0.222,-1.4577,0,0.622476,0,Ran-specific GTPase-activating protein OS=Homo sapiens GN=RANBP1 PE=1 SV=1,P43487
m.20965,99,1,2,0,0,0,0,-0.077,-0.0928,0.774972,0.707898,0.123817,m.20965,
m.20967,304,1,1,2,3,5,0,1.171,1.9042,0,0,0.648027,N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase (Fragment) OS=Spodoptera frugiperda PE=1 SV=1,O02467
m.20970,243,1,10,0,0,11,0,0.368,0.8853,0.194543,0.013956,0.737244,Predicted protein OS=Nematostella vectensis GN=v1g245862 PE=4 SV=1,3279955
m.20978,138,23,23,56,39,20,29,0.177,1.2629,0.000975,0.000042,0.690821,m.20978,
m.20979,350,1,0,0,3,0,0,0.797,1.0441,0.029296,0.001672,0.71618,m.20979,
m.20986,292,0,1,1,3,0,2,0.99,1.3339,0.000269,0.00001,0.684188,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1,Q96CG8
m.20992,502,0,1,0,0,0,0,0.277,0.3327,1,0.531952,0.647289,ATP-binding cassette sub-family E member 1 OS=Mus musculus GN=Abce1 PE=2 SV=1,P61222
m.21,461,193,366,337,202,319,111,-0.042,-0.8575,0.000026,0.648537,0.000001,Elongation factor 1-alpha OS=Danio rerio GN=eef1a PE=2 SV=1,Q92005
m.21000,372,27,26,33,27,9,30,0.05,0.3043,0.999857,0.558529,0.62575,Calumenin OS=Oryctolagus cuniculus GN=CALU PE=1 SV=2,Q6XLQ7
m.21001,182,0,0,2,1,1,0,-0.012,-0.0152,0.931185,0.70218,0.214713,Peptide methionine sulfoxide reductase MsrB OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) GN=msrB PE=3 SV=3,Q8F7W8
m.21002,259,2,1,0,1,0,0,-0.05,-0.0623,0.847769,0.706583,0.156113,Eukaryotic translation initiation factor 3 subunit F OS=Macaca fascicularis GN=EIF3F PE=2 SV=1,Q4R5B8
m.21013,777,0,1,0,0,3,0,0.8,1.0993,0.013431,0.000718,0.709131,Acyl-CoA dehydrogenase family member 11 OS=Rattus norvegicus GN=Acad11 PE=1 SV=1,B3DMA2
m.21018,369,3,0,3,7,3,2,0.874,1.8461,0,0,0.650792,Endophilin-A2 OS=Homo sapiens GN=SH3GL1 PE=1 SV=1,Q99961
m.21023,149,6,4,7,6,1,5,-0.07,-0.1928,0.473648,0.705792,0.050573,Allograft inflammatory factor 1 OS=Homo sapiens GN=AIF1 PE=1 SV=1,P55008
m.21024,188,8,6,1,10,7,14,1.053,3.4201,0,0,0.606378,Adenine phosphoribosyltransferase OS=Rattus norvegicus GN=Aprt PE=1 SV=1,P36972
m.21036,317,0,0,0,0,0,0,0.211,0.2499,1,0.601754,0.576279,Uridine 5_-monophosphate synthase OS=Mus musculus GN=Umps PE=2 SV=3,P13439
m.21043,200,0,0,0,0,0,0,0.198,0.2229,1,0.619667,0.547506,Beta-hexosaminidase subunit A1 OS=Dictyostelium discoideum GN=hexa1 PE=1 SV=1,P13723
m.21046,141,8,2,4,5,5,5,0.377,0.9866,0.062048,0.003801,0.72382,m.21046,
m.21047,294,10,3,8,7,8,3,0.132,0.4073,1,0.448988,0.691676,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial OS=Danio rerio GN=echdc3 PE=2 SV=2",A0PJR5
m.21049,288,2,1,0,1,0,1,-0.041,-0.0542,0.864643,0.706041,0.16547,E3 ubiquitin-protein ligase LRSAM1 OS=Homo sapiens GN=LRSAM1 PE=1 SV=1,Q6UWE0
m.2105,1047,1,0,0,0,0,0,0.248,0.2874,1,0.573019,0.611571,Serine/threonine-protein phosphatase 4 regulatory subunit 1 OS=Rattus norvegicus GN=Ppp4r1 PE=2 SV=1,Q8VI02
m.21052,665,1,2,2,2,0,0,0.032,0.0459,0.990836,0.691429,0.30246,Midasin OS=Giardia intestinalis GN=MDN1 PE=3 SV=1,Q8T5T1
m.21059,477,0,0,0,0,0,0,0.275,0.2874,1,0.573019,0.611571,Proprotein convertase subtilisin/kexin type 5 OS=Rattus norvegicus GN=Pcsk5 PE=2 SV=3,P41413
m.2106,241,0,0,0,0,0,0,0.376,0.4147,1,0.4398,0.695225,Predicted protein OS=Nematostella vectensis GN=v1g176677 PE=4 SV=1,3301926
m.21060,237,0,0,0,0,0,0,0.229,0.2735,1,0.584211,0.599113,Olfactomedin-like protein 2B OS=Bos taurus GN=OLFML2B PE=2 SV=1,A6QLD2
m.21064,264,0,0,1,1,0,0,0.332,0.3732,1,0.489195,0.673426,Uncharacterized protein YwbO OS=Bacillus subtilis (strain 168) GN=ywbO PE=4 SV=1,P39598
m.2107,529,14,15,3,8,6,7,-0.128,-0.4401,0.037302,0.682761,0.00242,Alanine aminotransferase 2 OS=Xenopus tropicalis GN=gpt2 PE=2 SV=1,Q28DB5
m.21070,221,0,0,0,0,0,0,0.162,0.1798,1,0.643866,0.495782,Protein canopy homolog 2 OS=Homo sapiens GN=CNPY2 PE=1 SV=1,Q9Y2B0
m.21071,258,0,0,0,0,0,0,0.269,0.3093,0.999812,0.554055,0.629746,Heat shock protein Hsp-16.41 OS=Caenorhabditis elegans GN=hsp-16.41 PE=2 SV=1,P06581
m.21074,449,7,8,7,8,9,5,0.28,0.9461,0.100923,0.006538,0.729267,Plasminogen activator inhibitor 1 RNA-binding protein OS=Mus musculus GN=Serbp1 PE=1 SV=2,Q9CY58
m.21076,409,0,1,0,0,0,0,0.209,0.2706,1,0.586465,0.596423,Suppressor of G2 allele of SKP1 homolog OS=Bos taurus GN=SUGT1 PE=2 SV=1,Q2KIK0
m.21080,1491,0,0,0,0,0,0,0.195,0.221,1,0.620845,0.545375,G-protein coupled receptor 98 OS=Danio rerio GN=gpr98 PE=2 SV=1,Q6JAN0
m.21120,689,0,0,0,0,0,0,0.25,0.2889,1,0.571772,0.612872,m.21120,
m.21130,378,0,0,0,0,0,2,0.637,0.763,0.526429,0.052158,0.749941,Arrestin domain-containing protein A OS=Dictyostelium discoideum GN=adcA PE=1 SV=1,Q54CH1
m.21131,238,1,3,3,2,0,0,-0.325,-0.4829,0.020649,0.67847,0.001275,Metalloproteinase inhibitor 3 OS=Gallus gallus GN=TIMP3 PE=1 SV=2,P26652
m.21138,240,0,0,0,0,0,0,0.246,0.2881,1,0.572438,0.612179,Tachylectin-2 OS=Tachypleus tridentatus PE=1 SV=1,Q27084
m.21147,116,0,0,0,0,0,0,0.288,0.3284,1,0.536158,0.644205,Granulins OS=Mus musculus GN=Grn PE=1 SV=2,P28798
m.21152,377,8,9,5,10,8,5,0.379,1.2382,0.001493,0.000066,0.693311,Eukaryotic translation initiation factor 3 subunit M OS=Nematostella vectensis GN=v1g192238 PE=3 SV=1,A7SPX9
m.21153,225,0,0,0,2,0,0,0.608,0.697,0.732385,0.09433,0.752632,Ras-related protein Rab-32 OS=Mus musculus GN=Rab32 PE=2 SV=3,Q9CZE3
m.21155,574,0,0,0,0,0,0,0.28,0.3081,0.999757,0.555136,0.628794,"Coiled-coil domain-containing protein 19, mitochondrial OS=Homo sapiens GN=CCDC19 PE=2 SV=2",Q9UL16
m.21179,265,16,11,33,24,20,11,0.212,1.1516,0.006105,0.000306,0.702823,"Adenylate kinase 2, mitochondrial OS=Danio rerio GN=ak2 PE=2 SV=1",Q1L8L9
m.2118,372,0,0,1,0,0,0,0.291,0.3521,1,0.512175,0.660452,Mothers against decapentaplegic homolog 4 OS=Homo sapiens GN=SMAD4 PE=1 SV=1,Q13485
m.21180,384,2,5,0,0,3,0,-0.186,-0.3063,0.182135,0.696437,0.014432,Serpin B8 OS=Bos taurus GN=SERPINB8 PE=2 SV=1,Q5BIR5
m.21193,126,0,0,0,0,0,0,0.309,0.3508,1,0.513541,0.659607,MAM domain-containing glycosylphosphatidylinositol anchor protein 1 OS=Rattus norvegicus GN=Mdga1 PE=1 SV=1,P85171
m.212,347,1,0,0,3,3,2,1.359,2.0232,0,0,0.642775,45 kDa calcium-binding protein OS=Danio rerio GN=sdf4 PE=2 SV=1,Q7ZUC2
m.21219,494,0,0,0,0,0,0,0.248,0.2807,1,0.578495,0.605657,Matrix metalloproteinase-24 OS=Rattus norvegicus GN=Mmp24 PE=2 SV=1,Q99PW6
m.21223,127,1,2,0,3,0,3,0.894,1.3804,0.000109,0.000004,0.680231,Pterin-4-alpha-carbinolamine dehydratase 2 OS=Mus musculus GN=Pcbd2 PE=1 SV=2,Q9CZL5
m.21227,279,0,0,1,0,0,0,0.264,0.3001,0.999869,0.562221,0.622324,Tolloid-like protein 1 OS=Xenopus laevis GN=tll1 PE=1 SV=1,Q8JI28
m.21231,339,0,0,0,0,0,0,0.3,0.3364,1,0.528282,0.649895,DNA replication licensing factor mcm7-A OS=Xenopus laevis GN=mcm7-a PE=1 SV=2,Q91876
m.21240,415,6,3,0,2,5,0,0.075,0.1532,1,0.65636,0.460547,m.21240,
m.21243,540,0,0,0,0,0,0,0.193,0.2187,1,0.622256,0.542776,Probable ATP-dependent RNA helicase DDX46 OS=Danio rerio GN=ddx46 PE=2 SV=1,Q4TVV3
m.21266,454,0,0,0,0,0,0,0.301,0.3375,1,0.527181,0.65066,Rab proteins geranylgeranyltransferase component A 1 OS=Homo sapiens GN=CHM PE=1 SV=3,P24386
