Protein,Len,NN,NN,NN,NO,NO,NO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE
m.17582,562,1,4,5,9,6,4,0.559,1.4624,1,0.391468,1,Collagen alpha-4(VI) chain OS=Mus musculus GN=Col6a4 PE=1 SV=2
m.17587,233,4,6,2,4,3,4,-0.148,-0.333,0.672926,0.841808,1,Septin-2 OS=Gallus gallus GN=SEPT2 PE=2 SV=1
m.17588,743,6,8,2,13,12,4,0.489,1.4807,1,0.374439,1,Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1 PE=1 SV=2
m.17595,424,36,31,71,39,40,34,-0.277,-2.0892,0.472115,1,0.148627,Phosphatidylinositol-binding clathrin assembly protein OS=Rattus norvegicus GN=Picalm PE=1 SV=1
m.17598,232,1,0,0,2,0,0,0.179,0.2269,1,1,0.854486,Calumenin-A OS=Salmo salar GN=calua PE=2 SV=1
m.17599,105,1,0,0,0,0,0,-0.177,-0.2094,0.477069,0.902555,1,Calumenin-B OS=Danio rerio GN=calub PE=2 SV=1
m.17609,155,1,0,0,1,0,1,-0.027,-0.0318,0.499002,1,0.888113,Cysteine and glycine-rich protein 2 OS=Homo sapiens GN=CSRP2 PE=1 SV=3
m.1761,2437,4,6,16,13,17,6,0.255,0.9522,1,0.915978,0.988364,Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2
m.17615,183,0,12,14,6,6,19,0.058,0.2363,1,1,0.856423,Egg protein OS=Galaxea fascicularis GN=GfEP-4 PE=2 SV=1
m.17617,269,0,0,0,1,0,0,-0.126,-0.1349,0.44751,0.981208,0.988759,Uncharacterized methyltransferase Mb3374 OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) GN=Mb3374 PE=3 SV=1
m.17619,306,10,13,4,10,8,2,-0.368,-1.2083,1,0.991894,0.888184,Collagen alpha-5(VI) chain OS=Homo sapiens GN=COL6A5 PE=1 SV=1
m.17634,303,0,3,3,2,0,4,-0.028,-0.0504,0.481269,1,0.901611,Transcription elongation factor A protein 2 OS=Homo sapiens GN=TCEA2 PE=1 SV=1
m.17642,405,7,9,5,12,9,9,0.281,0.9909,1,0.874199,0.991016,"Enoyl-CoA delta isomerase 2, mitochondrial OS=Mus musculus GN=Eci2 PE=1 SV=2"
symbB1.EST_k37c20_7518|m.17649,648,2,1,4,2,2,1,-0.428,-0.7189,1,0.907351,1,symbB1.EST_k37c20_7518 g.17649  ORF symbB1.EST_k37c20_7518 g.17649 symbB1.EST_k37c20_7518 m.17649 type:3prime_partial len:649 (+) symbB1.EST_k37c20_7518:63-2006(+)
m.17653,215,14,17,15,14,14,18,-0.079,-0.3764,0.798561,0.836767,1,Charged multivesicular body protein 4b OS=Xenopus tropicalis GN=chmp4b PE=2 SV=1
m.17655,964,0,4,0,0,4,4,0.317,0.5638,1,1,0.935561,L-tyrosine decarboxylase OS=Methanococcus aeolicus (strain Nankai-3 / ATCC BAA-1280) GN=mfnA PE=3 SV=1
m.17662,137,6,2,2,5,0,4,-0.062,-0.1313,0.447485,0.987485,0.982767,Predicted protein OS=Nematostella vectensis GN=v1g206837 PE=4 SV=1
m.17663,669,0,0,0,0,1,0,-0.139,-0.1506,0.44909,0.963248,1,A disintegrin and metalloproteinase with thrombospondin motifs 6 OS=Homo sapiens GN=ADAMTS6 PE=2 SV=2
symbB1.EST_k37c20_793|m.1768,228,0,0,0,1,0,0,-0.153,-0.1712,0.454865,0.938785,1,symbB1.EST_k37c20_793 g.1768  ORF symbB1.EST_k37c20_793 g.1768 symbB1.EST_k37c20_793 m.1768 type:5prime_partial len:228 (-) symbB1.EST_k37c20_793:271-954(-)
m.17682,122,1,10,1,4,8,1,0.02,0.0498,0.63102,1,0.851801,Transcription elongation factor B polypeptide 1 OS=Rattus norvegicus GN=Tceb1 PE=1 SV=1
m.17683,465,4,5,4,7,2,4,-0.076,-0.1895,0.463586,0.919525,1,Protein DDI1 homolog 2 OS=Homo sapiens GN=DDI2 PE=1 SV=1
m.17685,206,0,0,0,2,0,0,0.244,0.2743,1,1,0.864989,Hemagglutinin/amebocyte aggregation factor OS=Limulus polyphemus PE=1 SV=1
m.17686,418,13,2,10,10,4,5,-0.367,-1.1824,1,0.989486,0.917299,Peroxidasin homolog OS=Mus musculus GN=Pxdn PE=2 SV=2
m.17700,509,0,0,1,0,1,1,-0.122,-0.1392,0.447701,0.975076,0.994882,Pleiotropic regulator 1 OS=Mus musculus GN=Plrg1 PE=2 SV=1
m.17702,169,1,2,1,0,0,0,-0.432,-0.5596,1,0.86473,1,m.17702
m.17710,151,1,1,2,0,0,0,-0.483,-0.6313,1,0.883863,1,Myosin-2 essential light chain OS=Drosophila melanogaster GN=Mlc-c PE=1 SV=1
m.17718,670,7,8,32,33,9,19,0.169,0.8799,1,0.997444,0.982142,"Acetyl-coenzyme A synthetase, cytoplasmic OS=Mus musculus GN=Acss2 PE=1 SV=2"
m.17738,499,0,1,0,0,0,0,-0.13,-0.1385,0.447658,0.978124,0.991805,"Lon protease homolog, mitochondrial OS=Rattus norvegicus GN=Lonp1 PE=2 SV=1"
m.17739,255,5,9,7,5,5,6,-0.367,-1.0873,1,0.978917,1,Peroxiredoxin-4 OS=Mus musculus GN=Prdx4 PE=1 SV=1
m.17758,659,2,2,3,2,2,1,-0.447,-0.7536,1,0.916358,1,Epidermal growth factor receptor kinase substrate 8-like protein 2 OS=Mus musculus GN=Eps8l2 PE=1 SV=1
m.17769,574,1,0,7,2,1,2,-0.747,-1.3419,1,1,0.743061,Spermatogenesis-associated protein 20 OS=Homo sapiens GN=SPATA20 PE=2 SV=3
m.17776,322,9,9,8,11,1,6,-0.446,-1.373,1,1,0.710327,Dehydrogenase/reductase SDR family member 12 OS=Homo sapiens GN=DHRS12 PE=1 SV=2
symbB1.EST_k37c20_7570|m.17780,445,1,0,2,1,1,1,-0.398,-0.4901,1,0.848486,1,symbB1.EST_k37c20_7570 g.17780  ORF symbB1.EST_k37c20_7570 g.17780 symbB1.EST_k37c20_7570 m.17780 type:5prime_partial len:445 (-) symbB1.EST_k37c20_7570:215-1549(-)
m.17784,409,2,3,7,2,4,2,-0.507,-1.1138,1,0.982117,0.994481,Protein OSCP1 OS=Rattus norvegicus GN=Oscp1 PE=2 SV=1
m.17789,102,1,1,0,0,1,0,-0.143,-0.1651,0.452711,0.943966,1,BolA-like protein 2 OS=Mus musculus GN=Bola2 PE=1 SV=1
m.17793,185,1,2,0,0,0,0,-0.487,-0.5998,1,0.875462,1,Protein Dr1 OS=Rattus norvegicus GN=Dr1 PE=2 SV=1
m.17794,846,17,45,53,41,57,44,0.141,1.1395,1,0.712808,0.998385,Programmed cell death 6-interacting protein OS=Homo sapiens GN=PDCD6IP PE=1 SV=1
m.17804,580,34,58,57,53,50,46,-0.084,-0.7242,1,0.908574,1,"Tyrosine--tRNA ligase, cytoplasmic OS=Danio rerio GN=yars PE=2 SV=2"
m.17812,263,3,3,5,3,0,2,-0.749,-1.4878,1,1,0.593116,Collagen alpha-5(VI) chain OS=Homo sapiens GN=COL6A5 PE=1 SV=1
m.17821,322,202,138,174,186,160,165,-0.079,-1.1957,1,0.990606,0.904041,Transaldolase OS=Rattus norvegicus GN=Taldo1 PE=1 SV=2
m.17830,352,0,0,1,0,0,0,-0.152,-0.1786,0.457976,0.931288,1,Tumor susceptibility gene 101 protein OS=Homo sapiens GN=TSG101 PE=1 SV=2
m.17836,548,0,0,0,0,0,1,-0.199,-0.2226,0.488421,0.8913,1,Aryl hydrocarbon receptor nuclear translocator homolog OS=Drosophila melanogaster GN=tgo PE=1 SV=3
m.17857,135,8,5,3,5,5,5,-0.151,-0.4182,0.951124,0.837676,1,V-type proton ATPase subunit F OS=Rattus norvegicus GN=Atp6v1f PE=1 SV=1
m.17859,221,4,7,7,6,5,7,-0.108,-0.3239,0.65076,0.843311,1,Protein unc-119 homolog B OS=Mus musculus GN=Unc119b PE=2 SV=1
m.17862,310,0,1,0,0,1,0,-0.143,-0.1708,0.454713,0.938786,1,Hatching enzyme OS=Paracentrotus lividus PE=1 SV=1
m.17885,208,1,1,6,2,2,2,-0.411,-0.7474,1,0.914588,1,Ras-related protein Rab6 OS=Drosophila melanogaster GN=Rab6 PE=1 SV=1
m.17886,251,0,0,1,0,0,0,-0.166,-0.1998,0.470032,0.910756,1,Serine/arginine-rich splicing factor 1 OS=Gallus gallus GN=SRSF1 PE=1 SV=3
m.17894,227,1,0,0,3,0,0,0.434,0.5297,1,1,0.928012,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Xenopus tropicalis GN=lrpprc PE=2 SV=1"
m.17895,500,3,14,13,15,11,8,0.044,0.1811,1,1,0.846585,Aldehyde dehydrogenase family 3 member B1 OS=Homo sapiens GN=ALDH3B1 PE=1 SV=1
m.17897,385,5,10,12,12,16,5,0.127,0.4874,1,1,0.91889,"Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Drosophila melanogaster GN=l(1)G0156 PE=2 SV=1"
m.17910,625,10,2,5,1,1,1,-1.907,-2.8463,0.048295,0.994352,0.010391,"FERM, RhoGEF and pleckstrin domain-containing protein 2 OS=Mus musculus GN=Farp2 PE=1 SV=2"
m.17922,150,0,5,19,0,3,0,-1.786,-3.5341,0.002916,0.988991,0.000338,Vitellogenin-1 OS=Fundulus heteroclitus GN=vtg1 PE=1 SV=2
m.1793,310,0,2,3,2,0,2,-0.334,-0.5107,1,0.852564,1,Dehydrogenase/reductase SDR family member 1 OS=Mus musculus GN=Dhrs1 PE=2 SV=1
m.17930,292,0,1,0,0,0,0,-0.08,-0.0942,0.454664,1,0.942128,m.17930
m.1796,557,41,53,54,38,44,49,-0.208,-1.7353,1,1,0.363,Asparagine synthetase [glutamine-hydrolyzing] OS=Cricetulus griseus GN=ASNS PE=2 SV=2
m.17967,175,0,2,2,3,1,1,-0.075,-0.1113,0.449667,1,0.96014,ADP-ribosylation factor 6 OS=Gallus gallus GN=ARF6 PE=2 SV=3
m.17970,233,0,6,0,2,3,0,-0.393,-0.7414,1,0.913399,1,2-(R)-hydroxypropyl-CoM dehydrogenase OS=Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2) GN=xecD PE=1 SV=3
m.17973,111,0,0,0,2,0,0,0.357,0.418,1,1,0.901489,"UPF0160 protein MYG1, mitochondrial OS=Bos taurus PE=2 SV=1"
symbB1.EST_k37c20_7666|m.17974,572,19,22,10,15,17,11,-0.246,-1.1524,1,0.98637,0.951851,symbB1.EST_k37c20_7666 g.17974  ORF symbB1.EST_k37c20_7666 g.17974 symbB1.EST_k37c20_7666 m.17974 type:5prime_partial len:572 (+) symbB1.EST_k37c20_7666:1-1716(+)
m.17984,639,31,62,50,63,37,35,-0.144,-1.2213,1,0.992921,0.874993,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADVL PE=1 SV=1"
m.17992,724,48,43,57,71,55,49,0.09,0.8195,1,1,0.975976,"Aconitate hydratase, mitochondrial OS=Sus scrofa GN=ACO2 PE=1 SV=1"
m.18001,225,0,0,0,2,0,2,0.506,0.6114,1,1,0.944872,CUB and sushi domain-containing protein 1 OS=Homo sapiens GN=CSMD1 PE=1 SV=2
m.18009,870,0,1,0,1,0,0,-0.145,-0.1611,0.451509,0.949292,1,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 OS=Mus musculus GN=Magi2 PE=1 SV=2"
m.18017,297,0,0,0,0,1,0,-0.106,-0.1241,0.447818,0.997171,0.974029,Retinol dehydrogenase 8 OS=Homo sapiens GN=RDH8 PE=1 SV=1
m.1802,545,0,2,0,1,1,0,-0.441,-0.554,1,0.863506,1,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase OS=Mus musculus GN=Ngly1 PE=1 SV=2
m.18040,327,11,19,20,19,27,21,0.226,1.1878,1,0.662902,0.999891,Glucosamine-6-phosphate isomerase 1 OS=Bos taurus GN=GNPDA1 PE=2 SV=1
m.18047,117,0,0,3,0,0,1,-0.671,-0.8224,1,0.932574,1,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Bos taurus GN=FKBP4 PE=1 SV=4
m.18048,376,28,32,33,29,31,32,-0.077,-0.5395,1,0.85931,1,Galactokinase OS=Homo sapiens GN=GALK1 PE=1 SV=1
m.1806,594,0,2,1,0,0,1,-0.533,-0.6394,1,0.886453,1,5-oxoprolinase OS=Homo sapiens GN=OPLAH PE=1 SV=3
m.18060,194,1,5,3,4,5,1,-0.012,-0.0264,0.504927,1,0.885056,"Arginine--tRNA ligase, cytoplasmic OS=Xenopus tropicalis GN=rars PE=2 SV=1"
m.18062,181,10,15,3,7,6,0,-0.753,-2.2806,0.312531,1,0.083999,Lactoylglutathione lyase OS=Rattus norvegicus GN=Glo1 PE=1 SV=3
m.18064,292,0,1,0,2,0,0,0.182,0.2294,1,1,0.854961,Coagulation factor V OS=Sus scrofa GN=F5 PE=2 SV=1
m.18070,421,6,4,7,6,8,3,-0.067,-0.1994,0.469761,0.910757,1,26S proteasome non-ATPase regulatory subunit 4 OS=Bos taurus GN=PSMD4 PE=2 SV=1
m.1809,261,0,0,3,0,0,1,-0.643,-0.8187,1,0.931511,1,Predicted protein OS=Nematostella vectensis GN=v1g242093 PE=4 SV=1
m.18090,289,1,5,1,3,4,2,0.156,0.3018,1,1,0.871417,Cytosol aminopeptidase OS=Xenopus tropicalis GN=lap3 PE=2 SV=1
m.1811,272,5,10,9,10,11,5,0.007,0.0253,0.581127,1,0.859216,3-hydroxyacyl-CoA dehydrogenase type-2 OS=Bos taurus GN=HSD17B10 PE=1 SV=3
m.18112,288,0,0,8,0,0,1,-1.372,-2.1015,0.458854,1,0.143809,Sulfotransferase family cytosolic 1B member 1 OS=Homo sapiens GN=SULT1B1 PE=1 SV=2
m.18144,177,1,2,2,2,2,0,-0.024,-0.0339,0.496796,1,0.889689,Protein FAM49B OS=Homo sapiens GN=FAM49B PE=1 SV=1
m.18155,470,11,21,14,29,26,19,0.385,2.1021,0.257985,0.053155,1,m.18155
m.1816,454,0,0,1,4,1,3,1.001,1.3693,1,0.478381,1,Tolloid-like protein 2 OS=Xenopus laevis GN=tll2 PE=2 SV=1
m.18179,295,0,2,1,3,7,7,1.434,2.4482,0.06261,0.013923,0.996117,Olfactomedin-like protein 2A OS=Mus musculus GN=Olfml2a PE=1 SV=1
m.18203,117,0,0,0,0,0,1,-0.17,-0.1917,0.464868,0.91728,1,m.18203
m.18216,767,0,0,3,4,0,1,0.024,0.0392,0.608248,1,0.854467,Mitochondrial inner membrane protein OS=Mus musculus GN=Immt PE=1 SV=1
m.18267,180,0,0,1,0,0,0,-0.19,-0.212,0.479148,0.900591,1,Translational activator GCN1 OS=Homo sapiens GN=GCN1L1 PE=1 SV=6
m.18280,786,0,18,1,5,9,1,-0.373,-1.1007,1,0.9804,1,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1
m.18288,378,6,4,1,3,4,0,-0.44,-0.9124,1,0.951196,1,Probable S-adenosylmethionine-dependent methyltransferase At5g37990 OS=Arabidopsis thaliana GN=At5g37990 PE=3 SV=2
m.18294,121,3,3,3,3,5,9,0.566,1.3092,1,0.539143,1,UPF0390 protein zgc136864 OS=Danio rerio GN=zgc:136864 PE=3 SV=1
m.18307,451,1,0,1,1,0,1,-0.137,-0.1593,0.451018,0.952009,1,Vacuolar protein sorting-associated protein 13C OS=Mus musculus GN=Vps13c PE=1 SV=2
m.18336,196,7,3,13,1,2,10,-0.677,-1.9415,0.684903,1,0.219835,Creatinase OS=Bacillus sp. (strain B-0618) PE=1 SV=3
m.1834,596,0,4,4,6,7,6,0.663,1.5184,1,0.343423,1,Lysine--tRNA ligase OS=Mus musculus GN=Kars PE=1 SV=1
m.18355,140,49,51,49,40,38,60,-0.147,-1.2628,1,0.996288,0.827859,Barrier-to-autointegration factor OS=Danio rerio GN=banf1 PE=1 SV=1
m.18362,249,4,5,11,14,11,6,0.349,1.2219,1,0.628404,1,Adenylyl cyclase-associated protein 1 OS=Mus musculus GN=Cap1 PE=1 SV=4
m.18366,538,7,14,12,14,22,9,0.227,0.9732,1,0.892442,0.9899,T-complex protein 1 subunit delta OS=Rattus norvegicus GN=Cct4 PE=1 SV=3
m.18370,247,13,6,3,4,1,3,-1.149,-2.7601,0.066046,0.995441,0.014783,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_91695 PE=4 SV=1
m.18373,191,1,0,0,0,0,6,1.013,1.3917,1,0.457824,1,Predicted protein OS=Nematostella vectensis GN=v1g237935 PE=4 SV=1
m.1838,245,0,1,0,0,3,0,0.457,0.5777,1,1,0.938446,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1
m.18387,243,3,7,3,7,6,7,0.354,0.9491,1,0.921223,0.988006,m.18387
m.1839,150,6,4,8,6,4,5,-0.257,-0.7033,1,0.903646,1,m.1839
m.184,376,952,2041,3071,2117,2597,2536,0.103,6.0913,0,0,0.984473,m.184
symbB1.EST_k37c20_7857|m.18402,236,0,0,1,0,1,0,-0.114,-0.1338,0.447487,0.984329,0.985746,symbB1.EST_k37c20_7857 g.18402  ORF symbB1.EST_k37c20_7857 g.18402 symbB1.EST_k37c20_7857 m.18402 type:complete len:236 (+) symbB1.EST_k37c20_7857:63-770(+)
m.18406,213,0,0,1,0,0,0,-0.122,-0.1422,0.447948,0.972065,0.997994,UMP-CMP kinase OS=Gallus gallus GN=CMPK PE=2 SV=1
m.18408,135,0,3,3,0,3,2,-0.284,-0.4843,1,0.847061,1,Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_160587 PE=4 SV=1
m.18428,171,0,1,0,0,0,0,-0.128,-0.145,0.448254,0.96909,1,Zinc-binding alcohol dehydrogenase domain-containing protein 2 OS=Mus musculus GN=Zadh2 PE=1 SV=1
m.18439,485,1,2,2,1,1,3,-0.05,-0.0745,0.464106,1,0.92142,Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=3
m.1846,234,0,2,0,1,0,0,-0.463,-0.5527,1,0.862897,1,Wd40 repeat-containing protein OS=Leptolyngbya sp. Heron Island J GN=N836_24850 PE=4 SV=1
m.18462,162,0,0,4,1,0,0,-0.865,-1.2256,1,0.993321,0.869731,Trans-L-3-hydroxyproline dehydratase OS=Saccoglossus kowalevskii GN=l3hypdh PE=1 SV=1
m.1847,1012,0,0,0,0,1,0,-0.107,-0.1219,0.44802,1,0.971183,FCH domain only protein 2 OS=Danio rerio GN=fcho2 PE=2 SV=1
m.18470,326,13,45,40,23,36,27,-0.203,-1.3301,1,1,0.755755,Glycine--tRNA ligase OS=Homo sapiens GN=GARS PE=1 SV=3
m.18491,290,1,2,1,0,0,1,-0.465,-0.5466,1,0.861088,1,Myc box-dependent-interacting protein 1 OS=Rattus norvegicus GN=Bin1 PE=1 SV=1
m.18493,251,1,0,0,0,0,0,-0.21,-0.2336,0.499415,0.884464,1,Aly/REF export factor 2 OS=Mus musculus GN=Alyref2 PE=1 SV=1
m.1850,391,3,6,6,8,9,3,0.196,0.5567,1,1,0.93409,Clavaminate synthase-like protein At3g21360 OS=Arabidopsis thaliana GN=At3g21360 PE=1 SV=1
m.18531,393,0,2,0,1,2,0,-0.083,-0.1137,0.449198,1,0.96285,Calsequestrin-1 OS=Oryctolagus cuniculus GN=CASQ1 PE=1 SV=1
m.18543,325,0,0,0,1,0,0,-0.085,-0.0951,0.454331,1,0.942126,Sulfotransferase 1C4 OS=Homo sapiens GN=SULT1C4 PE=1 SV=2
m.18548,223,0,0,1,0,0,0,0.013,0.0147,0.56244,1,0.863895,Acyl-CoA dehydrogenase family member 10 OS=Mus musculus GN=Acad10 PE=1 SV=1
m.18550,321,7,4,4,6,6,9,0.268,0.8215,1,1,0.976243,Eukaryotic translation initiation factor 3 subunit I OS=Nematostella vectensis GN=v1g239264 PE=3 SV=1
m.18553,252,38,24,46,16,18,21,-0.733,-4.3839,0.000012,0.986686,0.000001,m.18553
m.18556,357,13,38,42,50,37,43,0.263,2.0243,0.343284,0.070457,1,Glyoxylate reductase/hydroxypyruvate reductase OS=Homo sapiens GN=GRHPR PE=1 SV=1
m.18584,365,2,12,5,3,7,1,-0.651,-1.6844,1,1,0.407139,N-acetyl-D-glucosamine kinase OS=Mus musculus GN=Nagk PE=2 SV=3
m.18595,162,0,0,0,0,1,0,-0.038,-0.0398,0.490876,1,0.894611,Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1
m.186,106,0,0,1,0,0,0,-0.027,-0.0299,0.501043,1,0.888121,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g224948 PE=4 SV=1
m.18619,214,19,18,11,9,15,22,-0.129,-0.5998,1,0.875462,1,Predicted protein OS=Nematostella vectensis GN=v1g247951 PE=4 SV=1
m.1862,270,0,0,2,1,1,1,-0.444,-0.5261,1,0.856423,1,m.1862
m.18621,247,2,0,0,0,1,0,-0.531,-0.6211,1,0.881273,1,m.18621
symbB1.EST_k37c20_7975|m.18657,473,1,5,2,2,2,3,-0.245,-0.4623,1,0.843209,1,symbB1.EST_k37c20_7975 g.18657  ORF symbB1.EST_k37c20_7975 g.18657 symbB1.EST_k37c20_7975 m.18657 type:5prime_partial len:473 (-) symbB1.EST_k37c20_7975:113-1531(-)
m.1866,1135,5,10,25,27,12,18,0.283,1.3728,1,0.476089,1,"Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=IARS PE=1 SV=2"
m.18667,123,0,1,0,1,1,0,-0.146,-0.1595,0.45107,0.952009,1,"Sushi, nidogen and EGF-like domain-containing protein 1 OS=Homo sapiens GN=SNED1 PE=2 SV=2"
m.18693,232,9,10,6,3,14,9,-0.049,-0.1631,0.45209,0.946611,1,Menin OS=Canis familiaris GN=MEN1 PE=2 SV=1
m.18748,201,1,9,2,1,3,1,-0.98,-1.8876,0.784022,1,0.252484,Ras-related protein Rab-35 OS=Rattus norvegicus GN=Rab35 PE=1 SV=1
m.18767,961,3,9,5,4,11,7,0.181,0.5663,1,1,0.936047,Eukaryotic translation initiation factor 4 gamma 3 OS=Homo sapiens GN=EIF4G3 PE=1 SV=2
m.1881,292,127,122,210,156,132,225,0.044,0.7244,1,1,0.963749,Retinal dehydrogenase 1 OS=Gallus gallus GN=ALDH1A1 PE=2 SV=1
m.18818,131,4,6,5,7,4,6,0.055,0.1567,0.974287,1,0.844077,m.18818
m.18819,1444,24,39,38,56,30,22,-0.007,-0.0538,0.478457,1,0.905314,Annexin A13 OS=Mus musculus GN=Anxa13 PE=2 SV=3
m.18825,839,79,122,129,163,123,128,0.157,2.1107,0.24998,0.051792,1,Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3
m.18830,196,0,3,0,2,0,0,-0.321,-0.4427,1,0.840397,1,BAG family molecular chaperone regulator 1 OS=Homo sapiens GN=BAG1 PE=1 SV=4
m.18834,354,6,15,9,3,16,11,-0.077,-0.2844,0.570092,0.855972,1,Endophilin-A2 OS=Gallus gallus GN=SH3GL1 PE=1 SV=1
m.18835,428,0,0,1,0,1,1,-0.157,-0.1812,0.459201,0.928862,1,E3 ubiquitin-protein ligase UBR4 OS=Mus musculus GN=Ubr4 PE=1 SV=1
m.1884,645,3,2,7,3,4,7,0.106,0.2429,1,1,0.857936,ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3
m.18862,137,8,8,8,11,7,7,-0.036,-0.1253,0.447728,0.993906,0.976908,60S ribosomal protein L28 OS=Rattus norvegicus GN=Rpl28 PE=1 SV=4
m.18878,493,1,0,0,0,0,0,-0.19,-0.2057,0.474236,0.904557,1,BSD domain-containing protein 1-A OS=Xenopus laevis GN=bsdc1-a PE=2 SV=1
m.1889,383,0,4,4,2,4,1,-0.381,-0.7423,1,0.913399,1,Protein fem-1 homolog B OS=Gallus gallus GN=FEM1B PE=2 SV=1
symbB1.EST_k37c20_8064|m.18902,416,2,2,0,2,1,1,-0.373,-0.5395,1,0.85931,1,symbB1.EST_k37c20_8064 g.18902  ORF symbB1.EST_k37c20_8064 g.18902 symbB1.EST_k37c20_8064 m.18902 type:5prime_partial len:416 (+) symbB1.EST_k37c20_8064:2-1249(+)
m.18909,204,0,0,0,1,0,0,-0.133,-0.1465,0.448447,0.966152,1,Zinc-binding alcohol dehydrogenase domain-containing protein 2 OS=Mus musculus GN=Zadh2 PE=1 SV=1
m.18940,324,0,1,0,0,0,0,-0.124,-0.146,0.448374,0.966152,1,Predicted protein OS=Nematostella vectensis GN=v1g220885 PE=4 SV=1
m.18950,1362,1,0,0,0,1,0,-0.136,-0.1626,0.451936,0.946611,1,Uncharacterized protein C9orf172 OS=Homo sapiens GN=C9orf172 PE=3 SV=1
symbB1.EST_k37c20_8089|m.18965,182,0,0,0,1,0,0,-0.006,-0.0073,0.52883,1,0.874044,symbB1.EST_k37c20_8089 g.18965  ORF symbB1.EST_k37c20_8089 g.18965 symbB1.EST_k37c20_8089 m.18965 type:complete len:182 (+) symbB1.EST_k37c20_8089:79-624(+)
m.18969,102,2,1,3,2,6,0,0.334,0.6068,1,1,0.94398,"Dynein heavy chain, cytoplasmic OS=Drosophila melanogaster GN=Dhc64C PE=2 SV=2"
m.1897,265,4,11,1,9,16,5,0.575,1.8117,0.70814,0.145954,1,m.1897
m.18972,210,4,4,0,5,5,0,0.158,0.3495,1,1,0.883654,m.18972
m.18988,431,0,0,0,0,1,1,-0.093,-0.1045,0.451306,1,0.952215,Kinesin-like protein KIF28P OS=Homo sapiens GN=KIF28P PE=3 SV=2
m.18995,284,0,2,2,0,2,0,-0.291,-0.4361,1,0.839514,1,Aflatoxin B1 aldehyde reductase member 4 OS=Homo sapiens GN=AKR7L PE=2 SV=6
m.19001,223,0,0,0,0,0,1,-0.126,-0.1454,0.448302,0.969089,1,m.19001
m.1903,378,6,7,12,11,15,10,0.312,1.1947,1,0.655477,1,"Ornithine carbamoyltransferase, mitochondrial (Fragment) OS=Sus scrofa GN=OTC PE=2 SV=1"
m.19033,252,29,35,37,38,43,47,0.172,1.2698,1,0.577373,1,14-3-3 protein beta/alpha-B OS=Danio rerio GN=ywhabb PE=2 SV=1
m.19066,254,0,0,1,0,0,0,-0.118,-0.1389,0.447679,0.975076,0.994882,Chymotrypsin-like elastase family member 2A OS=Homo sapiens GN=CELA2A PE=1 SV=1
m.19079,424,2,1,1,0,1,1,-0.406,-0.5017,1,0.850991,1,COP9 signalosome complex subunit 3 OS=Danio rerio GN=cops3 PE=2 SV=1
m.19080,266,0,2,3,1,1,1,-0.855,-1.099,1,0.980108,1,Pancreatic secretory granule membrane major glycoprotein GP2 OS=Mus musculus GN=Gp2 PE=2 SV=3
m.19105,387,0,0,2,1,0,2,-0.158,-0.2315,0.497205,0.884472,1,Procollagen galactosyltransferase 1 OS=Bos taurus GN=COLGALT1 PE=2 SV=1
m.19106,321,1,0,0,0,0,0,-0.057,-0.0649,0.470183,1,0.913098,m.19106
m.1911,462,0,1,1,0,0,0,-0.082,-0.096,0.453998,1,0.942125,m.1911
m.1912,186,0,0,0,0,0,1,-0.082,-0.089,0.456766,1,0.934917,m.1912
m.19151,186,94,58,95,85,74,84,-0.084,-0.9201,1,0.952537,1,Calmodulin-2 OS=Branchiostoma floridae GN=CAM2 PE=2 SV=4
m.1916,493,0,0,0,0,0,1,-0.149,-0.179,0.458157,0.931287,1,RNA-binding protein 45 OS=Rattus norvegicus GN=Rbm45 PE=2 SV=1
m.19161,269,1,0,0,2,0,2,0.379,0.5061,1,1,0.923256,Fragile X mental retardation protein 1 homolog B OS=Xenopus laevis GN=fmr1-b PE=2 SV=1
