PROTID,UniprotID,Name
m.18211,Q5DU56,Protein NLRC3 OS=Mus musculus GN=Nlrc3 PE=2 SV=2                     
m.18212,Q5E9T4,Thiamin pyrophosphokinase 1 OS=Bos taurus GN=TPK1 PE=2 SV=1                    
m.18213,Q3B8D7,Tctex1 domain-containing protein 1-A OS=Xenopus laevis GN=tctex1d1-a PE=2 SV=1                   
m.18216,Q8CAQ8,Mitochondrial inner membrane protein OS=Mus musculus GN=Immt PE=1 SV=1                   
m.18217,Q7T381,Bcl-2-related ovarian killer protein homolog B OS=Danio rerio GN=bokb PE=2 SV=1                 
m.1822,Q9BV90,U11/U12 small nuclear ribonucleoprotein 25 kDa protein OS=Homo sapiens GN=SNRNP25 PE=1 SV=1                
m.18220,P61214,ADP-ribosylation factor-like protein 4A OS=Rattus norvegicus GN=Arl4a PE=2 SV=1                   
m.18221,3277878,Predicted protein OS=Nematostella vectensis GN=v1g210983 PE=4 SV=1                     
m.18222,O15484,Calpain-5 OS=Homo sapiens GN=CAPN5 PE=1 SV=2                      
m.18223,Q5R7U2,Peroxisomal biogenesis factor 19 OS=Pongo abelii GN=PEX19 PE=2 SV=1                   
m.18228,Q9H9B4,Sideroflexin-1 OS=Homo sapiens GN=SFXN1 PE=1 SV=4                      
m.18229,Q69ZX6,MORC family CW-type zinc finger protein 2A OS=Mus musculus GN=Morc2a PE=1 SV=2                
m.18234,4495794,Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1                      
m.18240,Q5FVW4,Nucleoporin-like protein 2 OS=Xenopus tropicalis GN=nupl2 PE=2 SV=1                    
m.18243,Q9CR24,Nucleoside diphosphate-linked moiety X motif 8 mitochondrial OS=Mus musculus GN=Nudt8 PE=2 SV=1                           
m.18247,3277001,Predicted protein OS=Nematostella vectensis GN=v1g209875 PE=4 SV=1                     
m.18254,Q17QH8,Epimerase family protein SDR39U1 OS=Bos taurus GN=SDR39U1 PE=2 SV=1                   
m.18256,Q9Z0S8,Anion exchange protein 2 OS=Cavia porcellus GN=SLC4A2 PE=2 SV=1                   
m.18258,Q8K2J9,BTB/POZ domain-containing protein 6 OS=Mus musculus GN=Btbd6 PE=2 SV=2                   
m.18260,3269511,Predicted protein OS=Nematostella vectensis GN=v1g239922 PE=4 SV=1                     
m.18261,O54991,Contactin-associated protein 1 OS=Mus musculus GN=Cntnap1 PE=2 SV=2                    
m.18263,O95995,Growth arrest-specific protein 8 OS=Homo sapiens GN=GAS8 PE=1 SV=1                   
m.18267,Q92616,Translational activator GCN1 OS=Homo sapiens GN=GCN1L1 PE=1 SV=6                    
m.18268,Q86V25,Vasohibin-2 OS=Homo sapiens GN=VASH2 PE=1 SV=2                      
m.18269,A4IIM3,Target of rapamycin complex 2 subunit MAPKAP1 OS=Xenopus tropicalis GN=mapkap1 PE=2 SV=1                
m.1827,Q9H0J9,Poly [ADP-ribose] polymerase 12 OS=Homo sapiens GN=PARP12 PE=1 SV=1                   
m.18272,O62806,Collagenase 3 OS=Oryctolagus cuniculus GN=MMP13 PE=2 SV=1                     
m.18275,EQC35545,hypothetical protein SDRG_06835 [Saprolegnia diclina VS20]                      
m.18276,Q9R0S3,Matrix metalloproteinase-17 OS=Mus musculus GN=Mmp17 PE=1 SV=3                     
m.1828,O95490,Latrophilin-2 OS=Homo sapiens GN=LPHN2 PE=1 SV=2                      
m.18280,4780878,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1                      
m.18282,A9ZSY3,Facilitated trehalose transporter Tret1 OS=Bombyx mori GN=Tret1 PE=1 SV=1                   
m.18283,O43581,Synaptotagmin-7 OS=Homo sapiens GN=SYT7 PE=1 SV=3                      
m.18284,Q8TEQ8,GPI ethanolamine phosphate transferase 3 OS=Homo sapiens GN=PIGO PE=1 SV=3                  
m.18288,Q9FKC8,Probable S-adenosylmethionine-dependent methyltransferase At5g37990 OS=Arabidopsis thaliana GN=At5g37990 PE=3 SV=2                   
m.1829,Q95SX7,Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1                
m.18290,Q8N3C7,CAP-Gly domain-containing linker protein 4 OS=Homo sapiens GN=CLIP4 PE=1 SV=1                  
m.18292,Q9BZE2,tRNA pseudouridine(38/39) synthase OS=Homo sapiens GN=PUS3 PE=1 SV=3                    
m.18293,3267468,Predicted protein OS=Nematostella vectensis GN=v1g159444 PE=4 SV=1                     
m.18294,Q24JV4,UPF0390 protein zgc136864 OS=Danio rerio GN=zgc:136864 PE=3 SV=1                    
m.18295,O02298,Soluble guanylate cyclase gcy-35 OS=Caenorhabditis elegans GN=gcy-35 PE=1 SV=3                   
m.18297,Q9QUM7,MutS protein homolog 5 OS=Mus musculus GN=Msh5 PE=2 SV=1                   
m.18299,Q8TB69,Zinc finger protein 519 OS=Homo sapiens GN=ZNF519 PE=2 SV=2                   
m.183,Q96AY4,Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4                   
m.1830,3285006,Predicted protein OS=Nematostella vectensis GN=v1g220257 PE=4 SV=1                     
m.18301,3282518,Predicted protein OS=Nematostella vectensis GN=v1g216943 PE=4 SV=1                     
m.18302,Q5R5N8,DIS3-like exonuclease 1 OS=Pongo abelii GN=DIS3L PE=2 SV=1                    
m.18303,P07996,Thrombospondin-1 OS=Homo sapiens GN=THBS1 PE=1 SV=2                      
m.18307,Q8BX70,Vacuolar protein sorting-associated protein 13C OS=Mus musculus GN=Vps13c PE=1 SV=2                  
m.1831,Q9GM70,Serine/threonine-protein kinase 17A OS=Oryctolagus cuniculus GN=STK17A PE=2 SV=1                    
m.18310,Q9BG99,Three prime repair exonuclease 1 OS=Bos taurus GN=TREX1 PE=1 SV=1                  
m.18311,3270500,Predicted protein OS=Nematostella vectensis GN=v1g240482 PE=4 SV=1                     
m.18312,P13217,1-phosphatidylinositol 45-bisphosphate phosphodiesterase OS=Drosophila melanogaster GN=norpA PE=1 SV=4                           
m.1832,P69003,Actin CyI cytoplasmic OS=Heliocidaris tuberculata PE=3 SV=1                           
m.18321,Q86SG6,Serine/threonine-protein kinase Nek8 OS=Homo sapiens GN=NEK8 PE=1 SV=1                    
m.18326,Q8NCC3,Group XV phospholipase A2 OS=Homo sapiens GN=PLA2G15 PE=1 SV=2                   
m.18327,Q8CGI1,Protein FAM193A OS=Mus musculus GN=Fam193a PE=2 SV=2                     
m.1833,Q9R0Q9,Mannose-P-dolichol utilization defect 1 protein OS=Mus musculus GN=Mpdu1 PE=2 SV=1                  
m.18330,Q18DN4,Halomucin OS=Haloquadratum walsbyi (strain DSM 16790 / HBSQ001) GN=hmu PE=4 SV=1                 
m.18334,Q5ZK21,von Willebrand factor A domain-containing protein 9 OS=Gallus gallus GN=VWA9 PE=2 SV=1                
m.18336,P38487,Creatinase OS=Bacillus sp. (strain B-0618) PE=1 SV=3                     
m.18338,5372208,Uncharacterized protein OS=Capitella teleta GN=CAPTEDRAFT_225193 PE=4 SV=1                     
m.1834,Q99MN1,Lysine--tRNA ligase OS=Mus musculus GN=Kars PE=1 SV=1                     
m.18341,Q3ZJ60,Photosystem Q(B) protein OS=Pseudendoclonium akinetum GN=psbA PE=3 SV=1                    
m.18346,Q90610,Neogenin (Fragment) OS=Gallus gallus PE=2 SV=1                      
m.18347,3276810,Predicted protein OS=Nematostella vectensis GN=v1g209633 PE=4 SV=1                     
m.18350,Q7Z7H8,39S ribosomal protein L10 mitochondrial OS=Homo sapiens GN=MRPL10 PE=1 SV=3                           
m.18355,Q6P026,Barrier-to-autointegration factor OS=Danio rerio GN=banf1 PE=1 SV=1                     
m.18359,Q6P2Z0,Basic leucine zipper and W2 domain-containing protein 1 OS=Xenopus tropicalis GN=bzw1 PE=2 SV=1               
m.18360,Q9VCX3,Probable 39S ribosomal protein L45 mitochondrial OS=Drosophila melanogaster GN=mRpL45 PE=2 SV=1                           
m.18362,P40124,Adenylyl cyclase-associated protein 1 OS=Mus musculus GN=Cap1 PE=1 SV=4                   
m.18363,Q5XIE9,Mediator of RNA polymerase II transcription subunit 20 OS=Rattus norvegicus GN=Med20 PE=2 SV=1               
m.18364,P50904,Ras GTPase-activating protein 1 OS=Rattus norvegicus GN=Rasa1 PE=3 SV=1                   
m.18365,P0C0L4,Complement C4-A OS=Homo sapiens GN=C4A PE=1 SV=2                     
m.18366,Q7TPB1,T-complex protein 1 subunit delta OS=Rattus norvegicus GN=Cct4 PE=1 SV=3                  
m.18368,Q99PW8,Kinesin-like protein KIF17 OS=Mus musculus GN=Kif17 PE=1 SV=1                    
m.18369,Q9VZD5,Probable 28S ribosomal protein S6 mitochondrial OS=Drosophila melanogaster GN=mRpS6 PE=1 SV=1                           
m.18370,3667855,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_91695 PE=4 SV=1                    
m.18371,4610483,Uncharacterized protein OS=Amphimedon queenslandica GN=LOC100637207 PE=4 SV=1                     
m.18372,Q7TQP6,Serine/threonine-protein kinase TNNI3K OS=Rattus norvegicus GN=Tnni3k PE=2 SV=3                    
m.18373,3266256,Predicted protein OS=Nematostella vectensis GN=v1g237935 PE=4 SV=1                     
m.18376,A2AX52,Collagen alpha-4(VI) chain OS=Mus musculus GN=Col6a4 PE=1 SV=2                    
m.18377,A0A1F4,Protein eyes shut OS=Drosophila melanogaster GN=eys PE=1 SV=1                    
m.18379,Q17QM4,Ethanolaminephosphotransferase 1 OS=Bos taurus GN=EPT1 PE=2 SV=3                     
m.1838,Q96CG8,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1                 
m.18383,Q92824,Proprotein convertase subtilisin/kexin type 5 OS=Homo sapiens GN=PCSK5 PE=1 SV=4                  
m.18384,3285288,Predicted protein OS=Nematostella vectensis GN=v1g248414 PE=4 SV=1                     
m.18386,Q8K2H6,Anaphase-promoting complex subunit 10 OS=Mus musculus GN=Anapc10 PE=2 SV=1                   
m.18388,Q9WVK0,Type-1 angiotensin II receptor-associated protein OS=Mus musculus GN=Agtrap PE=1 SV=2                  
m.18389,4776230,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10003787 PE=4 SV=1                     
m.18390,O15027,Protein transport protein Sec16A OS=Homo sapiens GN=SEC16A PE=1 SV=3                   
m.18394,O95714,E3 ubiquitin-protein ligase HERC2 OS=Homo sapiens GN=HERC2 PE=1 SV=2                   
m.18397,3267476,Predicted protein OS=Nematostella vectensis GN=v1g238722 PE=4 SV=1                     
m.18398,Q4VSN1,Dual serine/threonine and tyrosine protein kinase OS=Danio rerio GN=dstyk PE=2 SV=1                 
m.18399,4503197,Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1                      
m.1840,Q4LDE5,Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3                           
m.18400,3276745,Predicted protein OS=Nematostella vectensis GN=v1g209560 PE=4 SV=1                     
m.18405,3271430,Predicted protein OS=Nematostella vectensis GN=v1g241035 PE=4 SV=1                     
m.18406,Q5ZKE7,UMP-CMP kinase OS=Gallus gallus GN=CMPK PE=2 SV=1                     
m.18407,Q9QZ81,Protein argonaute-2 OS=Rattus norvegicus GN=Ago2 PE=2 SV=2                     
m.18408,5738812,Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_160587 PE=4 SV=1                     
m.18409,3279698,Predicted protein OS=Nematostella vectensis GN=v1g171326 PE=4 SV=1                     
m.18412,3280474,Predicted protein OS=Nematostella vectensis GN=v1g246103 PE=4 SV=1                     
m.18413,P70627,Glutamate carboxypeptidase 2 OS=Rattus norvegicus GN=Folh1 PE=2 SV=1                    
m.18417,Q6DIV6,Vesicular inhibitory amino acid transporter OS=Xenopus tropicalis GN=slc32a1 PE=2 SV=1                  
m.18418,Q07066,Peroxisomal membrane protein 2 OS=Rattus norvegicus GN=Pxmp2 PE=1 SV=2                   
m.18419,Q8AV58,Protein sidekick-1 OS=Gallus gallus GN=SDK1 PE=2 SV=1                     
m.18420,5736405,Uncharacterized protein (Fragment) OS=Lottia gigantea GN=LOTGIDRAFT_137345 PE=4 SV=1                    
m.18421,O43257,Zinc finger HIT domain-containing protein 1 OS=Homo sapiens GN=ZNHIT1 PE=1 SV=1                 
m.18425,Q6P3W7,SCY1-like protein 2 OS=Homo sapiens GN=SCYL2 PE=1 SV=1                    
m.18427,Q32L15,RING finger protein 141 OS=Bos taurus GN=RNF141 PE=2 SV=1                   
m.18428,Q8BGC4,Zinc-binding alcohol dehydrogenase domain-containing protein 2 OS=Mus musculus GN=Zadh2 PE=1 SV=1                 
m.18429,Q640N1,Adipocyte enhancer-binding protein 1 OS=Mus musculus GN=Aebp1 PE=1 SV=1                   
m.1843,3272645,Predicted protein OS=Nematostella vectensis GN=v1g241726 PE=4 SV=1                     
m.18432,3284104,Predicted protein OS=Nematostella vectensis GN=v1g247950 PE=4 SV=1                     
m.18437,Q9Y394,Dehydrogenase/reductase SDR family member 7 OS=Homo sapiens GN=DHRS7 PE=1 SV=1                  
m.18438,4602117,Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1                      
m.18439,P22105,Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=3                      
m.1844,P35445,Cartilage oligomeric matrix protein OS=Bos taurus GN=COMP PE=1 SV=2                   
m.18440,3688355,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_109429 PE=4 SV=1                    
m.18441,Q26486,46 kDa FK506-binding nuclear protein OS=Spodoptera frugiperda GN=FKBP46 PE=2 SV=1                  
m.18443,Q96JB1,Dynein heavy chain 8 axonemal OS=Homo sapiens GN=DNAH8 PE=1 SV=2                           
m.18444,P36407,E3 ubiquitin-protein ligase TRIM23 OS=Rattus norvegicus GN=Trim23 PE=2 SV=2                   
m.18445,6459318,Uncharacterized protein (Fragment) OS=Bos mutus GN=M91_19337 PE=4 SV=1                    
m.18447,O15439,Multidrug resistance-associated protein 4 OS=Homo sapiens GN=ABCC4 PE=1 SV=3                   
m.18450,P97526,Neurofibromin OS=Rattus norvegicus GN=Nf1 PE=1 SV=1                      
m.18455,Q9D2K4,IQ domain-containing protein H OS=Mus musculus GN=Iqch PE=2 SV=3                   
m.18458,P35406,D(1) dopamine receptor OS=Carassius auratus PE=2 SV=1                     
m.1846,39100176,Wd40 repeat-containing protein OS=Leptolyngbya sp. Heron Island J GN=N836_24850 PE=4 SV=1                 
m.18460,P11584,Integrin beta-PS OS=Drosophila melanogaster GN=mys PE=1 SV=3                     
m.18462,P0DKB4,Trans-L-3-hydroxyproline dehydratase OS=Saccoglossus kowalevskii GN=l3hypdh PE=1 SV=1                     
m.18464,3283865,Predicted protein OS=Nematostella vectensis GN=v1g218716 PE=4 SV=1                     
m.18465,Q32P85,Dynein light chain roadblock-type 2 OS=Bos taurus GN=DYNLRB2 PE=3 SV=1                  
m.18469,Q96RW7,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2                      
m.1847,Q502I9,FCH domain only protein 2 OS=Danio rerio GN=fcho2 PE=2 SV=1                  
m.18470,P41250,Glycine--tRNA ligase OS=Homo sapiens GN=GARS PE=1 SV=3 SV=2                    
m.18471,Q7JJ13,Bromodomain-containing protein 2 OS=Mus musculus GN=Brd2 PE=1 SV=1                    
m.18472,Q8R151,NFX1-type zinc finger-containing protein 1 OS=Mus musculus GN=Znfx1 PE=2 SV=3                  
m.18475,Q5R6Q7,Sorting nexin-16 OS=Pongo abelii GN=SNX16 PE=2 SV=1                     
m.18480,A6NK53,Zinc finger protein 233 OS=Homo sapiens GN=ZNF233 PE=2 SV=3                   
m.18481,O93209,Pro-Pol polyprotein OS=Feline foamy virus GN=pol PE=3 SV=1                    
m.18482,4613253,Uncharacterized protein OS=Amphimedon queenslandica GN=LOC100632574 PE=4 SV=1                     
m.18487,Q8IWV8,E3 ubiquitin-protein ligase UBR2 OS=Homo sapiens GN=UBR2 PE=1 SV=1                   
m.18488,P98155,Very low-density lipoprotein receptor OS=Homo sapiens GN=VLDLR PE=1 SV=1                   
m.18489,E7FAM5,E3 ubiquitin-protein ligase TRIM71 OS=Danio rerio GN=trim71 PE=2 SV=1                   
m.18491,O08839,Myc box-dependent-interacting protein 1 OS=Rattus norvegicus GN=Bin1 PE=1 SV=1                   
m.18492,Q5XG48,Mediator of RNA polymerase II transcription subunit 4 OS=Xenopus laevis GN=med4 PE=2 SV=1               
m.18493,Q9JJW6,Aly/REF export factor 2 OS=Mus musculus GN=Alyref2 PE=1 SV=1                   
m.18495,Q6JAN0,G-protein coupled receptor 98 OS=Danio rerio GN=gpr98 PE=2 SV=1                   
m.18496,Q91ZQ0,Vacuole membrane protein 1 OS=Rattus norvegicus GN=Vmp1 PE=1 SV=1                   
m.18499,A2AJ76,Hemicentin-2 OS=Mus musculus GN=Hmcn2 PE=2 SV=1                      
m.1850,Q9LIG0,Clavaminate synthase-like protein At3g21360 OS=Arabidopsis thaliana GN=At3g21360 PE=1 SV=1                   
m.18501,A8TX70,Collagen alpha-5(VI) chain OS=Homo sapiens GN=COL6A5 PE=1 SV=1                    
m.18506,Q9EPK7,Exportin-7 OS=Mus musculus GN=Xpo7 PE=2 SV=3                      
m.18510,B1VEI4,D-inositol 3-phosphate glycosyltransferase OS=Corynebacterium urealyticum (strain ATCC 43042 / DSM 7109) GN=mshA PE=3 SV=1              
m.18511,Q9VFC8,Putative glycogen [starch] synthase OS=Drosophila melanogaster GN=CG6904 PE=1 SV=2                   
m.18512,Q13206,Probable ATP-dependent RNA helicase DDX10 OS=Homo sapiens GN=DDX10 PE=1 SV=2                  
m.18513,3271414,Predicted protein OS=Nematostella vectensis GN=v1g95177 PE=4 SV=1                     
m.18517,P19327,5-hydroxytryptamine receptor 1A OS=Rattus norvegicus GN=Htr1a PE=1 SV=1                    
m.18522,Q9Y4A5,Transformation/transcription domain-associated protein OS=Homo sapiens GN=TRRAP PE=1 SV=3                    
m.18523,22075682,Uncharacterized protein OS=Anabaena sp. 90 GN=ANA_C10044 PE=4 SV=1                    
m.18524,Q5ZJD3,Large subunit GTPase 1 homolog OS=Gallus gallus GN=LSG1 PE=2 SV=1                  
m.1853,P34457,Putative uncharacterized transposon-derived protein F54H12.3 OS=Caenorhabditis elegans GN=F54H12.3 PE=5 SV=1                  
m.18530,P51028,Protein Wnt-8a OS=Danio rerio GN=wnt8a PE=2 SV=2                     
m.18531,P07221,Calsequestrin-1 OS=Oryctolagus cuniculus GN=CASQ1 PE=1 SV=1                      
m.18532,Q04408,Uncharacterized protein YDR514C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR514C PE=1 SV=1               
m.18533,Q9NZJ4,Sacsin OS=Homo sapiens GN=SACS PE=1 SV=2                      
m.18534,Q9JLC8,Sacsin OS=Mus musculus GN=Sacs PE=1 SV=2                      
m.18536,Q2PZL6,Protocadherin Fat 4 OS=Mus musculus GN=Fat4 PE=1 SV=2                    
m.18537,Q29599,2'-5'-oligoadenylate synthase 1 OS=Sus scrofa GN=OAS1 PE=1 SV=3                    
m.18538,3267074,Predicted protein OS=Nematostella vectensis GN=v1g231845 PE=4 SV=1                     
m.1854,Q90VV1,Transcription factor HES-4-B OS=Xenopus laevis GN=hes4-b PE=1 SV=1                    
m.18540,Q69ZT1,Fanconi-associated nuclease 1 OS=Mus musculus GN=Fan1 PE=2 SV=2                    
m.18543,O75897,Sulfotransferase 1C4 OS=Homo sapiens GN=SULT1C4 PE=1 SV=2                     
m.18548,Q8K370,Acyl-CoA dehydrogenase family member 10 OS=Mus musculus GN=Acad10 PE=1 SV=1                  
m.1855,Q9BZJ0,Crooked neck-like protein 1 OS=Homo sapiens GN=CRNKL1 PE=1 SV=4                   
m.18550,A7RM20,Eukaryotic translation initiation factor 3 subunit I OS=Nematostella vectensis GN=v1g239264 PE=3 SV=1                
m.18552,Q16322,Potassium voltage-gated channel subfamily A member 10 OS=Homo sapiens GN=KCNA10 PE=1 SV=2                
m.18555,3282639,Predicted protein OS=Nematostella vectensis GN=v1g247258 PE=4 SV=1                     
m.18556,Q9UBQ7,Glyoxylate reductase/hydroxypyruvate reductase OS=Homo sapiens GN=GRHPR PE=1 SV=1                    
m.18557,Q08BH7,Ubiquitin-conjugating enzyme E2 T OS=Danio rerio GN=ube2t PE=2 SV=1                   
m.18558,Q5JVF3,PCI domain-containing protein 2 OS=Homo sapiens GN=PCID2 PE=1 SV=2                   
m.1856,Q9U489,Protein lin-41 OS=Caenorhabditis elegans GN=lin-41 PE=2 SV=1                     
m.18561,Q96RY7,Intraflagellar transport protein 140 homolog OS=Homo sapiens GN=IFT140 PE=1 SV=1                  
m.18562,Q9M9E8,F-box protein At1g78280 OS=Arabidopsis thaliana GN=At1g78280 PE=2 SV=3                    
m.18563,P06581,Heat shock protein Hsp-16.41 OS=Caenorhabditis elegans GN=hsp-16.41 PE=2 SV=1                   
m.18564,P09849,Lactase-phlorizin hydrolase OS=Oryctolagus cuniculus GN=LCT PE=1 SV=1                     
m.18565,Q49AM3,Tetratricopeptide repeat protein 31 OS=Homo sapiens GN=TTC31 PE=2 SV=3                   
m.18568,3274822,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g207141 PE=4 SV=1                    
m.18569,Q54WS5,Probable serine/threonine-protein kinase roco6 OS=Dictyostelium discoideum GN=roco6 PE=3 SV=1                   
m.1857,Q8K2C7,Protein OS-9 OS=Mus musculus GN=Os9 PE=1 SV=2                     
m.18571,Q29496,Cytochrome P450 3A24 OS=Ovis aries GN=CYP3A24 PE=2 SV=1                    
m.18579,B0CM26,Uncharacterized protein C7orf63 homolog OS=Papio anubis PE=4 SV=1                    
m.18580,725607,Uncharacterized protein OS=Methanosarcina barkeri (strain Fusaro / DSM 804) GN=Mbar_A3708 PE=4 SV=1                
m.18583,Q3THF9,Coenzyme Q-binding protein COQ10 homolog B mitochondrial OS=Mus musculus GN=Coq10b PE=2 SV=1                           
m.18584,Q9QZ08,N-acetyl-D-glucosamine kinase OS=Mus musculus GN=Nagk PE=2 SV=3                     
m.18586,Q01528,Hemagglutinin/amebocyte aggregation factor OS=Limulus polyphemus PE=1 SV=1                     
m.18590,Q9ER41,Torsin-1B OS=Mus musculus GN=Tor1b PE=2 SV=2                      
m.18592,3268768,Predicted protein OS=Nematostella vectensis GN=v1g199564 PE=4 SV=1                     
m.18594,Q7RTR2,Protein NLRC3 OS=Homo sapiens GN=NLRC3 PE=2 SV=2                     
m.18595,P86854,Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1                      
m.18596,EKC41332,hypothetical protein CGI_10019200 [Crassostrea gigas]                       
m.18597,P70085,Steroid 17-alpha-hydroxylase/1720 lyase OS=Oryzias latipes GN=cyp17a1 PE=2 SV=1                           
m.186,3288907,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g224948 PE=4 SV=1                    
m.18600,3269325,Predicted protein OS=Nematostella vectensis GN=v1g239824 PE=4 SV=1                     
m.18601,3278060,Predicted protein OS=Nematostella vectensis GN=v1g211235 PE=4 SV=1                     
m.18604,3270084,Predicted protein OS=Nematostella vectensis GN=v1g201212 PE=4 SV=1                     
m.18605,3280015,Predicted protein OS=Nematostella vectensis GN=v1g213720 PE=4 SV=1                     
m.18611,Q5R4Q8,Protein prune homolog 2 OS=Pongo abelii GN=PRUNE2 PE=2 SV=1                   
m.18613,3273676,Predicted protein OS=Nematostella vectensis GN=v1g242332 PE=4 SV=1                     
m.18614,Q5U3S1,Katanin p60 ATPase-containing subunit A-like 1 OS=Danio rerio GN=katnal1 PE=2 SV=1                 
m.18617,Q8WV99,AN1-type zinc finger protein 2B OS=Homo sapiens GN=ZFAND2B PE=1 SV=1                  
m.18619,3284105,Predicted protein OS=Nematostella vectensis GN=v1g247951 PE=4 SV=1                     
m.18623,Q92833,Protein Jumonji OS=Homo sapiens GN=JARID2 PE=1 SV=2                     
m.18625,P29374,AT-rich interactive domain-containing protein 4A OS=Homo sapiens GN=ARID4A PE=1 SV=3                  
m.18630,5573904,Uncharacterized protein C20orf152 (Fragment) OS=Hydra vulgaris GN=C20orf152 PE=2 SV=1                   
m.18631,Q920Q8,Influenza virus NS1A-binding protein homolog OS=Mus musculus GN=Ivns1abp PE=1 SV=2                  
m.18635,O43182,Rho GTPase-activating protein 6 OS=Homo sapiens GN=ARHGAP6 PE=1 SV=3                   
m.18636,Q7Z6L1,Tectonin beta-propeller repeat-containing protein 1 OS=Homo sapiens GN=TECPR1 PE=1 SV=1                  
m.18639,Q9QUN9,Dickkopf-related protein 3 OS=Mus musculus GN=Dkk3 PE=2 SV=1                    
m.1864,Q6DE75,Solute carrier family 25 member 38 OS=Xenopus laevis GN=slc25a38 PE=2 SV=1                 
m.18641,Q9VR91,Probable E3 ubiquitin-protein ligase HERC2 OS=Drosophila melanogaster GN=HERC2 PE=1 SV=3                  
m.18644,Q6QNK2,Probable G-protein coupled receptor 133 OS=Homo sapiens GN=GPR133 PE=2 SV=1                  
m.18647,Q920M9,E3 ubiquitin-protein ligase SIAH1 OS=Rattus norvegicus GN=Siah1 PE=1 SV=2                   
m.18648,Q8IYW2,Tetratricopeptide repeat protein 40 OS=Homo sapiens GN=TTC40 PE=2 SV=3                   
m.1865,Q9J4Z4,Putative ankyrin repeat protein FPV246 OS=Fowlpox virus (strain NVSL) GN=FPV246 PE=4 SV=1                
m.18653,Q8K4P8,E3 ubiquitin-protein ligase HECW1 OS=Mus musculus GN=Hecw1 PE=1 SV=3                   
m.18654,5577782,Laminin subunit alpha-5 (Fragment) OS=Hydra vulgaris GN=LAMA5 PE=2 SV=1                   
m.18659,Q6DG99,BTB/POZ domain-containing protein KCTD6 OS=Danio rerio GN=kctd6 PE=2 SV=1                   
m.1866,P41252,Isoleucine--tRNA ligase cytoplasmic OS=Homo sapiens GN=IARS PE=1 SV=2                           
m.18660,Q2VLG6,Scavenger receptor cysteine-rich type 1 protein M130 OS=Canis familiaris GN=CD163 PE=2 SV=1                
m.18662,3274680,Predicted protein OS=Nematostella vectensis GN=v1g242938 PE=4 SV=1                     
m.18663,3268455,Predicted protein OS=Nematostella vectensis GN=v1g199170 PE=4 SV=1                     
m.18666,3269561,Predicted protein OS=Nematostella vectensis GN=v1g200556 PE=3 SV=1                     
m.18667,Q8TER0,Sushi nidogen and EGF-like domain-containing protein 1 OS=Homo sapiens GN=SNED1 PE=2 SV=2                           
m.18669,P41164,ETS translocation variant 1 OS=Mus musculus GN=Etv1 PE=2 SV=1                   
m.18674,Q8BKE9,Intraflagellar transport protein 74 homolog OS=Mus musculus GN=Ift74 PE=1 SV=2                  
m.18675,Q95SX7,Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1                
m.18677,Q7Z7L7,Protein zer-1 homolog OS=Homo sapiens GN=ZER1 PE=1 SV=1                    
m.18680,3277526,Predicted protein OS=Nematostella vectensis GN=v1g244491 PE=3 SV=1                     
m.18681,Q9DCV4,Regulator of microtubule dynamics protein 1 OS=Mus musculus GN=Rmdn1 PE=2 SV=2                 
m.18682,Q4R628,Kinesin-like protein KIF3A OS=Macaca fascicularis GN=KIF3A PE=2 SV=1                    
m.18688,Q8IW92,Beta-galactosidase-1-like protein 2 OS=Homo sapiens GN=GLB1L2 PE=2 SV=1                    
m.18689,5357785,Uncharacterized protein OS=Capitella teleta GN=CAPTEDRAFT_223888 PE=4 SV=1                     
m.18691,Q6NZQ4,PAX-interacting protein 1 OS=Mus musculus GN=Paxip1 PE=1 SV=1                    
m.18693,A2SXS5,Menin OS=Canis familiaris GN=MEN1 PE=2 SV=1                      
m.18694,Q0P5I0,Menin OS=Bos taurus GN=MEN1 PE=2 SV=1                      
