Protein,Len,NN,NN,NN,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,
m.29835,460,0,0,0,29,39,53,3.805,6.5168,0,0,0.572172,Tubulin beta chain OS=Paracentrotus lividus PE=2 SV=1,P11833
m.25343,331,1,0,0,0,0,0,0.102,0.125,1,0.540994,0.601827,Opioid-binding protein/cell adhesion molecule OS=Bos taurus GN=OPCML PE=1 SV=1,P11834
m.37753,190,0,2,0,0,0,1,-0.242,-0.2988,0.633843,0.683144,0.073569,Protein phosphatase inhibitor 2 OS=Oryctolagus cuniculus GN=PPP1R2 PE=1 SV=3,P11845
m.17069,284,0,0,0,1,0,0,0.113,0.1357,1,0.531405,0.61123,Growth arrest-specific protein 2 OS=Mus musculus GN=Gas2 PE=1 SV=1,P11862
m.1397,335,0,2,0,3,2,2,0.688,1.0399,0.001927,0.000049,0.711079,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial (Fragment) OS=Rattus norvegicus GN=Bckdha PE=1 SV=1",P11960
m.27714,423,1,1,2,2,5,5,1.313,2.2229,0,0,0.631848,"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Rattus norvegicus GN=Ivd PE=1 SV=2",P12007
m.6153,459,9,8,9,12,11,9,0.372,1.4056,0,0,0.679805,Apomucin (Fragment) OS=Sus scrofa PE=1 SV=2,P12021
m.12917,415,0,2,6,21,20,26,2.242,6.0309,0,0,0.573529,Penicillin acylase OS=Lysinibacillus sphaericus PE=1 SV=1,P12256
m.24316,262,2,0,2,4,3,4,0.956,1.7466,0,0,0.655587,Nucleoprotein TPR OS=Homo sapiens GN=TPR PE=1 SV=3,P12270
m.443,202,4,0,0,2,2,0,-0.059,-0.0983,0.989741,0.661618,0.311588,Programmed cell death protein 6 OS=Mus musculus GN=Pdcd6 PE=1 SV=2,P12815
m.5369,500,31,35,21,46,46,47,0.632,4.7813,0,0,0.579833,Xaa-Pro dipeptidase OS=Homo sapiens GN=PEPD PE=1 SV=3,P12955
m.5643,338,5,4,6,3,4,4,-0.166,-0.4237,0.258359,0.676594,0.019061,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Rattus norvegicus GN=Suclg1 PE=2 SV=2",P13086
m.11876,224,2,0,0,1,3,3,0.706,1.1318,0.000312,0.000008,0.702885,Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens GN=IFI30 PE=1 SV=3,P13284
m.30831,329,0,0,3,1,1,1,-0.422,-0.5272,0.082722,0.667582,0.004891,Protein glass OS=Drosophila melanogaster GN=gl PE=1 SV=2,P13360
m.9177,268,1,0,0,0,0,0,0.094,0.0988,1,0.56279,0.576898,Bone morphogenetic protein 1 OS=Homo sapiens GN=BMP1 PE=1 SV=2,P13497
m.2860,768,54,66,42,70,76,71,0.455,4.3566,0,0,0.583133,Neural cell adhesion molecule 1 OS=Gallus gallus GN=NCAM1 PE=1 SV=3,P13590
m.9447,704,5,8,7,18,19,18,1.186,4.5309,0,0,0.581717,Neural cell adhesion molecule 1 OS=Gallus gallus GN=NCAM1 PE=1 SV=3,P13590
m.7051,436,0,6,31,4,3,4,-1.13,-3.2778,0,0.58173,0,Neural cell adhesion molecule 1 OS=Mus musculus GN=Ncam1 PE=1 SV=3,P13595
m.6593,1058,21,26,20,30,31,34,0.508,3.3509,0,0,0.599024,Sodium/potassium-transporting ATPase subunit alpha OS=Drosophila melanogaster GN=Atpalpha PE=1 SV=3,P13607
m.27757,157,24,16,18,7,7,7,-0.869,-3.3181,0,0.581409,0,Aggrecan core protein OS=Bos taurus GN=ACAN PE=1 SV=3,P13608
m.3079,696,55,129,63,68,67,75,-0.011,-0.1168,0.979589,0.666229,0.283438,Aggrecan core protein OS=Bos taurus GN=ACAN PE=1 SV=3,P13608
m.33681,129,0,0,0,3,2,2,1.033,1.5253,0,0,0.670598,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Homo sapiens GN=ATP1A3 PE=1 SV=3,P13637
m.17466,666,43,48,38,54,50,46,0.317,2.3811,0,0,0.62584,Protein disulfide-isomerase A4 OS=Homo sapiens GN=PDIA4 PE=1 SV=2,P13667
m.9983,124,1,0,0,0,0,0,0.148,0.1587,1,0.509424,0.629972,Protein disulfide-isomerase A4 OS=Homo sapiens GN=PDIA4 PE=1 SV=2,P13667
m.2778,160,2,2,0,0,0,0,-0.399,-0.532,0.077905,0.667145,0.004569,Acylamino-acid-releasing enzyme OS=Rattus norvegicus GN=Apeh PE=1 SV=1,P13676
m.1453,331,1,0,0,0,0,0,0.072,0.0795,1,0.57735,0.556765,Tartrate-resistant acid phosphatase type 5 OS=Homo sapiens GN=ACP5 PE=1 SV=3,P13686
m.20823,136,0,0,2,0,0,1,-0.188,-0.237,0.806004,0.682208,0.126675,Collagen alpha-1(XII) chain OS=Gallus gallus GN=COL12A1 PE=1 SV=3,P13944
m.8149,654,1,0,0,6,2,2,1.313,2.0898,0,0,0.637421,L-ascorbate oxidase OS=Cucumis sativus PE=1 SV=1,P14133
m.23685,446,153,404,117,108,116,108,-0.542,-8.0014,0,0.57026,0,Calreticulin OS=Mus musculus GN=Calr PE=1 SV=1,P14211
m.22394,559,44,29,22,31,32,33,0.175,1.17,0.000139,0.000003,0.699542,Glucosidase 2 subunit beta OS=Homo sapiens GN=PRKCSH PE=1 SV=2,P14314
m.1473,555,16,24,54,26,20,20,-0.197,-1.1498,0.000001,0.625857,0,Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4,P14618
m.32239,182,0,0,2,0,0,0,-0.152,-0.1974,0.887333,0.67932,0.171391,Mast cell carboxypeptidase A OS=Homo sapiens GN=CPA3 PE=1 SV=2,P15088
m.29527,167,1,2,6,2,4,3,0.131,0.2657,1,0.38426,0.693912,Aminopeptidase N OS=Homo sapiens GN=ANPEP PE=1 SV=4,P15144
m.10194,572,15,34,24,53,49,44,0.851,6.2602,0,0,0.572905,"Aspartate--tRNA ligase, cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1",P15178
m.31300,423,17,22,11,14,16,15,0.065,0.3289,1,0.298421,0.717336,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Rattus norvegicus GN=Acads PE=1 SV=2",P15651
m.26788,760,8,19,18,38,36,34,1.039,5.5347,0,0,0.575157,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Bos taurus GN=NDUFS1 PE=1 SV=1",P15690
m.22737,450,0,1,3,1,1,2,-0.126,-0.1685,0.930911,0.675836,0.20884,N-chimaerin OS=Homo sapiens GN=CHN1 PE=1 SV=3,P15882
m.3494,2140,435,541,585,453,467,459,0.04,1.083,0.000839,0.000021,0.707209,"Spectrin alpha chain, non-erythrocytic 1 OS=Rattus norvegicus GN=Sptan1 PE=1 SV=2",P16086
m.19768,178,7,7,5,6,4,5,-0.091,-0.2464,0.783047,0.682608,0.117278,Carbonyl reductase [NADPH] 1 OS=Homo sapiens GN=CBR1 PE=1 SV=3,P16152
m.13248,748,1,1,1,0,0,0,0.093,0.1119,1,0.552188,0.589705,Neural cell adhesion molecule 1-A OS=Xenopus laevis GN=ncam1-a PE=2 SV=1,P16170
m.24221,132,7,3,9,4,3,3,-0.506,-1.2578,0,0.621171,0,Sarcoplasmic reticulum histidine-rich calcium-binding protein OS=Oryctolagus cuniculus GN=HRC PE=1 SV=1,P16230
m.17992,724,48,43,57,67,68,69,0.488,4.5911,0,0,0.581248,"Aconitate hydratase, mitochondrial OS=Sus scrofa GN=ACO2 PE=1 SV=1",P16276
m.23801,309,0,0,0,1,0,2,0.426,0.5252,0.830989,0.078349,0.747565,Coagulation factor IX (Fragment) OS=Cavia porcellus GN=F9 PE=2 SV=1,P16295
m.21736,444,0,6,0,2,0,0,-0.639,-1.0015,0.00002,0.633101,0.000001,Dipeptidase 1 OS=Homo sapiens GN=DPEP1 PE=1 SV=3,P16444
m.2229,343,0,4,0,2,2,0,-0.068,-0.1117,0.982741,0.665023,0.291152,Dipeptidase 1 OS=Homo sapiens GN=DPEP1 PE=1 SV=3,P16444
m.5881,363,7,3,7,9,7,10,0.576,1.7169,0,0,0.657448,Glutamine synthetase OS=Gallus gallus GN=GLUL PE=1 SV=1,P16580
m.267,1212,0,1,0,0,0,0,0.097,0.1177,1,0.547307,0.595156,Tyrosine-protein phosphatase Lar OS=Drosophila melanogaster GN=Lar PE=1 SV=2,P16621
m.3957,187,0,0,0,1,1,0,0.171,0.1998,1,0.46555,0.65876,GTP-binding protein YPTM1 OS=Zea mays GN=YPTM1 PE=2 SV=2,P16976
m.15471,509,7,9,16,17,17,18,0.665,2.847,0,0,0.611044,Bactericidal permeability-increasing protein OS=Homo sapiens GN=BPI PE=1 SV=4,P17213
m.15220,508,1,13,0,12,17,11,1.165,3.8617,0,0,0.588901,Catalase OS=Drosophila melanogaster GN=Cat PE=1 SV=2,P17336
m.347,455,31,184,66,89,81,84,0.065,0.7385,0.193109,0.007016,0.738546,Catalase OS=Drosophila melanogaster GN=Cat PE=1 SV=2,P17336
m.18862,137,8,8,8,17,18,18,0.958,3.9029,0,0,0.58826,60S ribosomal protein L28 OS=Rattus norvegicus GN=Rpl28 PE=1 SV=4,P17702
m.13574,515,0,1,0,6,2,6,1.771,2.7668,0,0,0.613196,Tyrosine-protein kinase STK OS=Hydra vulgaris GN=STK PE=2 SV=1,P17713
m.29428,193,12,39,16,29,28,29,0.409,2.4565,0,0,0.623132,Dihydrofolate reductase OS=Drosophila melanogaster GN=Dhfr PE=1 SV=3,P17719
m.22646,543,0,0,0,3,1,2,0.8,1.1518,0.000205,0.000005,0.70113,Tyrosine-protein phosphatase non-receptor type 1 OS=Homo sapiens GN=PTPN1 PE=1 SV=1,P18031
m.9299,205,31,43,43,69,61,66,0.687,5.7151,0,0,0.574504,Ras-related protein Rab-7a OS=Canis familiaris GN=RAB7A PE=2 SV=1,P18067
m.735,142,0,99,185,46,173,167,0.459,6.2781,0,0,0.572855,Ubiquitin-60S ribosomal protein L40 OS=Drosophila melanogaster GN=RpL40 PE=1 SV=2,P18101
m.738,140,57,92,117,43,48,44,-0.511,-5.1257,0,0.573622,0,Profilin OS=Clypeaster japonicus PE=1 SV=2,P18321
m.6868,946,12,22,30,28,17,18,0.129,0.7332,0.20464,0.007533,0.738987,AP-2 complex subunit alpha-2 OS=Rattus norvegicus GN=Ap2a2 PE=1 SV=3,P18484
m.32422,236,0,3,0,0,0,0,-0.468,-0.6148,0.025476,0.659713,0.00131,Short-chain collagen C4 (Fragment) OS=Ephydatia muelleri PE=2 SV=1,P18503
m.36182,381,1,1,0,1,2,0,0.443,0.559,0.741324,0.056979,0.748004,Short-chain collagen C4 (Fragment) OS=Ephydatia muelleri PE=2 SV=1,P18503
m.5098,411,1,1,0,1,2,0,0.515,0.6443,0.460106,0.022868,0.745318,Short-chain collagen C4 (Fragment) OS=Ephydatia muelleri PE=2 SV=1,P18503
m.643,188,1,1,0,1,2,4,1.016,1.514,0,0,0.671436,Short-chain collagen C4 (Fragment) OS=Ephydatia muelleri PE=2 SV=1,P18503
m.1223,739,4,1,1,2,1,0,-0.285,-0.4168,0.275456,0.677132,0.020711,Ribosomal protein S6 kinase alpha-3 OS=Mus musculus GN=Rps6ka3 PE=1 SV=2,P18654
m.6524,587,107,109,94,82,83,91,-0.024,-0.302,0.624024,0.683096,0.071363,"60 kDa heat shock protein, mitochondrial OS=Cricetulus griseus GN=HSPD1 PE=2 SV=1",P18687
m.17459,283,1,1,0,0,0,0,0.014,0.0168,1,0.616508,0.481051,Laminin subunit alpha-1 OS=Mus musculus GN=Lama1 PE=1 SV=1,P19137
m.23918,356,1,4,6,3,5,4,0.221,0.5235,0.834965,0.079561,0.747514,Laminin subunit alpha-1 OS=Mus musculus GN=Lama1 PE=1 SV=1,P19137
m.25297,114,1,0,1,0,0,0,0.137,0.1629,1,0.505207,0.633183,Creatinase OS=Flavobacterium sp. (strain U-188) PE=1 SV=2,P19213
m.29601,249,0,1,6,4,2,2,0.154,0.2991,1,0.33937,0.707379,Pancreatic secretory granule membrane major glycoprotein GP2 OS=Rattus norvegicus GN=Gp2 PE=1 SV=1,P19218
m.23716,147,5,5,6,12,11,12,0.952,3.244,0,0,0.601538,"Cytochrome c oxidase subunit 5B, mitochondrial OS=Mus musculus GN=Cox5b PE=1 SV=1",P19536
m.4,1370,116,235,95,93,87,90,-0.344,-4.2327,0,0.576539,0,Major yolk protein OS=Strongylocentrotus purpuratus PE=1 SV=2,P19615
m.21654,118,11,2,9,1,4,3,-0.874,-2.1685,0,0.595681,0,Nucleoside diphosphate kinase B OS=Rattus norvegicus GN=Nme2 PE=1 SV=1,P19804
m.1796,557,41,53,54,49,44,40,0.058,0.4727,0.930927,0.122141,0.74458,Asparagine synthetase [glutamine-hydrolyzing] OS=Cricetulus griseus GN=ASNS PE=2 SV=2,P19891
m.15111,545,124,114,83,90,89,81,-0.047,-0.5972,0.032717,0.661263,0.001728,"Aldehyde dehydrogenase, mitochondrial OS=Bos taurus GN=ALDH2 PE=1 SV=2",P20000
m.16276,140,0,0,3,1,0,1,-0.517,-0.6739,0.010499,0.654704,0.000494,Phosphoenolpyruvate carboxykinase [GTP] OS=Drosophila melanogaster GN=Pepck PE=2 SV=2,P20007
m.9855,546,1,1,2,6,9,8,2.049,3.4452,0,0,0.596892,Annexin A7 OS=Homo sapiens GN=ANXA7 PE=1 SV=3,P20073
m.12659,176,0,0,0,3,2,2,1.034,1.4118,0,0,0.679311,Low affinity immunoglobulin epsilon Fc receptor OS=Mus musculus GN=Fcer2 PE=2 SV=1,P20693
m.21459,214,0,4,1,3,3,3,0.58,1.1216,0.000385,0.000009,0.703784,Low affinity immunoglobulin epsilon Fc receptor OS=Mus musculus GN=Fcer2 PE=2 SV=1,P20693
m.13829,632,0,0,0,1,0,0,0.178,0.2104,1,0.453318,0.665275,Gamma-glutamyltranspeptidase 1 OS=Sus scrofa GN=GGT1 PE=2 SV=1,P20735
m.2360,1533,5,15,7,25,29,22,1.19,5.2555,0,0,0.576422,Pregnancy zone protein OS=Homo sapiens GN=PZP PE=1 SV=4,P20742
m.1007,159,0,0,0,1,0,0,0.029,0.0308,1,0.608783,0.499278,Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3,P20965
m.22539,256,7,7,12,4,6,3,-0.537,-1.4567,0,0.613504,0,C-factor OS=Myxococcus xanthus GN=csgA PE=1 SV=1,P21158
m.28770,229,9,14,9,5,6,3,-0.696,-2.2512,0,0.594404,0,C-factor OS=Myxococcus xanthus GN=csgA PE=1 SV=1,P21158
m.681,2015,172,257,265,311,309,308,0.443,8.245,0,0,0.570124,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,P21333
m.1,362,5,5,8,0,0,0,-1.796,-2.4109,0,0.592148,0,Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1,P21369
m.25195,896,2,4,4,15,11,9,1.455,3.9211,0,0,0.587987,Cytoplasmic aconitate hydratase OS=Homo sapiens GN=ACO1 PE=1 SV=3,P21399
m.1089,117,36,11,32,20,23,24,-0.01,-0.0637,0.99997,0.651152,0.364726,"ATP synthase-coupling factor 6, mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1",P21571
m.23072,302,6,6,5,9,10,11,0.758,2.4053,0,0,0.624961,Nuclease-sensitive element-binding protein 1 OS=Xenopus laevis GN=ybx1 PE=2 SV=1,P21573
m.11724,829,1,5,6,7,4,6,0.508,1.3147,0.000005,0,0.687216,Dynamin-1 OS=Rattus norvegicus GN=Dnm1 PE=1 SV=2,P21575
m.9881,429,0,0,0,9,13,11,2.577,4.5785,0,0,0.581345,Vacuolar protein sorting-associated protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS1 PE=1 SV=2,P21576
m.47,1132,1,4,5,2,2,3,-0.208,-0.3917,0.343143,0.678968,0.027789,Kinesin heavy chain OS=Doryteuthis pealeii PE=2 SV=1,P21613
m.15175,266,18,13,23,13,14,12,-0.171,-0.8074,0.001092,0.644702,0.000042,Proteasome subunit alpha type-4 OS=Rattus norvegicus GN=Psma4 PE=1 SV=1,P21670
m.9604,530,3,44,2,0,0,0,-2.788,-4.0306,0,0.577468,0,Cholinesterase OS=Oryctolagus cuniculus GN=BCHE PE=2 SV=1,P21927
m.18439,485,1,2,2,0,0,0,-0.426,-0.5319,0.078003,0.667154,0.004575,Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=3,P22105
m.2262,545,0,1,0,1,0,0,0.186,0.2161,1,0.446594,0.668633,Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=3,P22105
m.32141,184,0,0,0,0,0,1,0.144,0.1584,1,0.509722,0.62974,Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=3,P22105
m.32372,367,3,4,4,3,3,1,-0.311,-0.653,0.01448,0.656438,0.000703,Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=3,P22105
m.5603,203,2,1,0,4,3,4,1.179,2.0397,0,0,0.6397,Ras-related protein O-RAL OS=Diplobatis ommata PE=2 SV=1,P22124
m.3406,975,0,0,0,0,0,1,0.102,0.1108,1,0.553101,0.588656,Fibroblast growth factor receptor 3 OS=Homo sapiens GN=FGFR3 PE=1 SV=1,P22607
m.17862,310,0,1,0,6,4,3,1.611,2.6867,0,0,0.615527,Hatching enzyme OS=Paracentrotus lividus PE=1 SV=1,P22757
m.16955,391,0,0,0,1,1,1,0.131,0.1516,1,0.516408,0.624397,Macrophage mannose receptor 1 OS=Homo sapiens GN=MRC1 PE=1 SV=1,P22897
m.25608,164,1,0,0,0,0,0,0.066,0.0753,1,0.580356,0.552182,Porphobilinogen deaminase OS=Mus musculus GN=Hmbs PE=2 SV=2,P22907
m.25869,277,3,7,0,10,9,10,1.144,3.3264,0,0,0.599593,Amidase OS=Rhodococcus erythropolis GN=amdA PE=1 SV=2,P22984
m.860,473,27,24,6,19,21,23,0.262,1.4638,0,0,0.67524,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Bos taurus GN=UQCRC2 PE=1 SV=2",P23004
m.5038,1493,0,0,1,0,0,0,0.164,0.1899,1,0.476644,0.65235,"Dynein beta chain, ciliary OS=Tripneustes gratilla PE=1 SV=1",P23098
m.19983,183,4,5,7,11,8,13,0.874,2.7076,0,0,0.614901,GTPase HRas OS=Murine sarcoma virus NS.C58 GN=H-RAS PE=3 SV=1,P23175
m.9713,489,0,0,3,0,0,0,-0.469,-0.634,0.01925,0.658051,0.000962,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic OS=Gallus gallus GN=HMGCS1 PE=1 SV=1",P23228
m.15306,507,0,1,0,4,2,3,1.295,1.8074,0,0,0.65192,Integrin alpha-6 OS=Homo sapiens GN=ITGA6 PE=1 SV=5,P23229
m.4747,349,11,7,11,14,15,17,0.611,2.4636,0,0,0.622881,Guanine nucleotide-binding protein subunit beta OS=Loligo forbesi PE=2 SV=1,P23232
m.23560,575,0,0,2,3,4,4,1.18,1.9543,0,0,0.643864,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2",P23246
m.2030,436,1,0,7,3,3,2,0.04,0.0811,1,0.57619,0.558491,"Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2",P23381
m.2792,427,15,11,0,3,4,3,-0.882,-2.2799,0,0.593982,0,"Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2",P23381
m.7647,1472,0,3,0,3,3,3,0.743,1.2918,0.000009,0,0.689128,Receptor-type tyrosine-protein phosphatase delta OS=Homo sapiens GN=PTPRD PE=1 SV=2,P23468
m.15579,236,0,0,0,1,0,0,0.157,0.1858,1,0.481142,0.649599,Nuclear transcription factor Y subunit alpha OS=Homo sapiens GN=NFYA PE=1 SV=2,P23511
m.9086,773,11,14,6,43,49,45,1.671,8.1487,0,0,0.570174,Protein-glutamine gamma-glutamyltransferase K OS=Rattus norvegicus GN=Tgm1 PE=2 SV=1,P23606
m.4229,273,22,25,12,30,26,29,0.529,2.9267,0,0,0.609053,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Bos taurus GN=NDUFS3 PE=1 SV=1",P23709
m.13436,653,36,25,20,13,10,8,-0.827,-3.7219,0,0.579078,0,Beta-galactosidase OS=Mus musculus GN=Glb1 PE=2 SV=1,P23780
m.35444,154,2,0,0,0,0,0,-0.194,-0.2355,0.80956,0.682135,0.128219,Granulins OS=Rattus norvegicus GN=Grn PE=1 SV=3,P23785
m.20009,465,0,0,0,1,0,0,0.151,0.174,1,0.493768,0.641368,"Carnitine O-palmitoyltransferase 2, mitochondrial OS=Homo sapiens GN=CPT2 PE=1 SV=2",P23786
m.925,826,58,89,74,126,131,120,0.704,8.8869,0,0,0.56986,Transitional endoplasmic reticulum ATPase OS=Xenopus laevis GN=vcp PE=1 SV=3,P23787
m.2185,737,6,4,6,1,2,3,-0.905,-1.7885,0,0.603471,0,Laminin subunit alpha-2 OS=Homo sapiens GN=LAMA2 PE=1 SV=4,P24043
m.24936,844,7,13,16,5,5,5,-0.742,-2.4443,0,0.591695,0,Laminin subunit alpha-2 OS=Homo sapiens GN=LAMA2 PE=1 SV=4,P24043
m.25802,790,0,0,0,1,0,2,0.522,0.6296,0.510206,0.027058,0.746087,Laminin subunit alpha-2 OS=Homo sapiens GN=LAMA2 PE=1 SV=4,P24043
m.26616,1020,1,2,0,1,0,0,-0.136,-0.1566,0.945134,0.674026,0.225269,Laminin subunit alpha-2 OS=Homo sapiens GN=LAMA2 PE=1 SV=4,P24043
m.3922,691,0,1,0,0,0,0,0.111,0.1281,1,0.538257,0.604598,Laminin subunit alpha-2 OS=Homo sapiens GN=LAMA2 PE=1 SV=4,P24043
m.15331,209,30,55,59,25,23,19,-0.606,-3.8441,0,0.578442,0,Peptidyl-prolyl cis-trans isomerase B OS=Gallus gallus GN=PPIB PE=2 SV=1,P24367
m.21266,454,0,1,0,0,0,0,0.104,0.1213,1,0.544216,0.598473,Rab proteins geranylgeranyltransferase component A 1 OS=Homo sapiens GN=CHM PE=1 SV=3,P24386
m.12699,199,0,7,0,1,0,0,-1.027,-1.5105,0,0.61164,0,Ras-related protein Rab-10 OS=Canis familiaris GN=RAB10 PE=1 SV=1,P24409
m.14952,249,0,0,0,4,4,4,1.652,2.3802,0,0,0.625873,"ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens GN=ATP5F1 PE=1 SV=2",P24539
m.12913,319,0,0,0,1,2,0,0.563,0.7059,0.271269,0.010774,0.741169,Paired box protein Pax-3 OS=Mus musculus GN=Pax3 PE=1 SV=2,P24610
m.6627,1941,452,618,1142,517,511,492,-0.213,-6.1379,0,0.571823,0,"Myosin heavy chain, striated muscle OS=Argopecten irradians PE=1 SV=1",P24733
m.1509,223,2,0,0,0,2,4,0.721,1.2727,0.000014,0,0.690735,Ras-related protein Rab-3 OS=Drosophila melanogaster GN=Rab3 PE=1 SV=1,P25228
m.5030,279,93,79,38,28,29,30,-0.724,-5.9516,0,0.5721,0,Thiosulfate sulfurtransferase OS=Gallus gallus GN=TST PE=1 SV=1,P25324
m.34124,301,0,0,2,1,0,1,-0.16,-0.2087,0.866771,0.680355,0.15781,3-mercaptopyruvate sulfurtransferase OS=Homo sapiens GN=MPST PE=1 SV=3,P25325
m.9990,280,2,1,3,0,0,0,-0.61,-0.8309,0.000705,0.64313,0.000026,3-mercaptopyruvate sulfurtransferase OS=Homo sapiens GN=MPST PE=1 SV=3,P25325
m.3004,377,12,22,7,7,5,7,-0.622,-2.2055,0,0.595097,0,Laminin subunit alpha-1 OS=Homo sapiens GN=LAMA1 PE=1 SV=2,P25391
m.27613,234,16,20,13,24,22,21,0.489,2.5949,0,0,0.618418,Proteasome subunit alpha type-2 OS=Homo sapiens GN=PSMA2 PE=1 SV=2,P25787
m.24975,251,6,11,10,16,16,15,0.729,2.7575,0,0,0.613457,Proteasome subunit alpha type-3 OS=Homo sapiens GN=PSMA3 PE=1 SV=2,P25788
m.1157,147,3,5,4,6,7,7,0.684,1.9017,0,0,0.646617,Ubiquitin-conjugating enzyme E2-17 kDa OS=Drosophila melanogaster GN=eff PE=2 SV=1,P25867
m.7296,413,118,193,246,134,119,122,-0.237,-3.5998,0,0.579691,0,Radixin OS=Mus musculus GN=Rdx PE=1 SV=3,P26043
m.3444,334,10,8,11,7,8,8,-0.097,-0.337,0.511791,0.682055,0.050405,26S proteasome non-ATPase regulatory subunit 7 OS=Drosophila melanogaster GN=Rpn8 PE=1 SV=6,P26270
m.6093,277,0,0,0,1,0,0,0.164,0.1964,1,0.469397,0.656594,Splicing factor U2AF 65 kDa subunit OS=Mus musculus GN=U2af2 PE=1 SV=3,P26369
m.34720,247,0,0,1,0,0,0,0.068,0.0799,1,0.577061,0.557198,Vascular endothelial growth factor A OS=Cavia porcellus GN=VEGFA PE=2 SV=1,P26617
m.21131,238,1,0,1,7,5,7,2.12,3.216,0,0,0.602204,Metalloproteinase inhibitor 3 OS=Gallus gallus GN=TIMP3 PE=1 SV=2,P26652
m.9013,389,55,36,44,38,27,28,-0.204,-1.5502,0,0.610325,0,Prosaposin OS=Bos taurus GN=PSAP PE=1 SV=3,P26779
m.12825,688,0,0,3,1,0,0,-0.508,-0.6386,0.01798,0.657657,0.000892,Beta-adrenergic receptor kinase 2 OS=Bos taurus GN=ADRBK2 PE=2 SV=1,P26818
m.17967,175,0,2,2,2,2,2,0.291,0.4527,0.956544,0.142275,0.742584,ADP-ribosylation factor 6 OS=Gallus gallus GN=ARF6 PE=2 SV=3,P26990
m.30649,133,29,18,0,15,14,8,-0.1,-0.4574,0.184604,0.67381,0.012531,S-crystallin 4 OS=Enteroctopus dofleini PE=2 SV=1,P27012
m.6100,310,4,0,7,17,15,16,1.57,5.1211,0,0,0.577299,"ADP,ATP carrier protein OS=Chlamydomonas reinhardtii GN=ABT PE=1 SV=1",P27080
m.25314,369,0,0,0,1,1,0,0.098,0.1114,1,0.552604,0.589229,Serum paraoxonase/arylesterase 1 OS=Oryctolagus cuniculus GN=PON1 PE=1 SV=2,P27170
m.13486,292,57,42,65,27,29,33,-0.459,-3.3607,0,0.581093,0,Retinal dehydrogenase 1 OS=Gallus gallus GN=ALDH1A1 PE=2 SV=1,P27463
m.1881,292,127,122,210,96,101,95,-0.282,-3.8407,0,0.57846,0,Retinal dehydrogenase 1 OS=Gallus gallus GN=ALDH1A1 PE=2 SV=1,P27463
m.34056,168,5,6,7,11,10,9,0.686,2.2741,0,0,0.629847,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Rattus norvegicus GN=Mthfd1 PE=1 SV=3",P27653
m.6795,338,0,0,0,9,11,6,2.519,4.0697,0,0,0.585998,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Rattus norvegicus GN=Mthfd1 PE=1 SV=3",P27653
m.6968,331,0,1,1,0,0,0,0.118,0.1326,0.999989,0.534223,0.608552,Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens GN=RPA1 PE=1 SV=2,P27694
m.7626,466,1,1,4,0,0,0,-0.684,-0.9117,0.000143,0.638103,0.000005,Hexokinase-2 OS=Rattus norvegicus GN=Hk2 PE=1 SV=1,P27881
m.28687,461,1,0,0,0,0,0,0.166,0.1939,1,0.472199,0.654977,Hexokinase-3 OS=Rattus norvegicus GN=Hk3 PE=2 SV=1,P27926
m.38627,122,0,1,1,3,1,0,0.722,1.0344,0.002137,0.000055,0.711576,Dynactin subunit 1 OS=Rattus norvegicus GN=Dctn1 PE=1 SV=2,P28023
