Protein,Len,NN,NN,NN,ON,ON,ON,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,Uniprot
m.15066,152,0,0,0,2,0,4,1.181,1.6394,0,0,0.653858,m.15066,
m.15067,179,1,2,0,6,2,0,1.058,1.7201,0,0,0.649452,Ras-related protein Rab-8A OS=Rattus norvegicus GN=Rab8a PE=1 SV=2,P35280
m.15073,120,0,0,0,0,0,1,0.215,0.2482,1,0.542137,0.631891,Vitamin K-dependent protein C OS=Rattus norvegicus GN=Proc PE=2 SV=1,P31394
m.15079,260,37,32,26,46,31,17,0.216,1.481,0.000002,0,0.663377,m.15079,
m.15082,272,0,0,0,1,0,0,0.07,0.078,1,0.660751,0.453098,"Peroxisomal 2,4-dienoyl-CoA reductase OS=Danio rerio GN=decr2 PE=2 SV=1",Q6NV34
m.1509,223,2,0,0,0,0,0,-0.103,-0.1343,0.856018,0.711375,0.156472,Ras-related protein Rab-3 OS=Drosophila melanogaster GN=Rab3 PE=1 SV=1,P25228
m.15090,1470,4,2,0,3,1,2,0.015,0.026,0.998749,0.68101,0.37916,LIM and calponin homology domains-containing protein 1 OS=Mus musculus GN=Limch1 PE=1 SV=2,Q3UH68
m.15096,468,5,17,6,14,15,24,0.852,3.5154,0,0,0.599837,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Rattus norvegicus GN=Ndufs2 PE=1 SV=1",Q641Y2
m.15098,368,1,2,1,6,2,0,1.065,1.7067,0,0,0.650164,Copine-7 OS=Homo sapiens GN=CPNE7 PE=2 SV=1,Q9UBL6
m.151,201,5,8,4,6,5,5,0.167,0.4794,0.974822,0.244636,0.730716,BTB/POZ domain-containing protein KCTD5 OS=Bos taurus GN=KCTD5 PE=2 SV=1,A5PKG7
m.15111,545,124,114,83,103,64,78,-0.035,-0.4428,0.097122,0.69593,0.006253,"Aldehyde dehydrogenase, mitochondrial OS=Bos taurus GN=ALDH2 PE=1 SV=2",P20000
m.15114,369,1,12,5,5,12,3,0.364,1.1141,0.003001,0.000129,0.692219,m.15114,
m.15118,99,0,0,0,4,11,1,2.04,3.1426,0,0,0.604468,m.15118,
m.15121,194,1,0,0,0,0,0,0.213,0.2504,1,0.539971,0.633504,CREB-regulated transcription coactivator 1 OS=Rattus norvegicus GN=Crtc1 PE=1 SV=1,Q157S1
m.15122,236,7,3,3,4,1,4,-0.162,-0.3594,0.237759,0.704107,0.017958,Protein eva-1 homolog C OS=Pan troglodytes GN=EVA1C PE=3 SV=1,Q68US5
m.15126,176,6,8,5,4,3,1,-0.679,-1.6145,0,0.623653,0,Trafficking protein particle complex subunit 3 OS=Gallus gallus GN=TRAPPC3 PE=2 SV=1,Q5ZI57
m.15132,728,0,0,0,1,0,0,0.185,0.22,1,0.568369,0.609714,Serine/threonine-protein kinase N2 OS=Danio rerio GN=pkn2 PE=2 SV=1,A7MBL8
m.15134,1205,4,3,2,5,3,2,0.352,0.7533,0.309421,0.024565,0.733043,OTU domain-containing protein 4 OS=Mus musculus GN=Otud4 PE=1 SV=1,B2RRE7
m.15139,435,175,228,186,145,93,184,-0.103,-1.629,0,0.623175,0,m.15139,
m.15141,227,32,37,31,31,37,23,0.131,0.9129,0.057541,0.003258,0.714303,"ATP synthase subunit O, mitochondrial OS=Drosophila melanogaster GN=Oscp PE=2 SV=2",Q24439
m.15155,891,0,0,0,1,1,1,0.209,0.2354,1,0.554397,0.622172,Translational activator GCN1 OS=Homo sapiens GN=GCN1L1 PE=1 SV=6,Q92616
m.15158,259,25,10,10,5,1,0,-1.709,-3.9001,0,0.59501,0,Predicted protein OS=Nematostella vectensis GN=v1g232929 PE=4 SV=1,3276401
m.15162,152,95,179,217,76,68,54,-0.676,-8.1434,0,0.589162,0,Eukaryotic translation initiation factor 5A-1 OS=Oryctolagus cuniculus GN=EIF5A PE=1 SV=2,P10160
m.15166,611,4,10,2,3,4,3,-0.235,-0.5619,0.019902,0.683821,0.001107,Histone deacetylase 1 OS=Gallus gallus GN=HDAC1 PE=2 SV=1,P56517
m.15170,715,0,0,1,0,1,0,0.115,0.1344,1,0.631318,0.5243,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Bos taurus GN=STT3A PE=2 SV=1,Q2KJI2
m.15172,116,3,10,2,6,7,2,0.219,0.5608,0.858606,0.145353,0.740576,m.15172,
m.15175,266,18,13,23,19,13,18,0.149,0.7749,0.256598,0.019224,0.730718,Proteasome subunit alpha type-4 OS=Rattus norvegicus GN=Psma4 PE=1 SV=1,P21670
m.15185,362,16,37,23,31,25,26,0.305,1.8212,0,0,0.644303,Protein NDRG1 OS=Homo sapiens GN=NDRG1 PE=1 SV=1,Q92597
m.15189,147,1,3,0,2,1,0,0.033,0.0478,1,0.673237,0.410893,Ragulator complex protein LAMTOR2 OS=Homo sapiens GN=LAMTOR2 PE=1 SV=1,Q9Y2Q5
m.152,115,39,52,35,20,21,24,-0.434,-2.8736,0,0.600513,0,60S acidic ribosomal protein P1 OS=Oscheius tipulae GN=rpl-21 PE=3 SV=1,O01359
m.15200,788,4,5,0,5,12,0,0.859,2.1263,0,0,0.630742,Peroxidasin OS=Xenopus tropicalis GN=pxdn PE=2 SV=1,A4IGL7
m.15204,648,32,117,78,88,69,69,0.231,2.5597,0,0,0.615927,Plastin-3 OS=Cricetulus griseus GN=PLS3 PE=2 SV=3,O88818
m.15205,198,3,5,1,2,1,0,-0.675,-1.025,0.000003,0.647944,0,"Signal peptide, CUB and EGF-like domain-containing protein 2 OS=Homo sapiens GN=SCUBE2 PE=2 SV=2",Q9NQ36
m.15220,508,1,13,0,2,5,1,-0.42,-0.9382,0.000022,0.653092,0.000001,Catalase OS=Drosophila melanogaster GN=Cat PE=1 SV=2,P17336
m.15240,346,5,3,0,0,0,0,-0.98,-1.309,0,0.634821,0,Deleted in malignant brain tumors 1 protein OS=Sus scrofa GN=DMBT1 PE=2 SV=1,Q4A3R3
m.15241,654,24,17,15,9,15,22,0.031,0.1464,1,0.623906,0.537965,"Acyl-coenzyme A oxidase 3, peroxisomal OS=Arabidopsis thaliana GN=ACX3 PE=1 SV=1",P0CZ23
m.15244,481,3,0,2,2,0,0,-0.179,-0.2808,0.45153,0.710322,0.042987,Zinc finger protein 207 OS=Homo sapiens GN=ZNF207 PE=1 SV=1,O43670
m.15247,289,4,4,4,5,5,2,0.23,0.5477,0.884414,0.159565,0.739671,Reticulon-3-A OS=Xenopus laevis GN=rtn3-a PE=2 SV=2,Q5J6M8
m.15259,327,0,0,1,0,0,0,0.141,0.1523,1,0.620102,0.544482,Epidermal retinol dehydrogenase 2 OS=Homo sapiens GN=SDR16C5 PE=2 SV=2,Q8N3Y7
m.1527,299,19,25,16,32,16,29,0.476,2.9199,0,0,0.608023,Adenylyl cyclase-associated protein 1 OS=Macaca fascicularis GN=CAP1 PE=2 SV=3,Q4R4I6
m.15279,668,1,3,3,0,0,1,-0.693,-0.9774,0.000009,0.650684,0,Protein IWS1 homolog OS=Rattus norvegicus GN=Iws1 PE=2 SV=1,Q3SWT4
m.15280,205,15,7,1,3,4,0,-0.852,-2.0624,0,0.611982,0,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_129574 PE=4 SV=1,3683555
m.15281,346,15,20,4,11,0,22,0.099,0.4143,1,0.335931,0.714716,Cathepsin L OS=Sarcophaga peregrina PE=1 SV=1,Q26636
m.15290,959,5,4,10,10,9,8,0.605,2.0571,0,0,0.633599,Coatomer subunit beta OS=Gallus gallus GN=COPB1 PE=2 SV=1,Q5ZIA5
m.153,398,3,6,4,3,3,4,-0.078,-0.1821,0.746912,0.713216,0.107913,Leucine-rich repeat flightless-interacting protein 2 OS=Xenopus tropicalis GN=lrrfip2 PE=2 SV=1,B2GUE2
m.1530,391,6,49,7,67,51,45,1.211,7.7665,0,0,0.589441,Serotransferrin OS=Paralichthys olivaceus GN=tf PE=2 SV=1,O93429
m.15303,441,1,0,3,2,1,0,-0.038,-0.0544,0.962942,0.701581,0.260381,m.15303,
m.15306,507,0,1,0,1,1,1,0.166,0.1966,0.999783,0.587997,0.58913,Integrin alpha-6 OS=Homo sapiens GN=ITGA6 PE=1 SV=5,P23229
m.15323,305,32,34,24,30,25,32,0.19,1.2156,0.000498,0.000019,0.68293,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlat PE=1 SV=2",Q8BMF4
m.15325,4828,0,0,3,2,2,0,0.251,0.3577,1,0.414256,0.694293,Apolipophorins OS=Locusta migratoria PE=1 SV=2,Q9U943
m.15331,209,30,55,59,26,45,15,-0.277,-1.9719,0,0.61386,0,Peptidyl-prolyl cis-trans isomerase B OS=Gallus gallus GN=PPIB PE=2 SV=1,P24367
m.15342,331,2,0,0,0,0,2,0.262,0.3736,1,0.392786,0.700716,Geranylgeranyl transferase type-2 subunit beta OS=Rattus norvegicus GN=Rabggtb PE=1 SV=1,Q08603
m.15345,109,1,2,2,2,2,0,0.229,0.3555,1,0.417183,0.693359,Splicing factor 3B subunit 3 OS=Pongo abelii GN=SF3B3 PE=2 SV=1,Q5RBI5
m.15370,180,113,76,30,29,22,33,-0.734,-5.9315,0,0.590577,0,Beta gamma crystallin isoform 10 (Fragment) OS=Montipora capitata PE=2 SV=1,3300831
m.15377,555,101,64,73,69,51,63,-0.03,-0.3073,0.372477,0.708488,0.032462,Glucose-6-phosphate isomerase OS=Sus scrofa GN=GPI PE=1 SV=3,P08059
m.15388,345,0,0,5,2,1,0,-0.492,-0.7347,0.0012,0.66798,0.000056,Acyl-CoA dehydrogenase family member 11 OS=Pongo abelii GN=ACAD11 PE=2 SV=2,Q5R778
m.15390,222,0,0,0,0,1,0,0.213,0.2355,1,0.554303,0.62225,Predicted protein OS=Nematostella vectensis GN=v1g245862 PE=4 SV=1,3279955
m.15396,329,1,1,3,2,4,5,1.081,2.0139,0,0,0.635444,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Rattus norvegicus GN=Ech1 PE=1 SV=2",Q62651
m.15400,429,14,26,19,14,9,6,-0.472,-2.0103,0,0.613038,0,Histone-binding protein RBBP7 OS=Danio rerio GN=rbbp7 PE=2 SV=1,Q7ZTY4
m.15401,200,0,0,1,0,0,1,0.188,0.2142,1,0.573413,0.6048,COMM domain-containing protein 4 OS=Mus musculus GN=Commd4 PE=2 SV=1,Q9CQ02
m.15409,308,0,0,0,0,1,0,0.245,0.2802,1,0.508915,0.653789,Eukaryotic translation initiation factor 4H OS=Mus musculus GN=Eif4h PE=1 SV=3,Q9WUK2
m.15418,181,0,0,0,1,5,0,1.081,1.4306,0.000005,0,0.666685,Predicted protein OS=Monosiga brevicollis GN=29577 PE=4 SV=1,3346723
m.15419,125,0,0,0,0,1,0,0.211,0.2366,1,0.553272,0.623107,Ragulator complex protein LAMTOR3-A OS=Xenopus laevis GN=lamtor3-a PE=2 SV=1,Q7T0V2
m.15422,456,0,2,0,0,1,0,-0.174,-0.2141,0.65738,0.713118,0.081868,Tubby-related protein 3 OS=Mus musculus GN=Tulp3 PE=1 SV=1,O88413
m.15426,1113,1,5,6,10,8,2,0.745,2.0166,0,0,0.635327,Optineurin OS=Danio rerio GN=optn PE=2 SV=2,Q5RI56
m.15449,425,1,2,2,9,4,1,1.344,2.4245,0,0,0.619931,Carboxypeptidase Q OS=Xenopus laevis GN=cpq PE=2 SV=1,Q6GQ29
m.15457,489,1,6,4,1,6,0,-0.109,-0.2213,0.635913,0.712971,0.076705,"Pyruvate dehydrogenase protein X component, mitochondrial OS=Mus musculus GN=Pdhx PE=2 SV=1",Q8BKZ9
m.1546,232,0,0,0,0,1,0,0.123,0.135,1,0.630958,0.524996,Phosphonoacetaldehyde hydrolase OS=Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251) GN=phnX PE=3 SV=1,Q7VWH8
m.15462,185,2,5,1,3,3,1,0.112,0.2092,1,0.577666,0.600465,"Persulfide dioxygenase ETHE1 homolog, mitochondrial OS=Arabidopsis thaliana GN=GLY3 PE=1 SV=3",Q9C8L4
m.1547,193,37,37,22,31,10,25,-0.145,-0.9233,0.00003,0.654045,0.000001,EF-hand domain-containing protein D2 OS=Mus musculus GN=Efhd2 PE=1 SV=1,Q9D8Y0
m.15471,509,7,9,16,17,20,10,0.635,2.5912,0,0,0.615082,Bactericidal permeability-increasing protein OS=Homo sapiens GN=BPI PE=1 SV=4,P17213
m.15477,423,3,0,0,2,0,0,-0.05,-0.0721,0.946794,0.704577,0.235418,Putative bifunctional amine oxidase DDB_G0291301 OS=Dictyostelium discoideum GN=DDB_G0291301 PE=1 SV=1,Q54EW2
m.15484,173,1,2,4,0,1,1,-0.759,-0.9981,0.000006,0.649468,0,N-alpha-acetyltransferase 50 OS=Xenopus tropicalis GN=naa50 PE=2 SV=1,Q5XGA9
m.15491,328,0,0,1,0,3,1,0.802,1.073,0.005864,0.000265,0.69634,Mitotic checkpoint protein BUB3 OS=Mus musculus GN=Bub3 PE=2 SV=2,Q9WVA3
m.15507,173,0,1,3,2,0,2,0.236,0.357,1,0.415189,0.693997,Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1,3282180
m.15526,304,3,6,7,10,12,8,0.848,2.5468,0,0,0.616283,Biliverdin reductase A OS=Mus musculus GN=Blvra PE=2 SV=1,Q9CY64
m.15530,386,10,4,18,13,1,2,-0.494,-1.6206,0,0.623451,0,N-acetylserotonin O-methyltransferase-like protein OS=Homo sapiens GN=ASMTL PE=1 SV=3,O95671
m.15544,155,26,8,8,11,9,12,-0.061,-0.2599,0.516413,0.711513,0.053117,Ribonuclease UK114 OS=Capra hircus GN=HRSP12 PE=1 SV=3,P80601
m.15571,240,0,1,0,2,0,0,0.499,0.5961,0.775574,0.111022,0.741871,Exosome complex component RRP43 OS=Homo sapiens GN=EXOSC8 PE=1 SV=1,Q96B26
m.15573,170,7,12,4,10,0,14,0.307,1.0461,0.008928,0.000418,0.699152,Calcineurin subunit B type 1 OS=Rattus norvegicus GN=Ppp3r1 PE=1 SV=2,P63100
m.15579,236,0,0,0,1,0,0,0.234,0.2695,1,0.520431,0.646836,Nuclear transcription factor Y subunit alpha OS=Homo sapiens GN=NFYA PE=1 SV=2,P23511
m.15586,275,39,46,34,39,23,43,0.103,0.7705,0.266886,0.020223,0.731203,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Rattus norvegicus GN=Slc9a3r1 PE=1 SV=3,Q9JJ19
m.1560,548,6,8,9,17,12,11,0.78,3.051,0,0,0.605845,T-complex protein 1 subunit theta OS=Gallus gallus GN=CCT8 PE=1 SV=3,Q6EE31
m.15618,675,0,1,0,1,1,2,0.471,0.6265,0.690525,0.086213,0.741787,Unconventional myosin-Ie OS=Mus musculus GN=Myo1e PE=1 SV=1,E9Q634
m.15624,128,3,0,0,0,0,0,-0.396,-0.5109,0.040791,0.688956,0.0024,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_88075 PE=4 SV=1,3682490
m.15629,357,0,0,2,0,0,0,-0.141,-0.1833,0.743724,0.713229,0.106843,m.15629,
m.15633,448,107,243,259,180,190,141,0.054,0.8475,0.124205,0.007902,0.722213,Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2,P50395
m.15646,189,6,10,6,2,0,1,-1.544,-2.7553,0,0.601887,0,m.15646,
m.15654,184,1,2,1,0,2,0,0.162,0.2173,1,0.570732,0.607441,Histone H1.0 OS=Mus musculus GN=H1f0 PE=2 SV=4,P10922
m.15674,554,0,4,2,0,0,0,-0.743,-1.0878,0.000001,0.644617,0,m.15674,
m.15686,206,0,0,2,0,0,0,-0.079,-0.095,0.919842,0.707725,0.204559,Calponin-3 OS=Bos taurus GN=CNN3 PE=2 SV=1,Q32L92
m.15693,310,32,34,39,40,32,22,0.131,0.9301,0.046218,0.002547,0.71225,Drebrin-like protein A OS=Xenopus laevis GN=dbnl-a PE=2 SV=1,Q7ZXQ9
m.15697,123,2,4,0,0,0,0,-0.779,-0.9388,0.000021,0.653054,0.000001,m.15697,
m.15700,399,1,4,4,3,5,1,0.216,0.4176,1,0.33125,0.71571,m.15700,
m.15711,412,2,0,0,0,0,0,-0.174,-0.2073,0.677284,0.713217,0.086975,"Reticulon-4-interacting protein 1, mitochondrial OS=Homo sapiens GN=RTN4IP1 PE=1 SV=2",Q8WWV3
m.15722,235,4,24,20,16,11,33,0.463,2.4803,0,0,0.618205,Retinal dehydrogenase 1 OS=Oryctolagus cuniculus GN=ALDH1A1 PE=2 SV=1,Q8MI17
m.15724,695,0,0,0,1,2,2,0.811,1.062,0.006976,0.00032,0.697479,Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2,Q14974
m.1573,128,1,1,1,0,0,1,0.193,0.2269,1,0.562213,0.615401,UBA-like domain-containing protein 2-A OS=Xenopus laevis GN=ubald2-a PE=2 SV=1,Q6IP57
m.15750,815,3,6,3,1,1,1,-1.287,-1.8448,0,0.616875,0,m.15750,
m.15756,276,1,3,0,2,10,2,1.239,2.1938,0,0,0.628076,"Acetyl-coenzyme A synthetase 2-like, mitochondrial OS=Mus musculus GN=Acss1 PE=1 SV=1",Q99NB1
m.1576,513,60,32,52,49,15,33,-0.168,-1.2288,0,0.63811,0,Collagen alpha-5(VI) chain OS=Mus musculus GN=Col6a5 PE=1 SV=3,A6H584
m.15764,225,1,5,6,5,6,0,0.219,0.5275,0.918658,0.182938,0.737787,Phosphatidylinositol-binding clathrin assembly protein OS=Rattus norvegicus GN=Picalm PE=1 SV=1,O55012
m.15770,157,1,11,34,0,0,0,-2.634,-4.5052,0,0.593239,0,m.15770,
m.15776,107,0,0,0,3,0,1,0.793,1.0304,0.011335,0.000542,0.700836,Dihydroflavonol-4-reductase OS=Zea mays GN=A1 PE=3 SV=1,P51108
m.15796,107,0,0,0,0,1,0,0.21,0.2518,1,0.538583,0.634523,m.15796,
m.15803,206,3,4,6,4,6,1,0.033,0.0761,1,0.661599,0.450516,Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2,P00491
m.15806,352,0,1,0,0,2,0,0.528,0.6599,0.58789,0.063887,0.74061,Phospholipase A-2-activating protein OS=Rattus norvegicus GN=Plaa PE=2 SV=3,P54319
m.1582,284,2,3,2,2,4,11,1.158,2.5502,0,0,0.616188,Calbindin-32 OS=Drosophila melanogaster GN=Cbp53E PE=2 SV=1,P41044
m.15822,319,1,3,1,1,2,0,-0.061,-0.0859,0.931449,0.706569,0.216603,Predicted protein OS=Nematostella vectensis GN=v1g244535 PE=4 SV=1,3277618
m.1583,327,22,24,24,23,18,15,0,0.0009,0.992804,0.688744,0.341895,Phosphoenolpyruvate phosphomutase OS=Mytilus edulis PE=1 SV=3,P56839
m.15831,119,0,0,2,0,6,1,1.022,1.5671,0,0,0.65805,m.15831,
m.15837,260,0,1,0,0,0,0,0.148,0.1635,1,0.612584,0.556485,m.15837,
m.15838,328,0,0,0,2,0,0,0.543,0.6674,0.564229,0.059545,0.74021,Poly(A) RNA polymerase GLD2-B OS=Xenopus laevis GN=papd4-b PE=1 SV=1,Q6DFA8
m.15839,183,14,13,25,18,23,5,0.099,0.4827,0.971967,0.24018,0.731325,GTP-binding protein SAR1b OS=Mus musculus GN=Sar1b PE=1 SV=1,Q9CQC9
m.15850,195,0,0,1,1,1,0,0.232,0.2654,1,0.524736,0.644075,Tumor necrosis factor alpha-induced protein 8 OS=Gallus gallus GN=TNFAIP8 PE=2 SV=1,Q5ZI78
m.15857,420,13,13,23,14,8,13,-0.094,-0.4098,0.141774,0.699263,0.009642,Proteasomal ubiquitin receptor ADRM1 OS=Danio rerio GN=adrm1b PE=1 SV=1,Q6NZ09
m.15859,410,3,4,11,9,6,4,0.281,0.8318,0.147064,0.009659,0.724105,26S protease regulatory subunit 7 OS=Mus musculus GN=Psmc2 PE=1 SV=5,P46471
m.15899,456,1,5,2,1,9,1,0.559,1.2471,0.000273,0.00001,0.680286,Sorting nexin-30 OS=Mus musculus GN=Snx30 PE=2 SV=1,Q8CE50
m.159,816,0,0,0,0,0,1,0.177,0.1935,0.999853,0.590456,0.586251,Collagen alpha-2(IV) chain OS=Ascaris suum PE=2 SV=1,P27393
m.1592,810,0,0,0,2,0,0,0.511,0.6294,0.681956,0.084075,0.741727,Serine/threonine-protein kinase HT1 OS=Arabidopsis thaliana GN=HT1 PE=1 SV=1,Q2MHE4
m.15923,2429,11,24,53,23,18,4,-0.447,-2.3629,0,0.60703,0,Thyroglobulin OS=Bos taurus GN=TG PE=1 SV=1,P01267
m.15962,187,5,1,0,0,0,0,-0.716,-0.9717,0.00001,0.651025,0,Group XIIA secretory phospholipase A2 OS=Homo sapiens GN=PLA2G12A PE=1 SV=1,Q9BZM1
m.15986,209,1,4,10,4,4,3,-0.117,-0.2896,0.424747,0.70975,0.039219,Ras-related protein Rab-43 OS=Homo sapiens GN=RAB43 PE=1 SV=1,Q86YS6
m.1600,347,0,0,0,8,6,0,2.022,2.8443,0,0,0.609411,5_-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Proteus mirabilis (strain HI4320) GN=mtnN PE=3 SV=1,B4EUF0
m.16001,119,0,1,1,3,3,3,1.377,2.093,0,0,0.632102,CUB and sushi domain-containing protein 3 OS=Mus musculus GN=Csmd3 PE=2 SV=3,Q80T79
m.16008,262,0,0,0,1,0,0,0.183,0.2026,0.999902,0.583147,0.594601,Predicted protein OS=Nematostella vectensis GN=v1g222210 PE=4 SV=1,3286479
m.16009,808,9,15,19,23,14,20,0.5,2.4628,0,0,0.618736,Laminin subunit alpha-3 OS=Mus musculus GN=Lama3 PE=1 SV=4,Q61789
m.16029,467,2,2,5,6,3,1,0.35,0.6689,0.559534,0.058704,0.740125,Actin-related protein 10 OS=Mus musculus GN=Actr10 PE=1 SV=2,Q9QZB7
m.16036,305,0,0,1,4,4,5,1.852,2.8,0,0,0.610279,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_63863 PE=4 SV=1,3663538
m.16043,429,1,4,2,0,0,0,-0.693,-0.9751,0.00001,0.650821,0,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_86827 PE=4 SV=1,3665245
m.16056,335,1,4,2,1,1,0,-0.686,-0.9765,0.000009,0.650738,0,ATPase ASNA1 homolog OS=Nematostella vectensis GN=v1g161623 PE=3 SV=1,A7RQM5
m.16060,768,0,0,0,1,0,1,0.106,0.1247,1,0.637,0.512858,Unconventional myosin-VI OS=Sus scrofa GN=MYO6 PE=1 SV=1,Q29122
m.16068,336,0,2,0,0,0,0,-0.1,-0.1158,0.888929,0.709919,0.178263,m.16068,
m.16090,446,15,18,12,14,27,6,0.284,1.4001,0.000011,0,0.668765,Flotillin-1 OS=Drosophila melanogaster GN=Flo-1 PE=2 SV=1,O61491
m.16099,216,3,7,10,0,0,0,-1.857,-2.7762,0,0.601637,0,m.16099,
m.16108,243,1,0,0,1,1,0,0.191,0.2119,1,0.575381,0.602817,1-aminocyclopropane-1-carboxylate synthase-like protein 1 OS=Takifugu rubripes GN=accs PE=3 SV=1,Q9W698
m.1611,195,0,0,1,0,2,13,1.92,2.9797,0,0,0.606996,Contactin-associated protein 1 OS=Rattus norvegicus GN=Cntnap1 PE=1 SV=1,P97846
m.16119,234,6,4,1,4,3,7,0.486,1.1873,0.000838,0.000033,0.685397,"GrpE protein homolog 1, mitochondrial OS=Pongo abelii GN=GRPEL1 PE=2 SV=1",Q5RA81
m.16132,345,0,4,3,2,0,2,-0.265,-0.4235,0.121609,0.697889,0.008075,Calcium/calmodulin-dependent protein kinase type 1D OS=Mus musculus GN=Camk1d PE=1 SV=2,Q8BW96
m.16148,390,1,0,1,0,0,0,0.264,0.3064,1,0.479035,0.669338,Proline-serine-threonine phosphatase-interacting protein 1 OS=Homo sapiens GN=PSTPIP1 PE=1 SV=1,O43586
m.16180,508,5,9,15,15,4,10,0.233,0.9628,0.029922,0.00157,0.708414,Ubiquitin carboxyl-terminal hydrolase 14 OS=Bos taurus GN=USP14 PE=2 SV=3,Q0IIF7
m.16196,636,7,3,0,0,0,1,-1.227,-1.6419,0,0.622756,0,Transmembrane and coiled-coil domains protein 1 OS=Homo sapiens GN=TMCC1 PE=1 SV=3,O94876
m.16208,224,0,0,0,0,0,3,0.787,1.0033,0.016918,0.000839,0.703811,m.16208,
m.16211,276,3,2,2,0,5,0,0.182,0.3457,1,0.430072,0.689055,Ras suppressor protein 1 OS=Bos taurus GN=RSU1 PE=2 SV=1,Q5E9C0
m.16218,322,0,1,0,1,0,0,0.164,0.1877,0.999828,0.594966,0.580765,Maspardin OS=Mus musculus GN=Spg21 PE=1 SV=1,Q9CQC8
m.16222,296,1,3,1,3,6,0,0.938,1.6689,0,0,0.652215,"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Bos taurus GN=GPD2 PE=2 SV=1",A6QLU1
m.16224,295,0,0,0,1,5,2,1.253,1.8238,0,0,0.644175,Uncharacterized methyltransferase-like C25B8.10 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPAC25B8.10 PE=3 SV=1,Q9UTA8
m.16226,279,0,0,0,0,1,1,0.127,0.1528,1,0.619775,0.545028,Cadherin-related tumor suppressor OS=Drosophila melanogaster GN=ft PE=1 SV=3,P33450
m.16233,161,13,8,15,14,10,8,0.111,0.4251,1,0.320599,0.717896,m.16233,
m.16246,388,0,1,1,18,7,3,2.605,3.8771,0,0,0.596958,Arsenite methyltransferase OS=Mus musculus GN=As3mt PE=2 SV=2,Q91WU5
m.16247,347,1,3,3,1,0,3,-0.167,-0.2716,0.479909,0.710877,0.047234,Inosine-uridine preferring nucleoside hydrolase OS=Leishmania major GN=NSNH PE=1 SV=3,P83851
m.16253,192,0,0,1,0,0,0,0.244,0.2786,1,0.510663,0.652772,Predicted protein OS=Nematostella vectensis GN=v1g246196 PE=4 SV=1,3280664
m.16258,131,1,0,1,1,1,3,0.746,0.9082,0.061019,0.003482,0.714867,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Mus musculus GN=Polr2h PE=2 SV=3",Q923G2
m.1626,326,6,17,12,17,14,11,0.42,1.8643,0,0,0.642222,Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Bos taurus GN=SGTA PE=2 SV=1,Q32LM2
m.16276,140,0,0,3,1,0,0,-0.43,-0.5509,0.023341,0.684916,0.001314,Phosphoenolpyruvate carboxykinase [GTP] OS=Drosophila melanogaster GN=Pepck PE=2 SV=2,P20007
m.16281,177,14,10,14,8,6,5,-0.458,-1.59,0,0.624473,0,Thioredoxin domain-containing protein 12 OS=Homo sapiens GN=TXNDC12 PE=1 SV=1,O95881
m.16282,297,1,0,3,0,1,0,-0.449,-0.5763,0.016096,0.6824,0.000882,Collagen triple helix repeat-containing protein 1 OS=Mus musculus GN=Cthrc1 PE=2 SV=2,Q9D1D6
m.16290,199,0,0,0,1,0,0,0.236,0.2657,1,0.524423,0.644279,m.16290,
m.16299,225,0,0,1,0,0,0,0.158,0.1881,0.999819,0.594659,0.581148,m.16299,
m.16303,320,1,1,0,0,3,3,1.139,1.5757,0,0,0.657539,Putative N-acetylated-alpha-linked acidic dipeptidase OS=Homo sapiens GN=FOLH1B PE=2 SV=1,Q9HBA9
m.16304,256,0,1,2,0,0,0,-0.068,-0.0904,0.925811,0.707156,0.210609,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1,Q96CG8
m.16309,388,11,7,4,5,1,3,-0.697,-1.8859,0,0.615848,0,Beta-ureidopropionase OS=Pongo abelii GN=UPB1 PE=2 SV=1,Q5RBM6
