Protein,Len,ON,ON,ON,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,Uniprot_updated
m.21064,264,1,0,0,1,1,1,-0.06,-0.0707,1,0.495994,0.667804,Uncharacterized protein YwbO OS=Bacillus subtilis (strain 168) GN=ywbO PE=4 SV=1,P39598
m.2107,529,8,6,7,14,15,15,0.699,2.548,0,0,0.617238,Alanine aminotransferase 2 OS=Xenopus tropicalis GN=gpt2 PE=2 SV=1,Q28DB5
m.21074,449,8,9,5,18,20,23,0.97,3.7798,0,0,0.598049,Plasminogen activator inhibitor 1 RNA-binding protein OS=Mus musculus GN=Serbp1 PE=1 SV=2,Q9CY58
m.21076,409,0,0,0,1,1,1,-0.192,-0.2496,1,0.637604,0.495948,Suppressor of G2 allele of SKP1 homolog OS=Bos taurus GN=SUGT1 PE=2 SV=1,Q2KIK0
m.21130,378,0,0,2,0,0,0,-0.363,-0.4273,0.934314,0.693477,0.233765,Arrestin domain-containing protein A OS=Dictyostelium discoideum GN=adcA PE=1 SV=1,Q54CH1
m.21131,238,2,0,0,7,5,7,1.575,2.6496,0,0,0.614816,Metalloproteinase inhibitor 3 OS=Gallus gallus GN=TIMP3 PE=1 SV=2,P26652
m.21152,377,10,8,5,9,13,11,0.31,1.107,0.000002,0,0.685181,Eukaryotic translation initiation factor 3 subunit M OS=Nematostella vectensis GN=v1g192238 PE=3 SV=1,A7SPX9
m.21153,225,2,0,0,1,0,1,-0.448,-0.5273,0.726654,0.700762,0.114217,Ras-related protein Rab-32 OS=Mus musculus GN=Rab32 PE=2 SV=3,Q9CZE3
m.21179,265,24,20,11,24,25,28,0.274,1.6318,0,0,0.648407,"Adenylate kinase 2, mitochondrial OS=Danio rerio GN=ak2 PE=2 SV=1",Q1L8L9
m.2118,372,0,0,0,0,1,0,-0.096,-0.119,1,0.544955,0.633386,Mothers against decapentaplegic homolog 4 OS=Homo sapiens GN=SMAD4 PE=1 SV=1,Q13485
m.21180,384,0,3,0,6,3,2,0.776,1.3954,0,0,0.663091,Serpin B8 OS=Bos taurus GN=SERPINB8 PE=2 SV=1,Q5BIR5
m.212,347,3,3,2,2,1,1,-0.798,-1.3435,0.000005,0.641273,0,45 kDa calcium-binding protein OS=Danio rerio GN=sdf4 PE=2 SV=1,Q7ZUC2
m.21219,494,0,0,0,1,0,0,-0.097,-0.1101,1,0.536557,0.640337,Matrix metalloproteinase-24 OS=Rattus norvegicus GN=Mmp24 PE=2 SV=1,Q99PW6
m.21223,127,3,0,3,3,2,1,-0.249,-0.4437,0.910894,0.695646,0.211038,Pterin-4-alpha-carbinolamine dehydratase 2 OS=Mus musculus GN=Pcbd2 PE=1 SV=2,Q9CZL5
m.21227,279,0,0,0,0,0,0,-0.131,-0.1497,1,0.571774,0.607146,Tolloid-like protein 1 OS=Xenopus laevis GN=tll1 PE=1 SV=1,Q8JI28
m.21240,415,2,5,0,2,2,2,-0.387,-0.7248,0.182694,0.68891,0.014905,m.21240,
m.21266,454,0,0,0,0,0,0,-0.09,-0.1055,1,0.532105,0.643819,Rab proteins geranylgeranyltransferase component A 1 OS=Homo sapiens GN=CHM PE=1 SV=3,P24386
m.21267,565,11,6,5,17,16,14,0.696,2.6202,0,0,0.615494,"Cysteine--tRNA ligase, cytoplasmic OS=Gallus gallus GN=CARS PE=2 SV=1",Q5F408
m.21268,784,7,5,3,9,10,8,0.563,1.7362,0,0,0.643423,Integrin alpha-9 OS=Homo sapiens GN=ITGA9 PE=1 SV=2,Q13797
m.21278,311,0,0,0,0,0,0,-0.176,-0.2119,1,0.616354,0.542597,Predicted protein OS=Nematostella vectensis GN=v1g247672 PE=4 SV=1,3283483
m.21281,322,0,1,0,0,0,0,-0.099,-0.1199,1,0.545789,0.632667,Gamma-soluble NSF attachment protein OS=Bos taurus GN=NAPG PE=1 SV=3,P81127
m.21294,335,0,0,0,0,0,1,-0.144,-0.1723,1,0.589434,0.585492,Dehydrogenase/reductase SDR family member 7 OS=Mus musculus GN=Dhrs7 PE=2 SV=2,Q9CXR1
m.21313,552,22,26,12,33,31,29,0.372,2.2875,0,0,0.624521,MAGUK p55 subfamily member 6 OS=Mus musculus GN=Mpp6 PE=1 SV=1,Q9JLB0
m.21336,339,0,0,0,0,0,0,-0.061,-0.0733,1,0.498838,0.66615,Pinin OS=Pongo abelii GN=PNN PE=2 SV=1,Q5R5X0
m.21346,340,2,0,3,0,0,0,-0.872,-1.1718,0.000212,0.651067,0.000009,BTB/POZ domain-containing protein KCTD21 OS=Mus musculus GN=Kctd21 PE=2 SV=1,Q3URF8
m.21347,742,0,0,0,0,1,0,-0.133,-0.1527,1,0.574218,0.604388,Lysyl oxidase homolog 2 OS=Xenopus tropicalis GN=loxl2 PE=2 SV=2,B4F6N6
m.2136,361,0,0,1,5,3,3,1.285,1.9337,0,0,0.635825,Nucleosome assembly protein 1-like 1 OS=Pongo abelii GN=NAP1L1 PE=2 SV=1,Q5R4D4
m.21372,330,2,2,1,7,5,6,1.272,2.45,0,0,0.619804,Shootin-1 OS=Pongo abelii PE=2 SV=2,Q5RA03
m.21375,111,8,0,0,1,1,1,-1.426,-2.055,0,0.615475,0,Predicted protein OS=Nematostella vectensis GN=v1g243062 PE=4 SV=1,3274911
m.21376,204,2,2,0,4,3,3,0.662,1.1091,0.000002,0,0.685012,"39S ribosomal protein L12, mitochondrial OS=Mus musculus GN=Mrpl12 PE=1 SV=2",Q9DB15
m.21379,246,23,21,14,24,28,30,0.292,1.6761,0,0,0.646188,Protein BMH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BMH2 PE=1 SV=3,P34730
m.21388,376,1,3,0,0,0,0,-0.709,-0.942,0.011858,0.668084,0.000653,Nucleoside diphosphate kinase 7 OS=Homo sapiens GN=NME7 PE=1 SV=1,Q9Y5B8
m.2139,531,24,0,19,1,2,1,-2.611,-4.6116,0,0.592296,0,E3 ubiquitin-protein ligase TRIM71 OS=Mus musculus GN=Trim71 PE=1 SV=1,Q1PSW8
m.21416,355,1,0,0,0,2,1,0.241,0.2851,0.747306,0.072723,0.758002,Tudor and KH domain-containing protein OS=Homo sapiens GN=TDRKH PE=1 SV=2,Q9Y2W6
m.2142,355,0,0,0,0,0,0,-0.091,-0.1087,1,0.53521,0.641404,Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus GN=Ahsa1 PE=2 SV=2,Q8BK64
m.21438,701,16,11,12,9,8,8,-0.528,-2.1367,0,0.613246,0,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens GN=PSMD1 PE=1 SV=2,Q99460
m.21445,216,0,0,0,0,0,0,-0.012,-0.0132,1,0.427424,0.699231,m.21445,
m.21457,115,24,8,16,15,14,10,-0.286,-1.245,0.000047,0.64663,0.000002,Histidine triad nucleotide-binding protein 1 OS=Oryctolagus cuniculus GN=HINT1 PE=1 SV=2,P80912
m.21459,214,2,0,0,3,3,3,0.762,1.298,0,0,0.67027,Low affinity immunoglobulin epsilon Fc receptor OS=Mus musculus GN=Fcer2 PE=2 SV=1,P20693
m.2147,314,3,6,4,5,5,4,-0.03,-0.0791,1,0.505101,0.662383,NmrA-like family domain-containing protein 1 OS=Gallus gallus GN=NMRAL1 PE=2 SV=1,Q5ZID0
m.21472,238,0,0,0,0,0,0,-0.095,-0.1035,1,0.530146,0.645309,m.21472,
m.21474,364,3,4,1,2,3,2,-0.199,-0.3736,0.984554,0.683195,0.313576,Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1,Q5EE04
m.21495,148,0,1,0,1,0,0,-0.113,-0.1268,1,0.552084,0.627056,Lactase-phlorizin hydrolase OS=Oryctolagus cuniculus GN=LCT PE=1 SV=1,P09849
m.215,195,34,24,5,48,46,51,0.756,4.9347,0,0,0.59195,Histone H1.0 OS=Homo sapiens GN=H1F0 PE=1 SV=3,P07305
m.21521,685,1,1,0,2,0,2,0.497,0.6197,0.028809,0.001114,0.730293,Nuclear pore complex protein Nup93 OS=Danio rerio GN=dye PE=2 SV=1,Q7ZU29
m.21525,176,13,1,13,14,14,15,0.377,1.5805,0,0,0.651188,m.21525,
m.21528,104,0,2,3,0,0,0,-0.912,-1.2059,0.000106,0.648949,0.000004,Seminal plasma protein HSP-1 OS=Equus caballus PE=1 SV=1,P81121
m.21536,163,2,1,2,0,0,1,-0.716,-0.9092,0.019179,0.670979,0.001111,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8-A, mitochondrial OS=Arabidopsis thaliana GN=At1g79010 PE=1 SV=1",Q42599
m.21538,175,4,2,4,9,6,5,0.636,1.5794,0,0,0.65125,Hypoxanthine-guanine phosphoribosyltransferase OS=Meriones unguiculatus GN=HPRT1 PE=2 SV=2,P47959
m.21550,183,0,0,0,0,0,0,-0.086,-0.0943,1,0.520951,0.651984,m.21550,
m.21583,404,0,1,0,2,4,3,1.137,1.455,0,0,0.658962,DnaJ homolog subfamily A member 1 OS=Pongo abelii GN=DNAJA1 PE=2 SV=1,Q5NVI9
m.21596,525,36,28,12,36,36,34,0.271,1.6573,0,0,0.64711,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus GN=Svep1 PE=1 SV=1",P0C6B8
m.21616,124,0,0,0,0,0,0,-0.046,-0.052,1,0.474851,0.679077,Fat-like cadherin-related tumor suppressor homolog OS=Drosophila melanogaster GN=kug PE=2 SV=2,Q9VW71
m.21622,131,0,0,0,0,0,0,-0.068,-0.0753,1,0.501011,0.664864,Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3,Q9H4G4
m.21637,198,1,0,0,1,0,0,-0.112,-0.1307,0.999953,0.555567,0.623806,GSK3-beta interaction protein OS=Danio rerio GN=gskip PE=2 SV=1,Q7ZWI4
m.2164,240,3,2,0,4,4,5,0.696,1.3743,0,0,0.664607,Tetraspanin-11 OS=Mus musculus GN=Tspan11 PE=2 SV=1,Q9D1D1
m.21654,118,2,2,20,1,4,3,-1.201,-2.9941,0,0.600867,0,Nucleoside diphosphate kinase B OS=Rattus norvegicus GN=Nme2 PE=1 SV=1,P19804
m.21665,130,2,0,2,0,0,0,-0.687,-0.8539,0.040917,0.676131,0.002594,Endochitinase OS=Brugia malayi PE=1 SV=1,P29030
m.21683,274,0,1,5,0,0,0,-1.089,-1.5048,0,0.63384,0,m.21683,
m.21690,240,4,4,4,2,0,0,-1.209,-2.0075,0,0.616847,0,Thiopurine S-methyltransferase OS=Panthera leo GN=TPMT PE=2 SV=1,Q3BCR0
m.21691,163,0,0,0,0,0,0,-0.078,-0.0902,1,0.516756,0.654866,Peroxisomal carnitine O-octanoyltransferase OS=Bos taurus GN=CROT PE=1 SV=1,O19094
m.217,121,34,19,58,20,23,22,-0.608,-4.0233,0,0.59423,0,m.217,
m.21702,178,0,2,0,0,0,0,-0.523,-0.6211,0.440168,0.697743,0.04794,m.21702,
m.2171,309,0,2,1,1,0,0,-0.423,-0.5302,0.718515,0.700785,0.111503,Serine/threonine-protein phosphatase 4 catalytic subunit B OS=Danio rerio GN=ppp4cb PE=2 SV=1,A9JRC7
m.21710,219,7,2,0,11,12,13,1.248,3.4749,0,0,0.600948,N-acetylserotonin O-methyltransferase-like protein OS=Homo sapiens GN=ASMTL PE=1 SV=3,O95671
m.21736,444,0,2,0,2,0,0,-0.156,-0.2167,1,0.619287,0.536967,Dipeptidase 1 OS=Homo sapiens GN=DPEP1 PE=1 SV=3,P16444
m.21741,192,0,1,0,0,1,1,-0.165,-0.1828,1,0.597059,0.574737,NHL repeat-containing protein 2 OS=Homo sapiens GN=NHLRC2 PE=1 SV=1,Q8NBF2
m.21772,262,0,0,0,1,3,1,0.45,0.627,0.025894,0.000993,0.729509,Uncharacterized protein OS=Anabaena sp. 90 GN=ANA_C10044 PE=4 SV=1,22075682
m.21782,100,1,0,0,0,0,0,-0.195,-0.2157,1,0.618682,0.538148,Protocadherin Fat 4 OS=Homo sapiens GN=FAT4 PE=1 SV=2,Q6V0I7
m.21798,281,7,5,1,5,4,6,0.075,0.1981,0.93711,0.1487,0.754262,Radial spoke head protein 9 homolog OS=Homo sapiens GN=RSPH9 PE=1 SV=1,Q9H1X1
m.218,310,20,29,38,38,38,36,0.189,1.341,0,0,0.667047,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform OS=Bos taurus GN=PPP2CB PE=1 SV=1,Q0P594
m.21812,233,0,0,0,0,0,0,-0.111,-0.1346,1,0.558997,0.620499,Alanine aminotransferase 2 OS=Xenopus laevis GN=gpt2 PE=2 SV=1,Q6GM82
m.21819,1189,12,13,14,7,3,4,-1.11,-3.4795,0,0.596967,0,Laminin-like protein epi-1 OS=Caenorhabditis elegans GN=epi-1 PE=1 SV=1,Q21313
m.21828,279,0,0,0,0,1,0,-0.131,-0.148,1,0.570375,0.608694,Tenascin-R OS=Mus musculus GN=Tnr PE=1 SV=2,Q8BYI9
m.21832,170,0,1,0,0,0,0,-0.092,-0.1146,1,0.540839,0.636858,m.21832,
m.21834,367,0,0,0,0,0,0,-0.172,-0.217,1,0.619468,0.536612,Predicted protein OS=Nematostella vectensis GN=v1g215928 PE=4 SV=1,3281769
m.21842,395,38,25,27,33,34,36,0.064,0.4406,0.26009,0.013666,0.749107,Rootletin OS=Mus musculus GN=Crocc PE=1 SV=2,Q8CJ40
m.2185,737,8,8,6,1,2,3,-1.454,-2.9049,0,0.601772,0,Laminin subunit alpha-2 OS=Homo sapiens GN=LAMA2 PE=1 SV=4,P24043
m.21852,614,1,0,0,0,0,0,-0.117,-0.1281,1,0.553251,0.625979,m.21852,
m.21864,258,7,8,6,9,9,7,0.1,0.3343,0.590912,0.045173,0.756801,Heparanase OS=Homo sapiens GN=HPSE PE=1 SV=2,Q9Y251
m.21876,142,3,4,1,3,2,1,-0.401,-0.6773,0.284455,0.693353,0.026136,m.21876,
m.21911,295,2,1,0,1,1,0,-0.386,-0.4669,0.870576,0.698011,0.180758,Coronin-7 OS=Homo sapiens GN=CORO7 PE=1 SV=2,P57737
m.21930,262,0,0,0,0,0,0,-0.13,-0.1471,1,0.56963,0.609508,m.21930,
m.21938,216,0,0,0,0,0,0,-0.08,-0.0926,1,0.519219,0.653186,Formimidoyltransferase-cyclodeaminase OS=Dictyostelium discoideum GN=ftcd PE=3 SV=1,Q54JL3
m.21939,120,6,2,7,0,0,1,-1.782,-2.5286,0,0.60588,0,Universal stress protein Sll1388 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=sll1388 PE=3 SV=1,P74148
m.21993,204,1,1,0,0,0,1,-0.035,-0.0392,1,0.459713,0.68619,Protocadherin Fat 3 OS=Rattus norvegicus GN=Fat3 PE=1 SV=1,Q8R508
m.22011,193,0,2,0,0,0,0,-0.428,-0.5222,0.740797,0.700699,0.119099,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_03050 PE=4 SV=1,4192373
m.22031,141,3,0,3,0,0,0,-1.098,-1.4115,0.000001,0.637953,0,Hypoxia up-regulated protein 1 (Fragment) OS=Xenopus laevis GN=hyou1 PE=1 SV=2,Q566I3
m.22041,329,0,1,0,0,0,0,-0.066,-0.0744,1,0.500035,0.665444,Short-chain collagen C4 (Fragment) OS=Ephydatia muelleri PE=2 SV=1,P18503
m.22064,312,1,1,0,3,3,3,1.109,1.641,0,0,0.647933,ADAMTS-like protein 1 OS=Homo sapiens GN=ADAMTSL1 PE=1 SV=4,Q8N6G6
m.22085,331,8,6,8,7,6,8,-0.123,-0.3863,0.975889,0.686091,0.294177,26S proteasome non-ATPase regulatory subunit 1 OS=Mus musculus GN=Psmd1 PE=1 SV=1,Q3TXS7
m.221,314,2,1,1,8,6,3,1.392,2.5749,0,0,0.616574,Phosphoglycolate phosphatase OS=Mus musculus GN=Pgp PE=1 SV=1,Q8CHP8
m.2212,675,5,5,0,5,3,5,0.132,0.3124,0.663267,0.056186,0.757578,Catenin alpha-2 OS=Danio rerio GN=Ctnna2 PE=3 SV=1,B7ZC77
m.22122,295,6,2,10,0,0,1,-2.019,-2.9045,0,0.601776,0,PREDICTED: uncharacterized protein LOC100207194 [Hydra vulgaris],XP_002167785
m.22127,173,1,2,2,2,3,2,0.323,0.5406,0.084589,0.003635,0.73885,Filamin-A OS=Mus musculus GN=Flna PE=1 SV=5,Q8BTM8
m.22180,238,0,0,11,0,0,0,-1.631,-2.339,0,0.608761,0,Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2,Q92626
m.2219,618,0,0,0,0,1,0,-0.134,-0.1515,1,0.573244,0.605495,Rab-like protein 6 OS=Homo sapiens GN=RABL6 PE=1 SV=2,Q3YEC7
m.22205,653,2,6,1,0,0,0,-1.24,-1.716,0,0.625971,0,Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1 PE=1 SV=2,Q99715
m.22210,207,1,0,0,0,0,0,-0.083,-0.0915,1,0.518093,0.653958,m.22210,
m.2223,305,0,0,1,0,0,0,-0.148,-0.1658,1,0.584532,0.591928,"Selenide, water dikinase OS=Drosophila melanogaster GN=SelD PE=1 SV=1",O18373
m.22271,234,2,1,0,1,2,2,0.179,0.2544,0.829397,0.095383,0.757645,Vacuolar protein sorting-associated protein VTA1 homolog OS=Bos taurus GN=VTA1 PE=2 SV=1,Q32L63
m.22274,438,23,18,35,24,21,19,-0.239,-1.3126,0.00001,0.642881,0,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Bos taurus GN=ACADM PE=2 SV=1",Q3SZB4
m.22282,310,16,8,45,10,14,9,-0.815,-3.968,0,0.594488,0,Calumenin OS=Bos taurus GN=CALU PE=2 SV=1,Q3T0K1
m.2229,343,0,3,0,2,2,0,-0.117,-0.1814,1,0.596063,0.576197,Dipeptidase 1 OS=Homo sapiens GN=DPEP1 PE=1 SV=3,P16444
m.22295,361,0,2,1,0,0,0,-0.449,-0.5431,0.681263,0.700783,0.099972,ELAV-like protein 2 OS=Xenopus tropicalis GN=elavl2 PE=2 SV=2,Q28GD4
m.223,287,6,4,2,4,2,2,-0.512,-1.1046,0.000773,0.655516,0.000034,IST1 homolog OS=Homo sapiens GN=IST1 PE=1 SV=1,P53990
m.22300,797,0,2,3,3,1,0,-0.323,-0.4835,0.836493,0.699231,0.160614,AP-3 complex subunit delta-1 OS=Mus musculus GN=Ap3d1 PE=1 SV=1,O54774
m.22305,311,0,1,0,1,0,0,-0.131,-0.1508,1,0.572674,0.606139,Protein TSSC1 OS=Macaca fascicularis GN=TSSC1 PE=2 SV=1,Q4R571
m.22307,275,13,11,4,7,13,14,0.136,0.5473,0.077669,0.003304,0.738127,Heterogeneous nuclear ribonucleoprotein K OS=Oryctolagus cuniculus GN=HNRNPK PE=2 SV=1,O19049
m.22320,648,1,0,0,0,2,0,0.28,0.3438,0.558792,0.040968,0.756356,BAG family molecular chaperone regulator 4 OS=Homo sapiens GN=BAG4 PE=1 SV=1,O95429
m.22335,321,0,0,0,1,0,0,-0.206,-0.2309,1,0.627568,0.519776,THO complex subunit 3 OS=Homo sapiens GN=THOC3 PE=1 SV=1,Q96J01
m.22336,329,6,7,1,5,3,4,-0.234,-0.5839,0.555734,0.699762,0.06915,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Xenopus tropicalis GN=ppp1cb PE=2 SV=1,Q5I085
m.22339,1615,0,0,0,2,0,2,0.495,0.626,0.026277,0.001009,0.729617,Muscle M-line assembly protein unc-89 OS=Caenorhabditis elegans GN=unc-89 PE=1 SV=3,O01761
m.22358,156,1,0,6,0,0,0,-1.168,-1.6859,0,0.626999,0,Sialate O-acetylesterase OS=Mus musculus GN=Siae PE=2 SV=3,P70665
m.22365,587,10,9,10,16,10,9,0.138,0.5371,0.088404,0.003819,0.739227,Ubiquilin-1 OS=Rattus norvegicus GN=Ubqln1 PE=1 SV=1,Q9JJP9
m.22377,200,2,4,6,0,0,0,-1.666,-2.2833,0,0.609834,0,Predicted protein OS=Nematostella vectensis GN=v1g247592 PE=4 SV=1,3283281
m.22382,236,0,0,0,1,0,0,-0.114,-0.136,1,0.560215,0.619298,Sperm-associated antigen 7 homolog OS=Danio rerio GN=spag7 PE=1 SV=1,Q7SYJ9
m.22391,129,0,0,1,0,0,0,-0.175,-0.193,1,0.604125,0.563862,Myotrophin OS=Xenopus tropicalis GN=mtpn PE=3 SV=1,Q6P1S6
m.22392,222,45,22,22,50,52,50,0.462,3.6067,0,0,0.59958,m.22392,
m.22394,559,24,9,21,31,32,33,0.506,3.008,0,0,0.607683,Glucosidase 2 subunit beta OS=Homo sapiens GN=PRKCSH PE=1 SV=2,P14314
m.22405,246,5,5,3,2,1,2,-1.088,-2.0417,0,0.615854,0,Sticholysin-1 OS=Stoichactis helianthus PE=1 SV=1,P81662
m.2241,107,11,6,7,13,13,13,0.436,1.644,0,0,0.64778,Heterogeneous nuclear ribonucleoprotein K OS=Gallus gallus GN=HNRNPK PE=2 SV=1,Q5ZIQ3
m.22412,708,4,4,6,1,2,4,-0.794,-1.7175,0,0.625921,0,Prolyl endopeptidase OS=Mus musculus GN=Prep PE=2 SV=1,Q9QUR6
m.22413,291,0,0,0,1,1,1,-0.224,-0.2707,1,0.647812,0.467532,DNA-directed RNA polymerase II subunit RPB3 OS=Bos taurus GN=POLR2C PE=2 SV=1,Q3T0Q3
m.22416,142,0,0,0,0,0,0,-0.121,-0.1361,1,0.560302,0.619212,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Pan troglodytes GN=NDUFA8 PE=2 SV=3,Q0MQB1
m.22417,185,0,1,0,0,0,0,-0.122,-0.1225,1,0.548181,0.630573,GTP-binding protein Rheb OS=Homo sapiens GN=RHEB PE=1 SV=1,Q15382
m.22424,314,6,1,1,3,0,1,-0.601,-0.9992,0.004848,0.663337,0.000246,Chymotrypsinogen B OS=Bos taurus PE=1 SV=1,P00767
m.22426,144,0,1,0,1,1,1,-0.134,-0.1492,1,0.571363,0.607603,Diphosphoinositol polyphosphate phosphohydrolase 1 OS=Rattus norvegicus GN=Nudt3 PE=1 SV=1,Q566C7
m.22427,401,3,6,4,5,3,4,-0.157,-0.3961,0.968029,0.688124,0.279375,Alpha-N-acetylgalactosaminidase OS=Gallus gallus GN=NAGA PE=1 SV=1,Q90744
m.22434,265,2,6,1,3,3,3,-0.052,-0.1111,1,0.537514,0.639571,"3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Mus musculus GN=Hibadh PE=1 SV=1",Q99L13
m.2244,1940,1,2,2,2,1,0,-0.384,-0.5506,0.658903,0.700706,0.09367,Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Bos taurus GN=ARFGEF1 PE=1 SV=1,O46382
m.22444,205,0,0,0,0,1,0,-0.138,-0.1638,1,0.582995,0.593875,Ras-related protein Rab-18-B OS=Danio rerio GN=rab18b PE=2 SV=1,Q6DHC1
m.22447,261,10,6,13,8,5,3,-0.693,-2.1928,0,0.611841,0,RuvB-like 1 OS=Rattus norvegicus GN=Ruvbl1 PE=1 SV=1,P60123
m.22449,384,3,4,3,8,9,8,0.882,2.4427,0,0,0.620004,m.22449,
m.22476,364,0,2,0,0,0,0,-0.471,-0.6202,0.442898,0.697802,0.048383,m.22476,
m.22483,250,0,0,0,5,4,4,1.477,2.1372,0,0,0.629178,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g226089 PE=4 SV=1,3302536
m.2249,195,4,1,0,2,3,2,0.064,0.1061,0.999988,0.263991,0.73946,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3",Q4LDE5
m.22497,320,0,1,0,0,0,0,-0.146,-0.1698,1,0.587565,0.587988,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2,A5YKK6
m.2250,660,0,1,0,3,1,1,0.49,0.6385,0.021837,0.000827,0.728279,Focal adhesion kinase 1 OS=Rattus norvegicus GN=Ptk2 PE=1 SV=1,O35346
m.22508,123,1,0,0,1,2,4,0.887,1.2096,0,0,0.677073,"Alanine--glyoxylate aminotransferase 2, mitochondrial OS=Rattus norvegicus GN=Agxt2 PE=1 SV=2",Q64565
m.22509,381,0,0,0,1,0,0,-0.146,-0.1739,1,0.59062,0.583882,Serine/threonine-protein phosphatase 6 regulatory subunit 3-A OS=Xenopus laevis GN=ppp6r3-a PE=2 SV=1,Q6NRI0
m.22510,131,0,0,0,0,0,0,-0.051,-0.059,1,0.482903,0.674983,Pterin-4-alpha-carbinolamine dehydratase OS=Gallus gallus GN=PCBD1 PE=2 SV=3,O73930
m.22516,306,1,0,1,1,0,0,-0.135,-0.1532,1,0.574622,0.603924,WD repeat-containing protein 48 OS=Gallus gallus GN=WDR48 PE=2 SV=1,Q5F3K4
m.22518,514,4,5,2,11,9,8,0.906,2.5565,0,0,0.617026,"Histidine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Hars PE=2 SV=2",Q61035
m.22526,198,0,0,3,0,0,0,-0.636,-0.7901,0.090101,0.682408,0.006409,COP9 signalosome complex subunit 8 OS=Rattus norvegicus GN=Cops8 PE=2 SV=1,Q6P4Z9
m.22539,256,6,7,5,4,6,3,-0.409,-1.0514,0.002013,0.659323,0.000095,C-factor OS=Myxococcus xanthus GN=csgA PE=1 SV=1,P21158
m.22542,615,363,227,226,328,360,361,0.189,4.4891,0,0,0.593551,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Mus musculus GN=Pck2 PE=2 SV=1",Q8BH04
m.22547,139,5,4,1,5,6,4,0.356,0.8546,0.000531,0.000016,0.706714,m.22547,
m.22551,320,3,0,2,1,1,1,-0.937,-1.1933,0.000137,0.649721,0.000006,Proline synthase co-transcribed bacterial homolog protein OS=Mus musculus GN=Prosc PE=1 SV=1,Q9Z2Y8
m.2257,112,0,0,1,0,0,0,-0.153,-0.185,1,0.598611,0.572427,"2-oxoglutarate dehydrogenase-like, mitochondrial OS=Pongo abelii GN=OGDHL PE=2 SV=2",Q5R9L8
m.22573,200,0,0,0,1,1,0,-0.072,-0.0905,1,0.517065,0.654657,Dickkopf-related protein 3 OS=Mus musculus GN=Dkk3 PE=2 SV=1,Q9QUN9
m.22580,202,2,0,0,3,1,2,0.369,0.5514,0.073673,0.003115,0.737684,m.22580,
m.22589,501,1,2,0,2,4,5,0.994,1.609,0,0,0.649615,Glycylpeptide N-tetradecanoyltransferase 2 OS=Homo sapiens GN=NMT2 PE=1 SV=1,O60551
m.22591,949,0,0,0,0,0,0,-0.134,-0.1518,1,0.573488,0.605219,Laminin subunit beta-1 OS=Drosophila melanogaster GN=LanB1 PE=1 SV=4,P11046
m.22617,193,0,0,2,1,0,0,-0.392,-0.5137,0.763615,0.70053,0.127543,m.22617,
m.22619,255,1,1,0,0,0,0,-0.067,-0.075,1,0.500686,0.665057,Endothelin-converting enzyme 1 OS=Mus musculus GN=Ece1 PE=1 SV=1,Q4PZA2
m.2262,545,0,4,0,1,0,0,-0.79,-1.0424,0.002353,0.659995,0.000113,Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=3,P22105
m.22620,173,2,0,1,0,0,0,-0.457,-0.5458,0.67319,0.700762,0.097669,"Succinate-semialdehyde dehydrogenase, mitochondrial OS=Rattus norvegicus GN=Aldh5a1 PE=1 SV=2",P51650
m.22621,254,0,0,0,0,0,1,-0.076,-0.0837,1,0.509984,0.659317,m.22621,
m.22625,168,1,0,0,1,0,0,-0.039,-0.0461,1,0.467939,0.682415,Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_158251 PE=4 SV=1,5726265
